text
@tofu_niconico 何を言っているのかわからないままふぁぼってるところがあるので…
@Maikan_f はい。よろしくお願いします。
@hachuki00825 アカウントを巧みに使い分けるな
@o__n__l__y おんりーさんの｢行く」はフラグ
@96xxlov 出て行け！
NEO僧侶　明るい髪と適度に着崩したスーツが特徴。シルバーの数珠と仏供と呼ぶシャンパンを携え法要へやって来る。経文は僅かに一行｢ガチ、成仏」これで霊魂は帰る所を悟ると言う。彼らも仏を尊ぶ。但し呼称をブッディ。天を仰ぎ｢サンキュなブッディ」と囁くとブルガリの香だけを残し帰ってゆく
@ririannnnn ウッ確かに…身の丈に合った選択をすべきでした…自分で自分が恥ずかしいです…
@kamenoxxxx それはこちらの台詞です！生きていらっしゃったのですね！せーの、＼いつもこれ／
@yosayosayossan 盲点でした…！灯台もと暗しとはまさにこの事です…！
@underbarecog なんだって！俺は歌い手だ！18オクターブ半を出せる！なんなら証明して見せたって構わない！
@m_y_f_ ありがとうございます！このご恩は一生忘れません！少ないですが貰ってください！（14円）
@m_y_f_ まことですか…！？是非一聞させて頂きたいところですが…
@mirainomukouhe1 高音は申し分ないが、低音がやはり迫力に欠けます。酷なようですが、諦めて下さい…
@_ku_ne_YOHANE 左から順に感想を言ってくぞ可愛い　可愛い　やや可愛い　可愛い
@usa_0915 それ｢嘘の情報」ですよ
やっぱり出来ないですね…
 歌い手を目指してる人には少し酷かもしれませんが、最低でも18オクターブ半だせないと歌い手にはなれません。あと最低でも46オクターブはだせないとMIX依頼してはいけないですし、ランキング上位の歌い手さんになると軽く80～140オクターブはだせてしまいます。
ツイッターがバージョンアップし、自分のツイートをRT出来る機能が備わったと聞いたので、よもやと思い実際にやってみたら出来ませんでした。嘘の情報に踊らされてしまいました。
@CharlotteEliy ICE、一択
@a1hariyama 望ましくありません。何故ならうまくいっても｢外貨！？売国奴！幻滅しました！」となるからです
@omega293 本当ですか！ヤッタ～！dmでidを教えて頂ければ申請に伺います
@kuma_gma 当然俺ならば実際に対人であっても難なく合わせられるが、君たちはまだまだヒヨッコ。敢えてランクを下げて解説する俺のスケールのデカさに世界が脱帽さ。
@kapizusa モテの真髄を極めた俺ならばmind controlすら訳なく出来るってコト。落として上げる、常套手段さ。
@mirainomukouhe1 着飾らないカジュアルでキメろ。何てったって女は｢simple」に弱いからな。ただし清潔感に欠けるモノはNG
@_REINIE_ コスパコスパ！クライアントが何求めてるか考えて！嫌なら外れる？代わりはいくらでもいるんだって
モテない？スタバへ行きタブレットPCに日経平均株価の最新チャートを表示させたらコスパ、クライアント、代わりはいくらでもいる、この3つのワードを組み合わせ通話するフリをしろ！電話を切ると恍惚の表情でこちらを見るギャルが三人はいる筈だ。俺が手伝えるのはここまで。ここから先は、君の夏だ
@lmsato_ …コピペですが…世界一好きな｢bitch」の言い方なのでお許し下さい。
@mokyu_t またまたwあなたの家、インターネット来てないでしょw
@kasutaroron 気づいてないかも知れないけど、全呟きのうち三分の一が
"@lmsato_ You know that I'm a crazy bitch I do what I want, when I feel like it All I wanna do is lose control"
@ganmo_akan フ、もちろんアカペラだから伴奏はないのさ
知らない家のインターホンを押し｢はい」と出たらエアロスミスのI DON'T WANT TO MISS A THINGを歌い始めると一番のサビ前くらいでおじさんが棒を持って出てきます。
