text
そろそろ向き合わねばならんな、唐揚げを味噌汁に浸して喰う俺氏と。
【悲報】俺氏「なぜヒトは抗えきれないのだろうか」。 https://pic.twitter.com/gDILID4g9c
【悲報】ウッディー合体！ https://pic.twitter.com/FraLvWyFQB
俺氏、蚊取り機能付き空気清浄機、欲しい。@ヨドバシ秋葉
【悲報】念願のカラオケに来た俺氏、一曲目Perfect Humanで滑る。急募、俺氏が歌っても滑らない曲。
【吉報】カラオケ好きの俺氏、早朝カラオケ練習。これで今夜の飲み会対策は完璧。【悲報】なお二次会でカラオケがあるかは不明。
@ahahaha2014 御一人様ジャイアンの可能性大、、、
俺氏のダンボー。 https://pic.twitter.com/UUVVnphxJY
【吉報】俺氏、とうとう同僚から飲み会のお誘いをいただく。音速でYes！【悲報】俺氏、飲み会に行かなければ本が５冊くらい買えることに気付く。
【吉報】俺氏、20歳若返る健康法とかなんとか言ってる本を発見。これで僕は７歳や！ふぁ！？　７歳！？
【悲報】俺氏、Javascriptの悪夢にうなさられ深夜３時に目覚める。。。
わかりますか、この泡ですよ！ #帰り道ご機嫌俺氏 https://pic.twitter.com/TqlCiFWzS0
@yosshi2chari 逆ですよ。まだ水曜日だから飲んで明日からまた頑張らないと。
@Specuator 地元が関西なんやで、実は。
ぬふふふ https://pic.twitter.com/NqK4J0nSO3
@aramakisan むふふふふ、んなわけなかろう。店の購入前の冷蔵庫の写真でした。飲むのは１本だけですよーっと。
【悲報】俺氏、営業をしていて「正義とは何か」を自問自答。
【吉報】俺氏、無印の謎キャッチコピーに謎の興奮なう。 https://pic.twitter.com/HHhFy4Wiqw
@aramakisan ち、チカラが欲しい……。
本日の俺氏 https://pic.twitter.com/5Lmm27ZLcv
"@RANMARUWW 健康そうでしょ。But,メディアに踊らされてる気がしないでもない。。。"
@Jonny007CU マジか！？なにそのスーパーコンボｗ何食べればいいです？（できれば調理せず食べれるものを）
@Jonny007CU ありがとう。ゴボウ頑張るＵ´ㅈ｀Ｕノ
【悲報】俺氏、疲れ過ぎて味噌汁の中に希望の光を見る。 https://pic.twitter.com/QBNQ1IaKJX
@netinist サンクスＵ´ㅈ｀Ｕノ
【吉報】俺氏、信号待ちのときに青に変わるタイミングを予想して一歩を踏み出す遊びを思い出す。
https://pic.twitter.com/nSEHwzZaCW
@Specuator 普通の会社やないから常識では通用せんねやで。
@Specuator 5000円いかないと思われる。
【悲報】俺氏vs新宿駅、新宿駅の圧勝。なんで東と西が同じ方向なんだよ。わからん、わからんぞー。 https://pic.twitter.com/RmBKPNbYyR
@chr_reiu ふむふむ。わからんけどわかった。でも次は｢東中央口｣と｢東口｣が現れ、｢なんぞ、中央じゃないくせに中央口とか言うなよ｣ってなった。新宿こわい。
@chr_reiu そんなのもあんの！？謎が深まるばかりだよ、、、。
@chr_reiu ここまでヤバいと有志で攻略本制作したくなるな。
【吉報】秋葉原でマリオカート。 https://pic.twitter.com/NctiU14aqb
【吉報】俺氏、秋葉原で黄金ルート発見。ワンカラ（ヒトカラ専門店）→まぜそば屋→ミスド。 https://pic.twitter.com/pajrYhg6Ig
缶バッジカバーとかあるんだな。ふむふむ、わからん。 https://pic.twitter.com/im9Jos30cw
【悲報】俺氏の友達、急に髪の毛増えた。#無から有を生み出す禁術
【悲報】俺氏｢ダメだ。社内に友達がいないのでストレスが。ヒトカラに行かねば｣。#加速する孤独
【悲報】俺氏、会社の同期入社でLINEグループを作るも既読 23 ノーコメント。今もなおスルーされ続け記録を作ってる模様。
@Ni25G_n そうだろ、ダサいぜ、あいつら。
@saxipedia 冗談抜きでありそうでこわたん、、、
本日はこんな感じの僕だ。 https://pic.twitter.com/M3O4uk4FXt
【悲報】俺氏、友達とヒトカラなう。
会社の隅っこで坐禅組んでるやついたら僕です。
https://pic.twitter.com/faKWXU709y
【悲報】俺氏、ラスカルとリラックマ、たまにとどっちかわからない。
【悲報】俺氏、新しい座席に馴染めず、休み時間タバコ吸わないのに喫煙所に逃げる。
【吉報】俺氏、華金の孤独を酒なしで乗り越えることに成功！
@Nekomesi 素晴らしい。雑魚っぺの僕でも何かできるならぜひぜひチカラにならせてやＵ´ㅈ｀Ｕ/
【悲報】俺氏、無計画で家を出た結果、辿り着く先が秋葉原。なんか面白いの教えて。
【悲報】俺氏、｢I ♡人類｣T-shirt欲しい。
【吉報】俺氏｢ギリギリ愛〜いけないボーダーラインー｣
【吉報】俺氏、自撮りがうまくなってきた。
【悲報】俺氏、またお台場にいる。 #買い物ホリック https://pic.twitter.com/9R8SDmmt6O
@pika737 えへへへ。家から片道数百円で行けるんだー。
【吉報】俺氏、こいつはホンモノだ。台湾まぜそば。 https://pic.twitter.com/k0PETMOr5E
@K_Omibe いえーす！絶賛研修andOJT中。
@K_Omibe 頑張るぞいＵ´ㅈ｀Ｕb
【悲報】休日の俺氏、プログラミングの勉強しろと言いそうなダンボーと目が合う。 https://pic.twitter.com/EUkqLS5BAG
コナンカフェってなんぞ。 https://pic.twitter.com/NJ4KqzYNMh
ロフトにて。センスある。 https://pic.twitter.com/QRxZmrXDk2
ロフトとビレバンはいつ来てもなんか変なものあって楽しいなー。 https://pic.twitter.com/LU8619TIU2
