text
"I'm at 東京都庁 (新宿区, 東京都) w/ 4 others http://t.co/I4474TKx"
この発想は無かったわ（笑） http://t.co/K4kDYvdn
"I'm at NTT東日本 (東日本電信電話株式会社) (新宿区, 東京都) http://t.co/8HHeuvYL"
@kanaske_ 行ってらっしゃい。頑張っといで( ｰ`дｰ´)ｷﾘｯ(｀・ω・´)ｼｬｷｰﾝ
@JunItabashi すご！
活躍してるね～ RT @asu_pi: 気づけばフォロワーさん5000人まであと7人！！！記念すべき5000人目は誰なんでしょーか！ ((o(＇∇＇*)oﾄﾞｷﾄﾞｷo(＇∇＇)oﾜｸﾜｸo(*＇∇＇)o))
"I'm at 防衛省 (Ministry of Defence) (新宿区, 東京都) http://t.co/PmVUBwtd"
@karenchan9 サンキュ☆
ワッショイ！ RT @todateyoshiyuki: 新宿七夕訴訟、二審も原告勝訴！！
"I'm at 弁護士会館 (千代田区, 東京都) http://t.co/OxOHcjCg"
"I'm at 東京高等裁判所 (千代田区, 東京都) http://t.co/vnQDMBFf"
ねむ。。。
@arihoy ぺろにゃん♪
@JapanEdge そのスタンスすごく好きです。
@infinitySHERRY ないない（笑）
"I'm at 記念艦 みかさ (横須賀市, 神奈川県) http://t.co/o6D0zDtr"
@lovepeaceworld かまーん。
ホント！チャン・グンソク似てるって言われまくるww
そろそろ新しい香水買いたいなぁ。
@cocoperipink おいしかったにゃ☆
@lovepeaceworld かれぷり～♪
@nexus7proto 横須賀市民になる程度で勘弁して下さい（笑）
@sumaud_k 今食べましたｗ
今週は月水金とカレーだった。牛たんカレー→燻製カレー→カツ丼カレーカレー王子になれそうニャ☆
@karenchan9 うまうまだよぉ☆
カレー牛と迷って、カツ丼カレー大盛りに。 http://t.co/aVTtcw0E
浴衣接客イイネ！ (@ auショップ有楽町) http://t.co/FyGBucCJ
"I'm at 数寄屋橋跡 (中央区, 東京都) http://t.co/dY6mBIKf"
@erikodeees 呼んだ？（笑）
パソコンん壊れて認識しないキーとかが出てきた。キーボードとっかえてもダメだし、次はドライバを試してみるか。。。
かわいこちゃんはかわいこちゃんでした。
ぎゃくですおw捕まったら、そんな余裕ないでしょ（笑） RT @shintakezawa: @kiwipon 捕まったんですか？
"I'm at 浦安警察署 (浦安市, 千葉県) http://t.co/NHxiC768"
@ahh_lucky ふふ、ありがと♪おいらも愛してるよん妹ちゃん♪
@infinitySHERRY ありがと♪
@ahh_lucky ちょっと触ってみたけど、使い方わからなくない？？
@fujinohideaki あはは、嬉しいですね。ありがとうございます♪
@ahh_lucky せ、切断\\\
@chika_t1229 かわいい♪
@ahh_lucky 本体も着払で郵送されるの！？
@ZabonKitayama おはよーごさいます♪いい天気☆
@chika_t1229 チカ様ご乱心
@chibicoo 可愛いじゃない。
@ahh_lucky 確かに実家には似たような奴があって、オカンが使ってた～あげゆｗ
@samuraix1996 需要ないと思うｗ
@infinitysherry アプリ持ってるから（笑）
@ahh_lucky おーいるー？
@mananb39451 なるほど～いただきものなのですがね☆
@chika_t1229 ♪
@chika_t1229 キスミー
@chika_t1229 げろしゃぶｗｗ
I just ousted @kazuya118v as the mayor of 浦安警察署 on @foursquare! http://t.co/hajvdxmq
これ、ブックオフに持って行ったら70円だったので持って帰ってきたんだけど、結局持て余してる（笑）＞＞家庭医学大全科 高久 史麿 http://t.co/UCpz92yZ
@dck_k 貴兄の、挑戦レポート、楽しみにしております（笑）
@dck_k http://t.co/WgpVWaTg
@chika_t1229 だいじょうぶかー
"I'm at 浦安警察署 (浦安市, 千葉県) http://t.co/9wa92fzR"
@chika_t1229 いいね☆おはよ♪
"I'm at ラーメン 凪 新宿煮干 新宿ゴールデン街店 (新宿区, 東京都) http://t.co/MeSaCV0O"
買ったばかりの革靴が臭いのってどうしたらマシになるのかなぁ？？
@Akb4848Ske4 北海道まで買ってくのは無理w
@Gsamakyabe よかたやーん☆
自転車買おう。
@Kanonn82 そそ前言ってたの（笑）
@hayakana 二郎と似たようなモノな気が(笑)
@battoshi 全国では今日13:00~16:00限定でした。ちなみに大阪に1店舗だけ常時やってるトコがありますヨ。
@ninnikun_jp 残念でした(*´･ω･)(･ω･｀*)ﾈｰ
@Kanonn82 うん♪カラオケはいつ行けるかなぁ？？
ケンタッキーフライドチキン、食べ放題たけと、超並んでて新規受付が終了してた。しょんぼり(´・ω・｀)
@Kanonn82 やほ♪
明日のミッションはケンタッキー食べ放題だね。
@memechan703 本人ですよ～♪
@tohatt 出前wwたかいよー(笑)
@teizuisun （笑）
@tohatt あはー。ありがとうございます！
@junitabashi ありがとうございました♪
@hiromki93 ふぁいなるだったので～（笑）
@bluecastle7 何が起こった（笑）　写真変わった～
@YoshidaYuto 本日はありがとうございました！
"I'm at 横須賀中央駅 (Yokosuka-chūō Sta.) (KK59) (横須賀市, 神奈川県) w/ 3 others http://t.co/yzisFprY"
@FujinoHideaki 横須賀に来たので、藤野さんを思い出しました。お大事にして下さい。
上大岡なう。
@reika0114 おやすみ。マイハニ～★
地元で花火をまったり観るのイイなぁ♪
おつかれす～ RT @kanaske_: 今やっと解散でありんす！RT @n_shu: (´；ω；｀)ﾌﾞﾜｯ RT @youha39: Kanaske_ さいしゅー勤務おつかれっした！！
@infinitySHERRY ありがと！
@chika_t1229 ww
はらへた。
@harusoul369331 え、三人ぐらい知ってるよ(笑)
@dabudabuniwa てへ。頑張って来て☆
@teim1978 いぇーす^^;
@dabudabuniwa うん。オイラのイケメンっぷりを一度見に来てくれると嬉しかったんですが〜(笑)
@tsuzakiliana 頑張っす〜オイラは、明日ファイナルです！
とりあえず、弁護士さん二名からアドバイスもらた♪感謝感謝。
@cristal4649 もっとないわー！(笑)
今まではストーカーも大目に見てたけど、さすがに目に余るので警察に行って禁止命令を取ってくるか、告訴して制裁を加えるかで迷う。どっちが良いかなぁ。
@cristal4649 それはないわww
あと2日だな〜今日の髪型何にしよう
この日本って如何ともし難いレベルまで来てるよね。最大の問題は少子化による人口構造。これを補正することは無理な部分(世代)もあるから、国策としてそこに傾斜配分して、先の未来のためにも生産性を高めなきゃいけないと思うけど、無理ゲーな雰囲気。と言えど、できる手は可能な限り打たないと
@shinonome313 どしたん？
@JunItabashi そうなんですよ。困った体質。。
@ahh_lucky どもども。
@kenics あざっす♪
@lovepeaceworld ありがとう♪
@suzyyhan だね～
学校で安倍元総理の講義。思ったよりしっかりしてる。。。
耳の調子が悪いので明日、病院行こう〜っと。
ストーカーで警察に相談するか迷ってる。安易な権利侵害のRTも名誉棄損罪や侮辱罪、業務妨害罪に問えるようにしないと治安悪くなり続ける一方だと思うんだよねぇ。。
@eto ストーカーに困って一時的にサンデルさんにしています。
