研究合宿,ケンキュウガッシュク
合宿会議,ガッシュクカイギ
andBamboo,アンドバンブー
Bambooare,バンブーアレ
inJapan,インジャパン
これ以上,コレイジョウ
以上英語,イジョウエイゴ
sl出して,エスエルダシテ
出して煙,ダシテケムリ
懇親会,コンシンカイ
会幹事,カイカンジ
入試監督,ニュウシカントク
にもバリエーション,ニモバリエーション
就活先,シュウカツサキ
インターン先,インターンサキ
僕フォロー,ボクフォロー
研究室OG,ケンキュウシツオージー
トップ国際,トップコクサイ
国際会議,コクサイカイギ
ベストポスター,ベストポスター
ポスター賞,ポスターショウ
賞最終,ショウサイシュウ
最終候補,サイシュウコウホ
家事全部,カジゼンブ
海外出張中,カイガイシュッチョウチュウ
セキュリティ警告,セキュリティケイコク
学科目,ガッカメ
アイドル顔,アイドルガオ
顔識別,ガオシキベツ
識別モデル,シキベツモデル
性能評価,セイノウヒョウカ
セキュリティ意識,セキュリティイシキ
disる声,ディスルゴエ
ホント不思議,ホントフシギ
中村研,ナカムラケン
研究室業務,ケンキュウシツギョウム
業務連絡,ギョウムレンラク
高須さん,タカスサン
人が目先,ジンガメサキ
programming,プログラムミング
minglanguage,ミングセンゴヒャクサンジュウゴマンロッピャクロクジュウゴゼロゼロキュウナナマンハチゴゼロナナ
成功例,セイコウレイ
失敗例,シッパイレイ
一昔前,ヒトムカシマエ
年生合宿,ネンセイガッシュク
女子学生向け,ジョシガクセイムケ
向け就活,ムケシュウカツ
就活情報,シュウカツジョウホウ
最近ジャニーズ,サイキンジャニーズ
ジャニーズファン,ジャニーズファン
Skype理事会,スカイプリジカイ
理事会なのだ,リジカイナノダ
SkypeID,スカイプアイディー
情報系,ジョウホウケイ
自由時間,ジユウジカン
学会論文,ガッカイロンブン
投稿申込,トウコウモウシコミ
採択率,サイタクリツ
歳近く,サイチカク
査読期限,サドクキゲン
期限日,キゲンビ
査読始め,サドクハジメ
旦那さん,ダンナサン
初老さん,ショロウサン
スマホ関係,スマホカンケイ
若者男女,ワカモノダンジョ
普通に家,フツウニカ
オレンジじゃなくて,オレンジジャナクテ
じゃなくてブルーベリー,ジャナクテブルーベリー
ブルーベリージュース,ブルーベリージュース
男子ミスコン,ダンシミスコン
大量応募,タイリョウオウボ
海外出張中,カイガイシュッチョウチュウ
中SNS,チュウエスエヌエス
成田久々,ナリタヒサビサ
出張トラブル,シュッチョウトラブル
トラブルネタ,トラブルネタ
研究仲間,ケンキュウナカマ
学生発表,ガクセイハッピョウ
面倒さ,メンドウサ
一定以上,イッテイイジョウ
全部没収,ゼンブボッシュウ
事情自体,ジジョウジタイ
とき速攻,トキソッコウ
世界的,セカイテキ
友達つきあい,トモダチツキアイ
友達みたい,トモダチミタイ
友達つきあい,トモダチツキアイ
トップ国際,トップコクサイ
国際会議,コクサイカイギ
国際会議,コクサイカイギ
普段トップレベル,フダントップレベル
日本酒,ニッポンシュ
単複同形,タンプクドウケイ
ヨーロッパ出張,ヨーロッパシュッチョウ
20km,トゥエンティカラットメートル
何枚,ナンマイ
何往復,ナニオウフク
何度も電話,ナンドモデンワ
人が何,ジンガナン
