気をつけろ,キヲツケロ
食いしん坊万,クイシンボウマン
万歳,マンサイ
歳🙌,サイバンザイ
本場サイゼリア,ホンバサイゼリア
✋ミラノ風ドリア,パーミラノフウドリア
😩デザート,ラクタンノヒョウジョウデザート
休日仕事,キュウジツシゴト
残り半日,ノコリハンニチ
😩発想,ラクタンノヒョウジョウハッソウ
発想力,ハッソウリョク
😜✋,アッカンベーキョシュ
おは京,オハミヤコ
サラリーマン🏢,サラリーマンビル
お前ら,オマエラ
ら✋,ラキョシュ
ブレん,ブレン
おは京,オハミヤコ
久京,ヒサキョウ
京😊,キョウエガオ
💦みんな,アセリミンナ
💦わら,アセリワラ
おは京,オハキョウ
京😤,キョウドヤガオ
ゴールデンウィーク😩,ゴールデンウィークラクタンノヒョウジョウ
もん俺,モンオレ
💦連休,アセリレンキュウ
😩ブラック,ラクタンノヒョウジョウブラック
💦原点,アセリゲンテン
原点😤,ゲンテンドヤガオ
頂点🗻,チョウテンフジサン
漢岩崎,カンイワサキ
第一歩😳,ダイイッポテレガオ
危険人物,キケンジンブツ
人物😩,ジンブツラクタンノヒョウジョウ
おは京,オハミヤコ
CRAP🙏,クラップガッショウ
CRAP🙏,クラップガッショウ
毎度朝,マイドアサ
朝コーヒー,アサコーヒー
下痢ウンチ,ゲリウンチ
朝コーヒー,アサコーヒー
下痢ウンチ,ゲリウンチ
公衆トイレ,コウシュウトイレ
こいつら,コイツラ
ら全員,ラゼンイン
全員病気,ゼンインビョウキ
おは京,オハミヤコ
💦親方,アセリオヤカタ
✋普通,パーフツウ
気合あい,キアイアイ
みんなサン,ミンナサン
仕事🏢,シゴトビル
ストレス発散,ストレスハッサン
おは京,オハミヤコ
お前さん,オマエサン
さん検索,サンケンサク
検索ワード,ケンサクワード
💦わら,アセリワラ
わら今日,ワラキョウ
尻フェッチ,シリフェッチ
フェッチ😳,フェッチテレガオ
つうの,ツウノ
挑発的,チョウハツテキ
🍑🍒,モモサンランボ
万人,マンニン
万人,マンニン
✋感謝,パーカンシャ
感謝極まり,カンシャキワマリ
返し✋,ガエシキョシュ
一万,イチマン
万人,マンニン
億人,オクニン
人突破,ニントッパ
突破👺,トッパテング
😤✋,ドヤガオキョシュ
電子書籍👍,デンシショセキイエス
おは京,オハミヤコ
今日も一日始まり,キョウモイチニチハジマリ
✋😩,パーラクタンノヒョウジョウ
人類皆,ジンルイミナ
皆平等,ミナビョウドウ
平等👬,ビョウドウオトコドウシ
✋今日,キョシュキョウ
みんなバカ,ミンナバカ
✋俺,キョシュオレ
贈る言葉✋,オクルコトバキョシュ
おは京,オハミヤコ
３年,サンネン
漢✋,カンパー
a.k.aGAMI,エーケーエーガミ
俺ら,オレラ
怒り悲しみ,イカリカナシミ
悲しみ引き,カナシミビキ
あと何,アトナン
何回,ナンカイ
おは京,オハミヤコ
ワンパン👊,ワンパンパンチ
💦身の毛,アセリミノケ
ナカムラサン,ナカムラサン
京✋,キョウキョシュ
おは京,オハミヤコ
😊わら,エガオワラ
わら俺,ワラオレ
テレ朝🙏,テレアサガッショウ
ほんとうに行動,ホントウニコウドウ
江頭さん,エガシラサン
ほんと尊敬,ホントソンケイ
みんなさん,ミンナサン
さん😊,サンエガオ
部作,ブサク
作目,サクメ
🙏🙏,ガッショウガッショウ
王先輩,オウセンパイ
ナカムラサン,ナカムラサン
ナカムラサン,ナカムラサン
久徳先輩,キュウトクセンパイ
二枚,ニマイ
枚目,マイメ
ナカムラサン,ナカムラサン
京ちゃん,キョウチャン
昼休み😜,ヒルヤスミアッカンベー
大好きグランド,ダイスキグランド
グランドビッグマック,グランドビッグマック
ビッグマック🌋,ビッグマックカザン
✋ハンバーガー,パーハンバーガー
五重,ゴジュウ
血💉,チチュウシャキ
魂🍌,タマシイバナナ
人食い,ヒトグイ
食い虫,グイチュウ
リバースカード,リバースカード
人食い,ヒトグイ
食い虫,グイチュウ
虫😜,チュウアッカンベー
人食い,ヒトグイ
食い京,グイミヤコ
京ちゃん,ミヤコチャン
ちゃん😤,チャンドヤガオ
虫デッキ,チュウデッキ
みんなさん,ミンナサン
さん✋,サンキョシュ
😚✋,キスガオキョシュ
遊戯王🙌,ユウギオウバンザイ
千年,センネン
年原人,ネンゲンジン
😊今,エガオイマ
消防士さん,ショウボウシサン
✋毎週,パーマイシュウ
毎週合コン,マイシュウゴウコン
もん😚,モンキスガオ
おは京,オハミヤコ
リッキー✋,リッキーキョシュ
フルパワー,フルパワー
パワー肩パン,パワーカタパン
肩パン真っ赤,カタパンマッカ
真っ赤😡,マッカシカメッツラ
ため息吹,タメイブキ
価値観🤑,カチカンカネノモウジャ
いつだってgroovy,イツダッテグルービイ
終身刑💦,シュウシンケイアセリ
みんなさん,ミンナサン
ビッグニュース,ビッグニュース
ニュース😤,ニュースドヤガオ
ビッグウェーブ🏊,ビッグウェーブスイミング
3部作目,サンブサクメ
おは京,オハミヤコ
つうの,ツウノ
おは京,オハミヤコ
ダイナソー京也,ダイナソーキョウヤ
和田光司さん,ワダコウジサン
さん死去,サンシキョ
年以上,ネンイジョウ
これ💦,コレアセリ
真っ向勝負,マッコウショウブ
おは京,オハミヤコ
つうわけ,ツウワケ
岩崎京也,イワサキキョウヤ
帰り道涙,カエリミチナミダ
💦学校,アセリガッコウ
般若さん,ハンニャサン
さんリスペクト,サンリスペクト
リスペクト😊,リスペクトエガオ
ずして生,ズシテイケ
曲😊,キョクエガオ
般若さん,ハンニャサン
つう曲,ツウキョク
般若さん,ハンニャサン
家庭環境,カテイカンキョウ
24時間以内,ニジュウヨジカンイナイ
全部嘘,ゼンブウソ
嘘😡,ウソシカメッツラ
マイメン👫,マイメンダンジョ
決意✋,ケツイキョシュ
加減目,カゲンメ
訪問担当,ホウモンタントウ
ジジイが家,ジジイガカ
契約書書,ケイヤクショショ
昼休み🙋🏻,ヒルヤスミキョシュ
京ちゃん,キョウチャン
ちゃん😜,チャンアッカンベー
あっち👉,アッチミギ
こっち👈,コッチヒダリ
そっち👎,ソッチノー
トムフォードかっけ,トムフォードカッケ
娘さん,ムスメサン
弁当早起き,ベントウハヤオキ
早起き大変,ハヤオキタイヘン
おは京,オハキョウ
京😊,キョウエガオ
太陽さん,タイヨウサン
さんテメェ,サンテメェ
テメェまぶ,テメェマブ
まぶちぃ,マブチィ
出勤😤,シュッキンドヤガオ
風呂♨,フロオンセン
通りキャッチボール,トオリキャッチボール
キャッチボール式,キャッチボールシキ
下痢ウンチ,ゲリウンチ
下痢ウンチ,ゲリウンチ
💩下痢,ウンコゲリ
下痢キャッチ,ゲリキャッチ
👎風呂,ノーフロ
😩💦,ラクタンノヒョウジョウアセリ
R-指定さん,アールシテイサン
テメェら,テメェラ
ら全員,ラゼンイン
ヒップホップ麦,ヒップホップムギ
ホッピングジャンピング,ホッピングジャンピング
ジャンピングドリーマー,ジャンピングドリーマー
肩パン😜,カタパンアッカンベー
使い回し,ツカイマワシ
リリックメモ,リリックメモ
俺ら,オレラ
マジ感謝,マジカンシャ
こと🙏,コトガッショウ
承認待ち,ショウニンマチ
昼休憩,ヒルキュウケイ
メシ紹介,メシショウカイ
納豆チーズ,ナットウチーズ
チーズカレー,チーズカレー
カレー🍛,カレーカレー
ゴハン上,ゴハンジョウ
チン😜,チンアッカンベー
💦上,アセリジョウ
カレーさん,カレーサン
さん😚,サンキスガオ
フリースタイル京,フリースタイルミヤコ
京ちゃん,ミヤコチャン
心ごと,ココロゴト
見事🙏,ミゴトガッショウ
負け知らず,マケシラズ
知らず😎,シラズエガオ
😤✋,ドヤガオキョシュ
余裕😊,ヨユウエガオ
禁煙成功,キンエンセイコウ
円１,エンイチ
１年,イチネン
万円,マンエン
円１,エンイチ
１０,イチゼロ
０年,ゼロネン
万円,マンエン
おは京,オハミヤコ
フリースタイル🙏,フリースタイルガッショウ
満点スマイル,マンテンスマイル
人ゴミスクランブル,ヒトゴミスクランブル
奴異国,ヤッコイコク
お前ら,オマエラ
Goto,ゴートゥ
tothe,トゥザ
肩パンリズムゲーム,カタパンリズムゲーム
😡👊,シカメッツラパンチ
肩パンリズムゲーム,カタパンリズムゲーム
分経過,フンケイカ
変色😓,ヘンショクヒヤアセ
✋試合,パーシアイ
試合続行,シアイゾッコウ
新学期🏫,シンガッキガッコウ
新社会人🏢,シンシャカイジンビル
新人👬,シンジンオトコドウシ
大変そう,タイヘンソウ
子ちゃん,コチャン
✋否定的,パーヒテイテキ
肯定的😚,コウテイテキキスガオ
一歩,イチホ
歩前進,ホゼンシン
おは京,オハミヤコ
新生活🌸,シンセイカツサクラ
新学期👬,シンガッキオトコドウシ
肝心😤,カンジンドヤガオ
なっちまう💦,ナッチマウアセリ
ホリエモンこと,ホリエモンコト
こと堀江貴文,コトホリエタカフミ
😓俺,ヒヤアセオレ
楽天サン,ラクテンサン
入社😳,ニュウシャテレガオ
あと凛として時雨,アトリントシテシグレ
つうバンド,ツウバンド
ピエール中野👸🏻,ピエールナカノオヒメサマ
Mステ進出,エムステシンシュツ
😊わら,エガオワラ
喧嘩😓,ケンカヒヤアセ
