Wondering,ワンダーアイエヌジー
ontwitter,オンツイッター
inthe,インザ
isthe,イズザ
全て自分,スベテジブン
forthe,フォーザ
Numbercrunch,ナンバークランチ
crunching,クランチアイエヌジー
ingfor,アイエヌジーフォー
forthe,フォーザ
服屋,フクヤ
言葉達,コトバタチ
不満げ,フマンゲ
一人,イチニン
偽物呼ばわり,ニセモノヨバワリ
大人気分,ダイニンキブン
何百,ナンヒャク
百倍,ヒャクバイ
みんな当たり前,ミンナアタリマエ
政治家,セイジカ
政治家,セイジカ
政治家,セイジカ
政治家,セイジカ
政治家,セイジカ
希望通り,キボウドオリ
いつ人,イツニン
人が自分,ジンガジブン
ネット世界,ネットセカイ
ネット世界,ネットセカイ
一度,イチド
度きり,ドキリ
めいいっぱい,メイイッパイ
いっぱいオシャレ,イッパイオシャレ
たくさん足,タクサンアシ
言葉たち,コトバタチ
気付き,キツキ
一つ一つ,ヒトツヒトツ
一つ一つ,ヒトツヒトツ
一人,イチニン
人一,ニンイチ
一人,イチニン
迷路みたい,メイロミタイ
一つ一つ,ヒトツヒトツ
一つ確認,ヒトツカクニン
満足感,マンゾクカン
数秒,スウビョウ
興味津々で目,キョウミシンシンデメ
子供達,コドモタチ
たくさん言葉,タクサンコトバ
あなたに私,アナタニワタシ
自分以外,ジブンイガイ
オウム返し,オウムガエシ
とき人,トキヒト
いって時,イッテジ
おはよう2014年,オハヨウニセンジュウヨネン
幸せそう,シアワセソウ
内の一,ウチノイチ
一日,イチニチ
正当化,セイトウカ
毎年クリスマス,マイトシクリスマス
二人,ニニン
海崎兄妹,カイザキキョウダイ
素直さ,スナオサ
たくさん幸せ,タクサンシアワセ
男じゃないから,オトコジャナイカラ
ら周り,ラマワリ
優しさじゃなくて,ヤサシサジャナクテ
恋愛経験,レンアイケイケン
上手い人,ジョウズイジン
一つ一つ,ヒトツヒトツ
全能感,ゼンノウカン
一人,イチニン
人一,ニンイチ
一人,イチニン
何度も失恋,ナンドモシツレン
いくら手,イクラシュ
とき君,トキキミ
一番信用,イチバンシンヨウ
魅力的,ミリョクテキ
想像以上,ソウゾウイジョウ
一緒に家路,イッショニイエジ
二人,ニニン
友達程度,トモダチテイド
友達以下,トモダチイカ
嘘みたい,ウソミタイ
コーンポタージュおまえ,コーンポタージュオマエ
一粒,イチツブ
いつかその物,イツカソノモノ
クリスマスプレゼント何,クリスマスプレゼントナニ
おしるこ以外,オシルコイガイ
大小さまざま,ダイショウサマザマ
待ちきれない娘,マチキレナイムスメ
それ以来,ソレイライ
クリスマス当日,クリスマストウジツ
フォロワー諸君,フォロワーショクン
…。これ,サイレンスコレ
フォロワー諸君,フォロワーショクン
電気代,デンキダイ
人間なんて身勝手,ニンゲンナンテミガッテ
悩み事,ナヤミゴト
いない部屋,イナイヘヤ
ビニール袋,ビニールブクロ
出て自分,ダシテジブン
りな女子,リナジョシ
兄は目,アニハメ
完全防寒,カンゼンボウカン
丸出しなのだ,マルダシナノダ
友達みんな,トモダチミンナ
対処法,タイショホウ
17歳女性,ジュウナナサイジョセイ
人が大勢,ジンガタイセイ
一日,イチニチ
日台無し,ニチダイナシ
途中ホテル,トチュウホテル
トントンしながら,トントンシナガラ
しながらコーン,シナガラコーン
小学時代,ショウガクジダイ
時代雪,ジダイユキ
中学時代雪,チュウガクジダイユキ
中彼女,ナカカノジョ
高校時代,コウコウジダイ
時代雪,ジダイユキ
大学時代雪,ダイガクジダイユキ
美人さん,ビジンサン
人が気,ジンガキ
斜め右,ナナメミギ
男性軍,ダンセイグン
男性軍,ダンセイグン
引き立て役,ヒキタテヤク
動物アレルギー,ドウブツアレルギー
ワンちゃん大好き,ワンチャンダイスキ
信用できないよ,シンヨウデキナイヨ
傘さして,カササシテ
さして外,サシテガイ
じゃなくて文通,ジャナクテブンツウ
人が笑顔,ジンガエガオ
人が必死,ジンガヒッシ
こいつ寝顔,コイツネガオ
仕事関係,シゴトカンケイ
メールアドレス交換,メールアドレスコウカン
後々後悔,アトアトコウカイ
一生来,イチセイライ
たび歳,タビトシ
コート着,コートギ
きっと会い,キットカイイ
会いたい人,カイイタイジン
最近俺,サイキンオレ
おっさん風,オッサンフウ
おっさん天空,オッサンテンクウ
城無職,シロムショク
おっさん崖,オッサンガケ
友情以外,ユウジョウイガイ
鏡代わり,カガミカワリ
キモい要素,キモイヨウソ
めちゃくちゃ美人,メチャクチャビジン
人がいたん,ジンガイタン
旦那さん,ダンナサン
みのもんたさん,ミノモンタサン
台風速報,タイフウソクホウ
台風29号さん,タイフウニジュウキュウゴウサン
イケメン率,イケメンリツ
リア充爆発,リアジュウバクハツ
リア充物語,リアジュウモノガタリ
恋愛関係,レンアイカンケイ
恋愛経験,レンアイケイケン
態度急変,タイドキュウヘン
さっき道,サッキドウ
関係発展,カンケイハッテン
真っ直ぐ前,マッスグマエ
患者さん,カンジャサン
都合よすぎ,ツゴウヨスギ
装飾品,ソウショクヒン
品ですよ。,ヒンデスヨ
俺ら,オレラ
台風速報,タイフウソクホウ
寒冷渦,カンレイウズ
日本列島どこ,ニホンレットウドコ
年寄り優先,トシヨリユウセン
中身重視,ナカミジュウシ
20代女性,ニジュウダイジョセイ
気をつけた方,キヲツケタホウ
デブ自慢,デブジマン
信用できないよ,シンヨウデキナイヨ
内緒話,ナイショバナシ
いつか自分,イツカジブン
台風速報,タイフウソクホウ
自ら注意,ミズカラチュウイ
注意力,チュウイリョク
台風27号さん,タイフウニジュウナナゴウサン
西日本直撃,ニシニホンチョクゲキ
直撃コース,チョクゲキコース
コース濃厚,コースノウコウ
台風27号さん,タイフウニジュウナナゴウサン
パクツイ垂れ流し,パクツイタレナガシ
みんな記憶,ミンナキオク
