岩波DS,イワナミディーエス
立森,タツモリ
森先生,モリセンセイ
因果推論,インガスイロン
推論こと,スイロンコト
ことはじめ,コトハジメ
導入章,ドウニュウアキラ
学部生,ガクブセイ
M1相手,エムイチアイテ
傾向スコア,ケイコウスコア
野球データ,ヤキュウデータ
傾向スコア,ケイコウスコア
岩波DS,イワナミディーエス
因果推論,インガスイロン
岩波DS,イワナミディーエス
データフレーム,データフレーム
可視化,カシカ
進行中,シンコウチュウ
ヨコ軸,ヨコジク
軸ラベル,ジクラベル
alpha碁,アルファゴ
一般向け,イッパンムケ
傾向スコア,ケイコウスコア
傾向スコア,ケイコウスコア
傾向スコア,ケイコウスコア
事後分布,ジゴブンプ
罰金付き,バッキンツキ
付き推定,ツキスイテイ
一字,イチジ
好字二,コウジニ
二字,ニジ
留留,トメトメ
一字,イチジ
みーはー的,ミーハーテキ
Knuthさん,クヌースサン
literatureprogram,リテラチュアプログラム
programing,プログラムアイエヌジー
JAGS作者,ジェイリーグアフターゲームショーサクシャ
階層ベイズ,カイソウベイズ
作図環境,サクズカンキョウ
標準ライブラリ,ヒョウジュンライブラリ
ライブラリインストール,ライブラリインストール
昼寝拒否,ヒルネキョヒ
ぼーい先生,ボーイセンセイ
先生あいて,センセイアイテ
札幌市中央図書館,サッポロシチュウオウトショカン
自転車上,ジテンシャジョウ
図書館閉館,トショカンヘイカン
分前,フンマエ
べたーい,ベターイ
昼寝拒否,ヒルネキョヒ
拒否ぼーい,キョヒボーイ
ぼーいせんせい,ボーイセンセイ
図書館東側,トショカンヒガシガワ
ようす,ヨウス
後席,ノチセキ
席搭乗,セキトウジョウ
搭乗者,トウジョウシャ
楕円形,ダエンガタ
万km,マンキロメートル
ここ数,ココスウ
数日,スウニチ
巨大傘,キョダイカサ
あいあい傘,アイアイカサ
保育園通園,ホイクエンツウエン
通園用,ツウエンヨウ
ぼーい先生,ボーイセンセイ
ナショナルジオグラフィック日本版,ナショナルジオグラフィックニホンバン
日本版サイト,ニホンバンサイト
実験データ,ジッケンデータ
データ解析,データカイセキ
カウントデータ,カウントデータ
種子数,シュシスウ
連続値,レンゾクチ
測定時,ソクテイジ
時誤差,ジゴサ
個体間,コタイカン
すべて効果,スベテコウカ
効果ナシ,コウカナシ
