朱中元,シュチュウゲン
中元君,チュウゲンクン
彼自身,カレジシン
ニューラル機械翻訳,ニューラルキカイホンヤク
ホワイトボード書道,ホワイトボードショドウ
解説記事,カイセツキジ
ジャーナリスト目線,ジャーナリストメセン
データ科学者,データカガクシャ
岡崎直観,オカザキチョッカン
データ科学,データカガク
電子情報通信,デンシジョウホウツウシン
情報通信学会誌,ジョウホウツウシンガッカイシ
2016年4月,ニセンジュウロクネンシガツ
Here’s,ハーエス
TheWashington Post,ザワシントンポスト
言語技術,ゲンゴギジュツ
技術研究所,ギジュツケンキュウジョ
研究界隈,ケンキュウカイワイ
Macboo,マックブー
book.,ブーケイ
作題,サクダイ
課題１,カダイイチ
トリム平均,トリムヘイキン
自動採点,ジドウサイテン
採点システム,サイテンシステム
内部アーキテクチャ,ナイブアーキテクチャ
sqlit,シークエルアイティー
ite3,アイティーイースリー
自動採点,ジドウサイテン
採点システム,サイテンシステム
全て書き直し,スベテカキナオシ
言語処理学会後,ゲンゴショリガッカイゴ
１週間,イチシュウカン
サーバ上,サーバジョウ
サンドボックス化,サンドボックスカ
実行結果,ジッコウケッカ
ブラウザ上,ブラウザジョウ
自動採点,ジドウサイテン
採点システム,サイテンシステム
クライアント側,クライアントガワ
サーバ側,サーバガワ
出力結果,シュツリョクケッカ
セキュリティ的,セキュリティテキ
自動採点,ジドウサイテン
採点システム,サイテンシステム
システム経由,システムケイユ
モノ作り,モノヅクリ
GitHubPages,ギットハブペイジズ
Pages経由,ペイジズケイユ
必要無し,ヒツヨウナシ
講義準備,コウギジュンビ
自動採点,ジドウサイテン
採点システム,サイテンシステム
課題内容,カダイナイヨウ
一元管理,イチゲンカンリ
東北大学電気,トウホクダイガクデンキ
電気情報,デンキジョウホウ
情報物理工学科,ジョウホウブツリコウガクカ
プログラミング演習,プログラミングエンシュウ
ウェブサイト今年度,ウェブサイトコンネンド
学内限定,ガクナイゲンテイ
限定アクセス,ゲンテイアクセス
ため電源,タメデンゲン
電源無し,デンゲンナシ
ノートPC,ノートピーシー
対話テクニック,タイワテクニック
テクニックby,テクニックビーワイ
byon,ビーワイオン
徒歩以下,トホイカ
八木山付近,ヤキヤマフキン
マルチモーダル,マルチモーダル
モーダル関連,モーダルカンレン
声がけ,コエガケ
終電で帰,シュウデンデガエリ
で帰仙,デガエリセン
仙中,センチュウ
inAugust,インオウガスト
実装ノウハウ,ジッソウノウハウ
in言語処理学会,インゲンゴショリガッカイ
回年次,カイネンジ
年次大会,ネンジタイカイ
大会ワークショップ,タイカイワークショップ
村脇,ムラワキ
脇有吾,ワキユウゴ
有吾氏,ユウゴシ
言語進化,ゲンゴシンカ
進化史,シンカシ
統計的研究,トウケイテキケンキュウ
東中竜一郎,ヒガシナカリュウイチロウ
竜一郎氏,リュウイチロウシ
船越孝太郎,フナコシコウタロウ
孝太郎氏,コウタロウシ
対話システム,タイワシステム
回年次,カイネンジ
年次大会,ネンジタイカイ
大会at,タイカイアット
at東北大学,アットトウホクダイガク
東北大学川内,トウホクダイガクセンダイ
川内北,センダイキタ
北キャンパス,キタキャンパス
キャンパス開催,キャンパスカイサイ
開催中,カイサイチュウ
人工知能学会誌,ジンコウチノウガッカイシ
誌2016年,シニセンジュウロクネン
2016年3月,ニセンジュウロクネンサンガツ
3月号,サンガツゴウ
ニューラルネットワーク研究,ニューラルネットワークケンキュウ
月号,ツキゴウ
得居,トクキョ
居誠也,キョセイヤ
誠也氏,セイヤシ
ツールキット,ツールキット
研究者,ケンキュウシャ
尾形哲也,オガタテツヤ
哲也氏,テツヤシ
深層学習,シンソウガクシュウ
深層学習,シンソウガクシュウ
研究動向,ケンキュウドウコウ
尾形先生,オガタセンセイ
運動学習,ウンドウガクシュウ
深層学習,シンソウガクシュウ
渡辺太郎氏,ワタナベタロウシ
構造学習,コウゾウガクシュウ
構文解析および,コウブンカイセキオヨビ
および機械翻訳,オヨビキカイホンヤク
ニューラルネットワーク応用,ニューラルネットワークオウヨウ
デコーダモデル,デコーダモデル
注意モデル,チュウイモデル
言語処理,ゲンゴショリ
分散表現,ブンサンヒョウゲン
表現学習,ヒョウゲンガクシュウ
分散表現,ブンサンヒョウゲン
研究動向,ケンキュウドウコウ
言語処理,ゲンゴショリ
久保陽太郎,クボヨウタロウ
陽太郎氏,ヨウタロウシ
特化,トクカ
事前学習,ジゼンガクシュウ
データ並列,データヘイレツ
並列学習,ヘイレツガクシュウ
系列識別,ケイレツシキベツ
識別学習,シキベツガクシュウ
予測時,ヨソクジ
岡谷貴之,オカヤタカユキ
貴之氏,タカユキシ
画像認識,ガゾウニンシキ
深層学習,シンソウガクシュウ
研究動向,ケンキュウドウコウ
基本構造,キホンコウゾウ
構造設計,コウゾウセッケイ
転移学習,テンイガクシュウ
動作理解,ドウサリカイ
画像合成,ガゾウゴウセイ
2012年以降,ニセンジュウニネンイコウ
３月号,サンガツゴウ
ニューラルネットワーク研究,ニューラルネットワークケンキュウ
深層学習,シンソウガクシュウ
連載記事以降,レンサイキジイコウ
最新動向,サイシンドウコウ
私以外,ワタシイガイ
執筆陣,シッピツジン
岩波DS2,イワナミディエスツー
筆者ごと,ヒッシャゴト
岩波DS,イワナミディーエス
東日本大震災および,ヒガシニホンダイシンサイオヨビ
および今後,オヨビコンゴ
規模災害,キボサイガイ
仙台市副市長,センダイシフクシチョウ
副市長さん,フクシチョウサン
本日開催,ホンジツカイサイ
東北大学情報科学,トウホクダイガクジョウホウカガク
情報科学研究科,ジョウホウカガクケンキュウカ
研究科シンポジウム,ケンキュウカシンポジウム
Ustream中継,ユーストリームチュウケイ
言語処理,ゲンゴショリ
実践的,ジッセンテキ
ニューラルネット入門,ニューラルネットニュウモン
人上限,ニンジョウゲン
岩波データサイエンス,イワナミデータサイエンス
岩波DS,イワナミディーエス
間そちら,マソチラ
Paperon,ペーパーオン
onReason,オンノーズン
Reasoning,ノーズンアイエヌジー
ingabout,アイエヌジーアバウト
gotaccept,ジーオーティーアクセプト
accepted,アクセプトイーディー
edat,イーディーアット
ソフトウェアジャパン,ソフトウェアジャパン
ジャパンアワード,ジャパンアワード
MeCabユーザ,メカブユーザ
一皿,イチサラ
申し込み締切,モウシコミシメキリ
先着順,センチャクジュン
査読者,サドクシャ
平均的,ヘイキンテキ
ジャーナル発表,ジャーナルハッピョウ
