挑発的,チョウハツテキ
ハーマン批判,ハーマンヒハン
説得的,セットクテキ
isthe,イズザ
thepink,ザピンク
pinkfairy,ピンクフェアリー
inArgentina,インアルゼンチン
Argentinaand,アルゼンチンアンド
andonly,アンドオンリー
theyear,ザイヤー
米国都市,ベイコクトシ
データ手,データシュ
withPython,ウィズパイソン
さそう,サソウ
書籍版,ショセキバン
９月予定,クガツヨテイ
withPython,ウィズパイソン
Pythonwith,パイソンウィズ
withis,ウィズアイエス
isout,アイエスアウト
outas,アウトアズ
擬似月,ギジツキ
地球付近,チキュウフキン
引用文献,インヨウブンケン
共通表現,キョウツウヒョウゲン
表現空間,ヒョウゲンクウカン
解説記事,カイセツキジ
表象空間,ヒョウショウクウカン
みんな小学生,ミンナショウガクセイ
棒グラフ,ササゲグラフ
beeswarm,ビースワーム
量子系,リョウシケイ
エンタングルメントくりこみ,エンタングルメントクリコミ
１つ上,ヒトツジョウ
部分系,ブブンケイ
BH熱力学,ビーエイチネツリキガク
ホログラフィー原理,ホログラフィーゲンリ
直感的,チョッカンテキ
的理解,テキリカイ
面積則,メンセキソク
双曲,ソウキョク
曲的,キョクテキ
幾何学構造,キカガクコウゾウ
テンソル積波動関数,テンソルセキハドウカンスウ
章立て,アキラダテ
関係性,カンケイセイ
ランドールさん,ランドールサン
二か月,ニカゲツ
か月前,カゲツマエ
松枝宏明,マツエダヒロアキ
量子系,リョウシケイ
ホログラフィー原理,ホログラフィーゲンリ
分野横断,ブンヤオウダン
激胸熱,ゲキムネアツ
ホログラフィー原理,ホログラフィーゲンリ
新しい世界像,アタラシイセカイゾウ
NHKガッテン,エヌエイチケイガッテン
塩素系,エンソケイ
系カビ,ケイカビ
カビ取り,カビトリ
取り剤,トリザイ
週間ごと,シュウカンゴト
風呂場,フロジョウ
消毒用,ショウドクヨウ
用エタノール,ヨウエタノール
星間,ホシカン
間空間,カンクウカン
キラル分子,キラルブンシ
星間,ホシカン
間空間,カンクウカン
有機分子,ユウキブンシ
国際ニュース,コクサイニュース
宇宙物理学者,ウチュウブツリガクシャ
重力波望遠鏡LIGO,ジュウリョクハボウエンキョウライゴ
今日刊行,キョウカンコウ
佐々涼子さん,ササリョウコサン
重力波検出,ジュウリョクハケンシュツ
tMagic,トンマジック
Magiccc,マジックシーシー
discussing,ディスカスシング
and meta,アンドミーティーエー
tacognition,ティーエーコグニション
マジでこれはすごい,マジデコレハスゴイ
認識率,ニンシキリツ
手書き日本語,テガキニホンゴ
DMLさん,ディーエムエルサン
立花史,タチバナフミ
有限性,ユウゲンセイ
出版記念イベント,シュッパンキネンイベント
究極的,キュウキョクテキ
東京大学駒場,トウキョウダイガクコマンバ
宇宙すれすれ,ウチュウスレスレ
