ままふぁ,ママファ
おんりーさん,オンリーサン
NEO僧侶,エヌイーオーソウリョ
仏供,フツトモ
オクターブ半,オクターブハン
是非一,ゼヒイチ
オクターブ半,オクターブハン
あと最低,アトサイテイ
MIX依頼,ミックスイライ
ランキング上位,ランキングジョウイ
歌い手さん,ウタイテサン
デカさ,デカサ
常套手段さ,ジョウトウシュダンサ
コスパコスパ,コスパコスパ
最新チャート,サイシンチャート
組み合わせ通話,クミアワセツウワ
三人,サンニン
世界一好き,セカイイチスキ
うち三,ウチサン
三分の,サンブンノ
分の一,ブンノイチ
feellike,フィールライク
likeit,ライクイット
dois,ドーイズ
サビ前,サビマエ
ちんぽ侍,チンポサムライ
一瞬バグ,イッシュンバグ
俺二,オレニ
二年,ニネン
年連続,ネンレンゾク
myvoice,マイヴォイス
アルバムCD,アルバムシーディー
myvo,マイバーチャロン
voic,バーチャロンアイシー
ice2,アイシーイーツー
voic,バーチャロンアイシー
ice3,アイシーイースリー
voiceto,ボイストゥ
tolov,トゥレジェンドオブブァンディア
love4,レジェンドオブブァンディアイーヨン
voiceis,ボイスイズ
voiceman,ボイスエムアーエヌ
myvoice,マイヴォイス
二階,ニカイ
精神的,セイシンテキ
嘘乙,ウソオツ
乙w,オツワット
論破w,ロンパワット
今何,イマナニ
こちら父親,コチラチチオヤ
二階,ニカイ
二階,ニカイ
鉛弾,ナマリダン
秒遅刻,ビョウチコク
一日,イチニチ
日中,ニチチュウ
中荷物,チュウニモツ
荷物持ち,ニモツモチ
万円,マンエン
顔写真,カオシャシン
タッチひとつ,タッチヒトツ
手前僕,テマエボク
破壊音,ハカイオン
一緒に録,イッショニロク
女の子四,オンナノコヨン
四名,ヨンメイ
動物的,ドウブツテキ
高いゲーム,コウイゲーム
これあれ,コレアレ
ワンシーン,ワンシーン
ジェスチャーですよ。,ジェスチャーデスヨ
ですよ。体,デスヨタイ
こちらレベ,コチラレベ
系男子,ケイダンシ
一日,イチニチ
人超,ニンチョウ
呪印,ノロイシルシ
ソイヤ,ソイヤ
二年,ニネン
年前,ネンマエ
暗黒微笑,アンコクビショウ
会議行き,カイギイキ
童島,ワラベシマ
島貞治,シマサダハル
享年九,キョウネンキュウ
九十,キュウジュウ
十二,ジュウニ
七十,ナナジュウ
十歳,ジュウサイ
余命一,ヨメイイチ
一年,イチネン
二十,ニジュウ
十年,ジュウネン
疫学的,エキガクテキ
さすぎ,サスギ
奇跡的,キセキテキ
件以上,ケンイジョウ
以上登録,イジョウトウロク
二次,ニジ
次的,ジテキ
