jpさん,ジェーピーサン
NLP若手,エヌエルピーワカテ
分野外,ブンヤガイ
言語処理,ゲンゴショリ
マルチモーダル,マルチモーダル
参加お待ち,サンカオマチ
Oriented,オリエントイーディー
回データマイニング,カイデータマイニング
深層学習,シンソウガクシュウ
機械学習祭り,キカイガクシュウマツリ
発表本数,ハッピョウホンスウ
トピックあたり,トピックアタリ
内容詳細,ナイヨウショウサイ
広告機械学習,コウコクキカイガクシュウ
機械学習最前線,キカイガクシュウサイゼンセン
深層学習,シンソウガクシュウ
学習フレームワーク,ガクシュウフレームワーク
フレームワーク概論,フレームワークガイロン
活用方法,カツヨウホウホウ
回データマイニング,カイデータマイニング
深層学習,シンソウガクシュウ
機械学習祭り,キカイガクシュウマツリ
深層学習,シンソウガクシュウ
学習フレームワーク,ガクシュウフレームワーク
フレームワーク概論,フレームワークガイロン
深層学習,シンソウガクシュウ
学習モデル,ガクシュウモデル
モデル実装,モデルジッソウ
広告機械学習,コウコクキカイガクシュウ
機械学習最前線,キカイガクシュウサイゼンセン
豪華内容,ゴウカナイヨウ
回データマイニング,カイデータマイニング
深層学習,シンソウガクシュウ
機械学習機械学習,キカイガクシュウキカイガクシュウ
機械学習祭り,キカイガクシュウマツリ
Codefor,コードフォー
Applicationto,アプリケーショントゥ
Communicationwith,コミュニケーションウィズ
withDeep,ウィズディープ
International,インテルナショナル
Modelfor,モデルフォー
Interactive,インテルアクティブ
forML,フォーエムエル
脳型,ノウガタ
型計算,ガタケイサン
計算雑談,ケイサンザツダン
雑談会,ザツダンカイ
解決問題,カイケツモンダイ
可変長情報,カヘンチョウジョウホウ
深層学習,シンソウガクシュウ
学習活用,ガクシュウカツヨウ
体験提供,タイケンテイキョウ
登壇資料,トウダンシリョウ
深層学習,シンソウガクシュウ
学習活用,ガクシュウカツヨウ
画像生成,ガゾウセイセイ
対話等,タイワトウ
各種体験,カクシュタイケン
体験提供,タイケンテイキョウ
th.,トンエイチ
AICode,アイコード
FacebookAI,フェイスブックアイ
AIResearch,アイリサーチ
Researchat,リサーチアット
Researchat,リサーチアット
atGoogle,アットグーグル
Googleand,グーグルアンド
ispretty good!,アイエスプリティーグッド
DeepNLP,ディープエヌエルピー
oriented,オリエントイーディー
forScript,フォースクリプト
Networkson,ネットワークスオン
Chintala,チンタエルエー
深層学習,シンソウガクシュウ
学習活用,ガクシュウカツヨウ
体験提供,タイケンテイキョウ
登壇内容,トウダンナイヨウ
深層学習,シンソウガクシュウ
学習活用,ガクシュウカツヨウ
画像生成,ガゾウセイセイ
各種体験,カクシュタイケン
体験提供,タイケンテイキョウ
networksfor,ネットワークスフォー
forAutomatic,フォーオートマティック
AutomaticMusic,オートマティックミュージック
toTensorFlow,トゥテンソーフロー
DeepNLP,ディープエヌエルピー
自動線画,ジドウセンガ
線画化,センガカ
二弾,ニダン
弾CM,ダンシーエム
今年夏,コトシナツ
件アクセプト,ケンアクセプト
白黒画像,シロクロガゾウ
自動色付け,ジドウイロヅケ
線画化,センガカ
Numerical,ヌメリカル
Networksfor,ネットワークスフォー
Captioning,キャプションアイエヌジー
深層学習,シンソウガクシュウ
学習活用,ガクシュウカツヨウ
体験提供,タイケンテイキョウ
開催後,カイサイゴ
アプリ利用,アプリリヨウ
体験動画,タイケンドウガ
開催内容,カイサイナイヨウ
内容まとめ,ナイヨウマトメ
リンク追加,リンクツイカ
forThemselves,フォーゼムセルブズ
Networksfor,ネットワークスフォー
forCode,フォーコード
BestPaper,ベストペーパー
BestPaper,ベストペーパー
紹介動画,ショウカイドウガ
Whyis,ホワイイズ
isdeep,イズディープ
回データマイニング,カイデータマイニング
機械学習祭り,キカイガクシュウマツリ
深層学習,シンソウガクシュウ
技術話題,ギジュツワダイ
適用アプリ,テキヨウアプリ
withOne,ウィズワン
DiscoveryEngine,ディスカバリーエンジン
会場参加者,カイジョウサンカシャ
バックグラウンド一覧,バックグラウンドイチラン
回データマイニング,カイデータマイニング
機械学習祭り,キカイガクシュウマツリ
進行方針,シンコウホウシン
SmartNewsさん,スマートニュースサン
さん会場,サンカイジョウ
会場準備,カイジョウジュンビ
準備完了,ジュンビカンリョウ
開催日,カイサイビ
timeFace,タイムフェイス
ニューラル機械翻訳,ニューラルキカイホンヤク
語彙数,ゴイスウ
数制約,スウセイヤク
単語ベース,タンゴベース
文字ベース,モジベース
生成時,セイセイジ
単語ベース,タンゴベース
文字ベース,モジベース
学習済,ガクシュウスミ
Style再構成,スタイルサイコウセイ
順伝播,ジュンデンパ
画像生成,ガゾウセイセイ
高速スタイル,コウソクスタイル
スタイル変換,スタイルヘンカン
andAaron,アンドアーロン
Deep3D,ディープスリーディー
Automatic2D,オートマティックツーディー
生成画像,セイセイガゾウ
