の非常,ノヒジョウ
数年,スウネン
研究方針,ケンキュウホウシン
青木秀夫先生,アオキヒデオセンセイ
退官記念,タイカンキネン
記念シンポジウム,キネンシンポジウム
青木先生,アオキセンセイ
退官記念,タイカンキネン
記念祝賀,キネンシュクガ
祝賀会,シュクガカイ
青木先生,アオキセンセイ
青木先生,アオキセンセイ
青木秀夫先生,アオキヒデオセンセイ
先生退官,センセイタイカン
退官記念,タイカンキネン
記念シンポジウム,キネンシンポジウム
講演終了,コウエンシュウリョウ
青木先生,アオキセンセイ
たくさん議論,タクサンギロン
２次元,ニジゲン
次元小説,ジゲンショウセツ
講演スライド,コウエンスライド
パリ滞在,パリタイザイ
全部フォロー,ゼンブフォロー
講堂そのもの,コウドウソノモノ
基研,モトケン
夜１,ヨルイチ
１０,イチゼロ
０時,ゼロジ
時すぎ,ジスギ
夏至直前,ゲシチョクゼン
講演スライド,コウエンスライド
経度線,ケイドセン
ローズライン,ローズライン
経度線,ケイドセン
線上,センジョウ
一輪,イチリン
パンテオン近く,パンテオンチカク
経度線,ケイドセン
線上,センジョウ
変化率,ヘンカリツ
６０,ロクゼロ
０メートル,ゼロメートル
一往復,イチオウフク
ラグランジアン,ラグランジアン
キュリー夫妻,キュリーフサイ
QCD研究会,キューシーディーケンキュウカイ
モンパルナス墓地,モンパルナスボチ
ポアンカレセクション,ポアンカレセクション
一番上,イチバンジョウ
カッシーニ室,カッシーニシツ
当時地球,トウジチキュウ
３メートル,サンメートル
メートル以上,メートルイジョウ
４０,ヨンゼロ
０センチ,ゼロセンチ
センチ望遠鏡,センチボウエンキョウ
ここパリ天文台,ココパリテンモンダイ
１７,イチナナ
７世紀,ナナセイキ
パリQCD,パリキューシーディー
QCD研究会,キューシーディーケンキュウカイ
米チーム,ベイチーム
共同通信47NEWS,キョウドウツウシンヨンナナニュース
LIGOプレス,ライゴプレス
プレス発表,プレスハッピョウ
最新成果,サイシンセイカ
プレス発表,プレスハッピョウ
あと５,アトゴ
５分,ゴフン
ここパリ天文台,ココパリテンモンダイ
ネット中継,ネットチュウケイ
講演直前,コウエンチョクゼン
数日,スウニチ
友人たち,ユウジンタチ
杜撰さ,ズサンサ
飽和水,ホウワスイ
水蒸気圧,スイジョウキアツ
モンスリ,モンスリ
スリ公園,スリコウエン
夜８,ヨルハチ
８時半,ハチジハン
地下ホーム,チカホーム
熱力学的,ネツリキガクテキ
昨年末,サクネンマツ
COP21会議,コップニジュウイチカイギ
QCD会議,キューシーディーカイギ
特別セッション,トクベツセッション
明日6月11日,アシタロクガツジュウイチニチ
阪大物理,ハンダイブツリ
大学院入試,ダイガクインニュウシ
入試説明会,ニュウシセツメイカイ
湯川黒板,ユカワコクバン
黒板前,コクバンマエ
講義室,コウギシツ
JOIITO,ジョイイト
阪大素粒子,ハンダイソリュウシ
素粒子論,ソリュウシロン
論教授,ロンキョウジュ
教授公募,キョウジュコウボ
元素名案,ゲンソメイアン
元素記号案,ゲンソキゴウアン
パブリックレビュー,パブリックレビュー
レビュー開始,レビューカイシ
JPさん,ジェーピーサン
２年間,ニネンカン
方々向け,カタガタムケ
最終的,サイシュウテキ
全日空NH,ゼンニックウエヌエイチ
激安,ゲキヤス
安セール,ヤスセール
全日空NH,ゼンニックウエヌエイチ
阪神優勝記念,ハンシンユウショウキネン
記念セール,キネンセール
セールみたい,セールミタイ
reactioninterference,リアクションインターフェアレンス
今回の,コンカイノ
来週末,ライシュウマツ
青木秀夫先生,アオキヒデオセンセイ
先生退官,センセイタイカン
退官シンポジウム,タイカンシンポジウム
講演スライド,コウエンスライド
１日,イチニチ
日モヤモヤ,ニチモヤモヤ
数年,スウネン
一歩,イチホ
歩一,ホイチ
一歩,イチホ
歩観測,ホカンソク
森田さん,モリタサン
山本直希,ヤマモトナオキ
直希さん,ナオキサン
アインシュタイン,アインシュタイン
シュタイン賞,シュタインショウ
涎垂,ヨダレシデ
論文ドラフト,ロンブンドラフト
共同研究,キョウドウケンキュウ
研究者,ケンキュウシャ
一読者,イチドクシャ
學鐙,マナブアブミ
スマホで目,スマホデメ
図書室,トショシツ
直接議論,チョクセツギロン
数学図書,スウガクトショ
図書室,トショシツ
學鐙,マナブアブミ
掲載号,ケイサイゴウ
読後感募集,ドクゴカンボシュウ
２講演,ニコウエン
スライド完成,スライドカンセイ
東大シンポ,トウダイシンポ
講演の,コウエンノ
９年,キュウネン
年前,ネンマエ
加速器実験,カソクキジッケン
講演スライド,コウエンスライド
一つ目,ヒトツメ
講演スライド,コウエンスライド
３０,サンゼロ
０分,ゼロフン
分講演,フンコウエン
１４,イチヨン
４ページ,ヨンページ
３枚,サンマイ
１１,イチイチ
１ページ,イチページ
スライド１,スライドイチ
１枚,イチマイ
枚当たり,マイアタリ
当たり２,アタリニ
２分,ニフン
分半,フンハン
児童公園,ジドウコウエン
理論屋,リロンヤ
問題自体,モンダイジタイ
程度応用,テイドオウヨウ
史上最大,シジョウサイダイ
証明問題,ショウメイモンダイ
gizmodojapan,ギズモードジャパン
japanさん,ジャパンサン
編集後記,ヘンシュウコウキ
十五,ジュウゴ
五分,ゴフン
編集後記,ヘンシュウコウキ
出てきただけ,ダシテキタダケ
きただけなんだろう,キタダケナンダロウ
共同研究,キョウドウケンキュウ
研究者,ケンキュウシャ
エントロピー増大,エントロピーゾウダイ
テレビ取材,テレビシュザイ
エントロピー増大,エントロピーゾウダイ
傑作キタ,ケッサクキタ
自発的結び目,ジハツテキムスビメ
結び目形成,ムスビメケイセイ
これムッチャ,コレムッチャ
素結び目,モトムスビメ
結び目いっぱい,ムスビメイッパイ
テレビ番組放映,テレビバングミホウエイ
子供達,コドモタチ
一日,イチニチ
日中,ニチチュウ
中議論,チュウギロン
木村太郎さん,キムラタロウサン
QCD近藤効果,キューシーディーコンドウコウカ
重力系,ジュウリョクケイ
散々議論,サンザンギロン
イヤフォン,イヤフォン
登場予定,トウジョウヨテイ
時半過ぎ,ジハンスギ
過ぎ頃,スギゴロ
ABC朝日放送,エービーシーアサヒホウソウ
たくさん議論,タクサンギロン
たくさん議論,タクサンギロン
ほんま幸せ,ホンマシアワセ
研究室ジャーナル,ケンキュウシツジャーナル
ジャーナルクラブ,ジャーナルクラブ
スライド表紙,スライドヒョウシ
山口崇司,ヤマグチシユウジ
崇司さん,シユウジサン
来週火曜日,ライシュウカヨウビ
今晩火星,コンバンカセイ
歩き読書,アルキドクショ
今月号,コンゲツゴウ
号特集,ゴウトクシュウ
