学習最適化,ガクシュウサイテキカ
ステップ幅,ステップハバ
ステップ幅,ステップハバ
よう学習,ヨウガクシュウ
レイヤー毎,レイヤーゴト
ユニット毎,ユニットゴト
最適化,サイテキカ
数十,スウジュウ
十層,ジュウソウ
指数,ユビスウ
数個,スウコ
潜在変数,センザイヘンスウ
生成モデル,セイセイモデル
同時確率,ドウジカクリツ
推論モデル,スイロンモデル
同時確率,ドウジカクリツ
擬似観測,ギジカンソク
観測回数,カンソクカイスウ
内発,ウチハツ
発的,ハツテキ
的動機づけ,テキドウキヅケ
生成側,セイセイガワ
精度付き,セイドツキ
付き重み,ツキオモミ
重み付き,オモミツキ
付き平均,ツキヘイキン
ヤコビアン行列,ヤコビアンギョウレツ
フロベニウスノルム,フロベニウスノルム
最小化,サイショウカ
最大固有値,サイダイコユウチ
最小化,サイショウカ
甘利先生,アマリセンセイ
情報幾何,ジョウホウキカ
成書,ナルショ
情報幾何,ジョウホウキカ
情報幾何,ジョウホウキカ
甘利先生,アマリセンセイ
本文中,ホンブンチュウ
記号あたり,キゴウアタリ
脳型,ノウガタ
型計算,ガタケイサン
計算雑談,ケイサンザツダン
雑談会,ザツダンカイ
解決問題,カイケツモンダイ
可変長情報,カヘンチョウジョウホウ
starteda,スターテッドアール
alive,アールライブ
livestream,ライブストリーム
streamon,ストリームオン
初期値,ショキチ
スケール不変,スケールフヘン
認識に役,ニンシキニヤク
更新式,コウシンシキ
最小化,サイショウカ
化問題,カモンダイ
密度比,ミツドヒ
比推定,ヒスイテイ
学習過程,ガクシュウカテイ
初期値,ショキチ
日曜夜,ニチヨウヨル
解説スライド,カイセツスライド
こちら最初,コチラサイショ
弊社岡野,ヘイシャオカノ
レーン検出,レーンケンシュツ
特徴設計,トクチョウセッケイ
直接制御,チョクセツセイギョ
年前,ネンマエ
深層学習,シンソウガクシュウ
車載側,シャサイガワ
計算処理,ケイサンショリ
処理向上,ショリコウジョウ
直接cnn,チョクセツシーエヌエヌ
自動走行,ジドウソウコウ
冗長さ,ジョウチョウサ
ため正,タメセイ
遷移部,センイブ
ミニバッチ,ミニバッチ
バッチ正規化,バッチセイキカ
遷移部,センイブ
入力部,ニュウリョクブ
ミニバッチ,ミニバッチ
バッチ正規化,バッチセイキカ
初期値,ショキチ
遷移部,センイブ
ミニバッチ,ミニバッチ
バッチ正規,バッチセイキ
学習効率,ガクシュウコウリツ
人が実現,ジンガジツゲン
提案論文,テイアンロンブン
因果モデル,インガモデル
心理モデル,シンリモデル
階層型,カイソウガタ
型変分法,ガタヘンブンホウ
先日紹介,センジツショウカイ
補助変数,ホジョヘンスウ
生成モデル,セイセイモデル
数学的,スウガクテキ
生成モデル,セイセイモデル
推論モデル,スイロンモデル
各種センサ,カクシュセンサ
会社チャット,カイシャチャット
分後,フンゴ
丸山先生,マルヤマセンセイ
推論ネットワーク,スイロンネットワーク
最適化,サイテキカ
最小化,サイショウカ
離散的,リサンテキ
微分不可能,ビブンフカノウ
潜在変数,センザイヘンスウ
誤差伝搬,ゴサデンパン
推論側,スイロンガワ
変分,ヘンブン
分下限,ブンカゲン
微分不可能,ビブンフカノウ
目標値,モクヒョウチ
尤度,ユウド
度最大,ドサイダイ
最大化,サイダイカ
重点サンプリング,ジュウテンサンプリング
勾配降下,コウバイコウカ
降下法,コウカホウ
推論モデル,スイロンモデル
学習可能,ガクシュウカノウ
変換層,ヘンカンソウ
隠れキャンバス,カクレキャンバス
生成時,セイセイジ
尤度,ユウド
補助変数,ホジョヘンスウ
推定時,スイテイジ
補助変数,ホジョヘンスウ
事後確率推定,ジゴカクリツスイテイ
尤度,ユウド
度推定,ドスイテイ
画像認識,ガゾウニンシキ
夏季インターン,カキインターン
インターン募集開始,インターンボシュウカイシ
内容的,ナイヨウテキ
会社説明,カイシャセツメイ
原田先生,ハラダセンセイ
ヘッドマウント,ヘッドマウント
物体検出,ブッタイケンシュツ
原田先生,ハラダセンセイ
位以下,イイカ
既存手法,キソンシュホウ
私達,ワタシタチ
名詞以外,メイシイガイ
他は特別扱い,タハトクベツアツカイ
統一的,トウイツテキ
セグメンテーション境界,セグメンテーションキョウカイ
転移学習,テンイガクシュウ
どちら由来,ドチラユライ
バッチサイズ,バッチサイズ
初期化時,ショキカジ
初期値,ショキチ
初期値,ショキチ
メイン開発者,メインカイハツシャ
画像研究,ガゾウケンキュウ
去年登場,キョネントウジョウ
言語クエリ,ゲンゴクエリ
紹介ビジョン,ショウカイビジョン
共同研究,キョウドウケンキュウ
分類モデル,ブンルイモデル
画像認識,ガゾウニンシキ
転移学習,テンイガクシュウ
研究者,ケンキュウシャ
岡野原さん,オカノゲンサン
得居,トクキョ
居さん,キョサン
原田先生,ハラダセンセイ
深層学習,シンソウガクシュウ
学習事例,ガクシュウジレイ
ストリーム処理,ストリームショリ
OSS化,オーエスエスカ
盤面評価,バンメンヒョウカ
評価単体,ヒョウカタンタイ
既存手法,キソンシュホウ
前向きシミュレーション,マエムキシミュレーション
状態評価,ジョウタイヒョウカ
探索木の,タンサクキノ
木の展開,キノテンカイ
展開時,テンカイジ
盤面評価,バンメンヒョウカ
モデル同士,モデルドウシ
盤面評価,バンメンヒョウカ
序中盤,ジョチュウバン
技術的,ギジュツテキ
今週日曜,コンシュウニチヨウ
NHK番組,エヌエイチケイバングミ
番組サキ,バングミサキ
一緒に出演,イッショニシュツエン
閾値関数,イキチカンスウ
活性値,カッセイチ
エラーとも,エラートモ
学習可能,ガクシュウカノウ
重み初期化,オモミショキカ
活性値,カッセイチ
直交化,チョッコウカ
ミニバッチ,ミニバッチ
正規化,セイキカ
ミニバッチ,ミニバッチ
バッチ正則化,バッチセイソクカ
離散変数,リサンヘンスウ
生成モデル,セイセイモデル
変数変換,ヘンスウヘンカン
連続変数,レンゾクヘンスウ
勾配推定,コウバイスイテイ
推定時,スイテイジ
ミニバッチ,ミニバッチ
バッチ内,バッチナイ
推定値,スイテイチ
ベースライン,ベースライン
生成モデル,セイセイモデル
理論的,リロンテキ
自己符号化,ジコフゴウカ
符号化器,フゴウカキ
符号器,フゴウキ
復号化,フクゴウカ
化器,カキ
生成モデル,セイセイモデル
学習事例,ガクシュウジレイ
学習則,ガクシュウソク
最新作,サイシンサク
学習エラー,ガクシュウエラー
実験的,ジッケンテキ
ミニバッチ,ミニバッチ
バッチ正規化,バッチセイキカ
重み行列,オモミギョウレツ
長さと正規,ナガサトセイキ
正規化,セイキカ
モデル化,モデルカ
分散推定,ブンサンスイテイ
遷移部,センイブ
二回,ニカイ
回目,カイメ
エラー減衰,エラーゲンスイ
遷移行列,センイギョウレツ
遷移行列,センイギョウレツ
直交行列,チョッコウギョウレツ
毎回直交,マイカイチョッコウ
正規化,セイキカ
複素空間,フクソクウカン
微分可能,ビブンカノウ
ユニタリ行列,ユニタリギョウレツ
ビット演算同士,ビットエンザンドウシ
行列積,ギョウレツセキ
活性値,カッセイチ
先日紹介,センジツショウカイ
binarynet,バイナリエヌイーティー
chainer,チェインイーアール
二値,ニチ
値化,チカ
binarynet,バイナリエヌイーティー
バッチ正則化,バッチセイソクカ
変分,ヘンブン
分下限,ブンカゲン
下限最大,カゲンサイダイ
最大化,サイダイカ
統一的,トウイツテキ
変分,ヘンブン
分誤差,ブンゴサ
最適値,サイテキチ
活性値,カッセイチ
二値,ニチ
計算コスト,ケイサンコスト
特殊ハード,トクシュハード
二回,ニカイ
回目,カイメ
採用イベント,サイヨウイベント
Networksオープンハウス,ネットワークスオープンハウス
時場合,トキバアイ
正則化手法,セイソクカシュホウ
統一的,トウイツテキ
実験的,ジッケンテキ
対数尤,タイスウユウ
尤度,ユウド
変分,ヘンブン
分下限,ブンカゲン
確率分布,カクリツブンプ
最終ステップ,サイシュウステップ
対数尤,タイスウユウ
尤度,ユウド
学習律,ガクシュウリツ
現在MIST,ゲンザイミスト
MIST生成,ミストセイセイ
生成モデル,セイセイモデル
フィッシャー行列,フィッシャーギョウレツ
オンライン推定,オンラインスイテイ
モーメンタム,モーメンタム
メンタム重み,メンタムオモミ
パラメータ毎,パラメータゴト
最適化手法,サイテキカシュホウ
深層学習,シンソウガクシュウ
遷移ノイズ,センイノイズ
オンライン推定,オンラインスイテイ
学習時,ガクシュウジ
初期値,ショキチ
手予測,テヨソク
手予測,テヨソク
価値関数,カチカンスウ
さくらインターネットさん,サクラインターネットサン
一緒にGPU,イッショニジーピーユー
ロボットカー,ロボットカー
jpさん,ジェーピーサン
網羅的,モウラテキ
昨日アップロード,キノウアップロード
講演資料,コウエンシリョウ
駐車場検出,チュウシャジョウケンシュツ
追加情報,ツイカジョウホウ
昨年末,サクネンマツ
今年はじめ,コトシハジメ
深層学習,シンソウガクシュウ
ロボットカー,ロボットカー
バラ積み,バラヅミ
積みロボット,ヅミロボット
画像生成,ガゾウセイセイ
robotcar,ロボットカー
inCES,インセス
otherin,アザーイン
inreal,インリアル
realtime,リアルタイム
theAI,ザアイ
AItech,アイテック
techthat,テックザット
carscan,カーズカン
todrive,トゥドライブ
driveby,ドライブビーワイ
bythemselves,ビーワイゼムセルブズ
themselvesat,ゼムセルブズアット
usat,アスアット
atbooth,アットブース
inthe,インザ
theNorth,ザノース
redcar,レッドカー
caris,カーイズ
byhuman,ビーワイヒューマン
othercars,アザーカーズ
carstry,カーズトルコリラ
tryto,トルコリラトゥ
toavoid,トゥアヴォイド
onlyraw,オンリーロウ
andspeed,アンドスピード
bydeep,ビーワイディープ
inces,インセス
withtoyota,ウィズトヨタ
toyotaand n,トヨタアンドエヌ
and ntt,アンドエヌティーオーティーオーピー
ブラウザ上,ブラウザジョウ
いろいろ顔,イロイロガオ
AI分野,アイブンヤ
高い技術,コウイギジュツ
技術力,ギジュツリョク
画像生成,ガゾウセイセイ
学習アルゴリズム,ガクシュウアルゴリズム
学習データ,ガクシュウデータ
学習事例,ガクシュウジレイ
学習結果,ガクシュウケッカ
汎化,ヒロシカ
化誤差,カゴサ
目的関数,モクテキカンスウ
汎化,ヒロシカ
化誤差,カゴサ
自動生成,ジドウセイセイ
現実世界,ゲンジツセカイ
国際ロボット,コクサイロボット
ロボット展,ロボットテン
バラ積み,バラヅミ
最新技術,サイシンギジュツ
是非お越,ゼヒオコシ
潜在変数,センザイヘンスウ
変数モデル,ヘンスウモデル
周辺化,シュウヘンカ
潜在変数,センザイヘンスウ
確率分布,カクリツブンプ
敵対的生成,テキタイテキセイセイ
生成モデル,セイセイモデル
敵対的自己,テキタイテキジコ
自己符号化,ジコフゴウカ
符号化器,フゴウカキ
事前分布,ジゼンブンプ
最新作,サイシンサク
畳み込み,タタミミコミ
表現力,ヒョウゲンリョク
パラメータ数,パラメータスウ
倍程度,バイテイド
エラー率,エラーリツ
翻訳処理,ホンヤクショリ
paperis,ペーパーアイエス
isaccept,アイエスアクセプト
accepted,アクセプトイーディー
edat,イーディーアット
youat,ユウアット
全体セミナー,ゼンタイセミナー
並列処理,ヘイレツショリ
wsjさん,ダブリューエスジェイサン
深層強化学習,シンソウキョウカガクシュウ
改善，,カイゼン，
状態行動,ジョウタイコウドウ
行動価値,コウドウカチ
価値関数,カチカンスウ
TDエラー,タッチダウンエラー
優先度,ユウセンド
度付き,ドツキ
付きサンプリング,ツキサンプリング
補完問題,ホカンモンダイ
ランク近似,ランクキンジ
分散表現,ブンサンヒョウゲン
確信度,カクシンド
出力変数,シュツリョクヘンスウ
変数側,ヘンスウガワ
分類器,ブンルイキ
出力分布,シュツリョクブンプ
自己符号化,ジコフゴウカ
符号化器,フゴウカキ
ミニチュアMLP,ミニチュアエムエルピー
全部大事,ゼンブダイジ
勾配推定,コウバイスイテイ
重点サンプリング,ジュウテンサンプリング
学習結果,ガクシュウケッカ
言語モデル学習,ゲンゴモデルガクシュウ
数十,スウジュウ
十億,ジュウオク
億単語,オクタンゴ
テクニック自体,テクニックジタイ
活性値,カッセイチ
負側,フガワ
CIFA,シーアイエフエイ
FAR100,エフエイアールヒャク
最新作,サイシンサク
学習事例,ガクシュウジレイ
共分散行列,キョウブンサンギョウレツ
学習可能,ガクシュウカノウ
確率的,カクリツテキ
遷移関数,センイカンスウ
変数変換,ヘンスウヘンカン
変換トリック,ヘンカントリック
直接学習,チョクセツガクシュウ
系列モデル,ケイレツモデル
系列そのもの,ケイレツソノモノ
事前学習,ジゼンガクシュウ
数百,スウヒャク
深層生成,シンソウセイセイ
生成モデル,セイセイモデル
窓推定,マドスイテイ
生成モデル,セイセイモデル
洗濯物,センタクブツ
樹上,キジョウ
上突起,ジョウトッキ
突起スパイク,トッキスパイク
発見後,ハッケンゴ
バッチ正規化,バッチセイキカ
バッチマンハッタン,バッチマンハッタン
普通に学習,フツウニガクシュウ
局所的,キョクショテキ
教師信号,キョウシシンゴウ
ヘルムホルツマシン,ヘルムホルツマシン
改良版,カイリョウバン
生成モデル,セイセイモデル
認識モデル,ニンシキモデル
相乗平均,ソウジョウヘイキン
目標確率,モクヒョウカクリツ
確率分布,カクリツブンプ
双方向ヘルムホルツ,ソウホウコウヘルムホルツ
ヘルムホルツマシン,ヘルムホルツマシン
深層生成,シンソウセイセイ
生成モデル,セイセイモデル
深層学習,シンソウガクシュウ
乗算演算,ジョウザンエンザン
符号付け,フゴウヅケ
量子化,リョウシカ
汎化,ヒロシカ
化性能,カセイノウ
系列モデル,ケイレツモデル
隠れ層,カクレソウ
性能向上,セイノウコウジョウ
遷移部分,センイブブン
インターン成果,インターンセイカ
成果発表,セイカハッピョウ
発表会,ハッピョウカイ
スパイクタイミング,スパイクタイミング
タイミング依存,タイミングイゾン
依存可塑,イゾンカソ
可塑性,カソセイ
シナプス後,シナプスゴ
後ニューロン,ゴニューロン
内部状態,ナイブジョウタイ
目的関数,モクテキカンスウ
NP困難問題,エヌピーコンナンモンダイ
反復式,ハンプクシキ
反復式,ハンプクシキ
隠れ状態,カクレジョウタイ
重点サンプリング,ジュウテンサンプリング
最適化,サイテキカ
潜在変数,センザイヘンスウ
変数モデル,ヘンスウモデル
隠れ状態,カクレジョウタイ
部分空間毎,ブブンクウカンゴト
量子化,リョウシカ
ストリーム処理,ストリームショリ
処理モデル,ショリモデル
マイクロバッチ,マイクロバッチ
統一的,トウイツテキ
結果整合性,ケッカセイゴウセイ
バッチ処理結果,バッチショリケッカ
unbounded,アンバウンドイーディー
文字レベル,モジレベル
単語レベル,タンゴレベル
モデル化,モデルカ
文字レベル,モジレベル
単語レベル,タンゴレベル
レベル以降,レベルイコウ
隠れ状態,カクレジョウタイ
変化量,ヘンカリョウ
一次,イチジ
次微分,ジビブン
二次,ニジ
次微分,ジビブン
変化量,ヘンカリョウ
行動認識,コウドウニンシキ
精度改善,セイドカイゼン
微分値,ビブンチ
Reasoner,ノーズンイーアール
意味推論,イミスイロン
推論タスク,スイロンタスク
事実文,ジジツブン
階層的,カイソウテキ
抽象化,チュウショウカ
補助タスク,ホジョタスク
表現学習,ヒョウゲンガクシュウ
精度向上,セイドコウジョウ
遷移関数,センイカンスウ
遷移関数,センイカンスウ
確率的,カクリツテキ
効率的,コウリツテキ
モデル化,モデルカ
役割分担,ヤクワリブンタン
FANUCAND,ファナックアンド
統計的,トウケイテキ
何回,ナンカイ
目的地,モクテキチ
地予測,チヨソク
予測コンペ,ヨソクコンペ
目的地,モクテキチ
モデル化,モデルカ
入力分布,ニュウリョクブンプ
表現力,ヒョウゲンリョク
バッチ正則化,バッチセイソクカ
画像認識,ガゾウニンシキ
学習時,ガクシュウジ
オンライン学習,オンラインガクシュウ
前向き自動微分,マエムキジドウビブン
パラメータ数,パラメータスウ
更新可能,コウシンカノウ
推定値,スイテイチ
値G,チギガ
前向き自動微分,マエムキジドウビブン
自動微分可能,ジドウビブンカノウ
学習サンプル,ガクシュウサンプル
