米軍関係者,ベイグンカンケイシャ
関係者ら,カンケイシャラ
抗議集会,コウギシュウカイ
20日号,ハツカゴウ
中国地方,チュウゴクチホウ
沖縄地方,オキナワチホウ
選挙区事情,センキョクジジョウ
徹底分析,テッテイブンセキ
20日号,ハツカゴウ
配信番組表,ハイシンバングミヒョウ
あと20日,アトハツカ
ヘビー級国会,ヘビーキュウコッカイ
国会ウォッチャー,コッカイウォッチャー
宮崎信行,ミヤザキノブユキ
信行氏,ノブユキシ
参院選特別番組,サンインセントクベツバングミ
20日号,ハツカゴウ
安倍広報,アベコウホウ
子供総理,コドモソウリ
選挙行こう,センキョギョウコウ
歳選挙権,サイセンキョケン
党首筆頭,トウシュヒットウ
一票,イチヒョウ
道交法,ドウコウホウ
万円,マンエン
JA鹿児島,ジェイエイカゴシマ
野村議員,ノムラギイン
JA鹿児島,ジェイエイカゴシマ
TPP参加,ティピーピーサンカ
国際経済,コクサイケイザイ
ジョモ氏,ジョモシ
次期アメリカ大統領,ジキアメリカダイトウリョウ
アメリカ大統領候補,アメリカダイトウリョウコウホ
クリントン氏,クリントンシ
トランプ氏,トランプシ
連邦議員,レンポウギイン
議員たち,ギインタチ
日米,ニチベイ
雇用喪失,コヨウソウシツ
雇用創出,コヨウソウシュツ
デタラメ試算,デタラメシサン
図書室,トショシツ
歳選挙権,サイセンキョケン
歳選挙権,サイセンキョケン
歳選挙権,サイセンキョケン
戦後７,センゴナナ
７０,ナナゼロ
０年,ゼロネン
沖縄県民大会,オキナワケンミンタイカイ
国会正門,コッカイセイモン
正門前,セイモンマエ
海兵隊員,カイヘイタイイン
県民大会,ケンミンタイカイ
那覇市奥武山,ナハシオウノヤマ
奥武山陸上競技場,オウノヤマリクジョウキョウギジョウ
参院選前,サンインセンマエ
路上パフォーマンス,ロジョウパフォーマンス
禁止命令,キンシメイレイ
万円,マンエン
円以下,エンイカ
命令取り消し,メイレイトリケシ
自由通路,ジユウツウロ
通路訴訟,ツウロソショウ
吉祥寺演説,キチジョウジエンゼツ
２０,ニゼロ
０日,ゼロニチ
北海道演説,ホッカイドウエンゼツ
沖縄女性,オキナワジョセイ
女性遺棄,ジョセイイキ
基地撤廃,キチテッパイ
RT国民,アールティーコクミン
基地建設,キチケンセツ
建設強行,ケンセツキョウコウ
強行問題,キョウコウモンダイ
国際的,コクサイテキ
注目度,チュウモクド
政治団体国民怒りの声,セイジダンタイコクミンイカリノコエ
国民怒りの声総決起集会,コクミンイカリノコエソウケッキシュウカイ
永遠に記録,エイエンニキロク
RT山本太郎,アールティーヤマモトタロウ
