山形大学工学部,ヤマガタダイガクコウガクブ
スマート未来,スマートミライ
未来ハウス,ミライハウス
ベビーシッター機能,ベビーシッターキノウ
んじゃなくて,ンジャナクテ
じゃなくて家出,ジャナクテイエデ
４足,ヨンソク
足歩行,ソクホコウ
歩行１,ホコウイチ
１０,イチゼロ
００,ゼロゼロ
０M,ゼロメガ
時便利,トキベンリ
脳アーキテクチャ,ノウアーキテクチャ
アーキテクチャシンポジウム,アーキテクチャシンポジウム
パクチー専門店,パクチーセンモンテン
栽培機,サイバイキ
触覚提示,ショッカクテイジ
提示ロボットアーム,テイジロボットアーム
3Dペン,スリーディーペン
造形システム,ゾウケイシステム
作業デスク,サギョウデスク
SIGGRAPH結果,シーグラフケッカ
モジュール化,モジュールカ
閲覧注意,エツランチュウイ
未来を議論,ミライヲギロン
フューチャリスト用語,フューチャリストヨウゴ
gizmodojapan,ギズモードジャパン
japanさん,ジャパンサン
gizmodojapan,ギズモードジャパン
japanさん,ジャパンサン
設計プロセス,セッケイプロセス
未来投機,ミライトウキ
投機的,トウキテキ
水野大二郎筧,ミズノダイジロウカケイ
筧康明,カケイヤスアキ
康明連,ヤスアキレン
連勇,レンイサム
勇太朗,イサムタロウ
慶応大学特,ケイオウダイガクトク
特任,トクニン
任助教,ニンジョキョウ
慶応SFC,ケイオウエスエフシー
作品制作,サクヒンセイサク
寝袋たくさん,ネブクロタクサン
ドアストッパー,ドアストッパー
笑RT,エミアールティー
RT発泡,アールティーハッポウ
発泡ウレタン,ハッポウウレタン
発泡ウレタン,ハッポウウレタン
Nullさん,ヌルサン
gizmodojapan,ギズモードジャパン
japanさん,ジャパンサン
小型ドリル,コガタドリル
現場用,ゲンバヨウ
用ラジオ,ヨウラジオ
インタラクションデモ,インタラクションデモ
デモ発表,デモハッピョウ
インタラクション造形,インタラクションゾウケイ
造形物,ゾウケイブツ
3Dプリント手法,スリーディープリントシュホウ
基礎検討,キソケントウ
Web開発者,Webカイハツシャ
デバイス開発,デバイスカイハツ
開発環境,カイハツカンキョウ
パフォーマンスアーティスト,パフォーマンスアーティスト
ロボットワークショップ,ロボットワークショップ
場所で端,バショデハナ
で端材,デハナザイ
一昨日夜,オトトイヨル
人力観覧車,ジンリキカンランシャ
じゃなくてパフォーマンス,ジャナクテパフォーマンス
3Dprint,スリーディープリント
触覚フィードバック,ショッカクフィードバック
フィードバック付き,フィードバックツキ
フレキシブルディスプレイ,フレキシブルディスプレイ
プロジェクションマッピング編集,プロジェクションマッピングヘンシュウ
編集環境,ヘンシュウカンキョウ
ままプレゼン,ママプレゼン
今野恵菜,コンノエナ
展示者,テンジシャ
Interactive,インテルアクティブ
Methodfor,メソッドフォー
再利用可能,サイリヨウカノウ
近日動画,キンジツドウガ
動画公開,ドウガコウカイ
公開予定,コウカイヨテイ
アムステルダム着,アムステルダムギ
国際会議,コクサイカイギ
PinkPong,ピンクポン
可動式,カドウシキ
デジタル切削,デジタルセッサク
切削機,セッサクキ
Communicationwith t,コミュニケーションウイズティー
with the,ウイズティーヒー
メディア芸術祭,メディアゲイジュツサイ
葉っぱバッテリー,ハッパバッテリー
脇田研究室,ワキタケンキュウシツ
最終発表,サイシュウハッピョウ
SFCタウ,エスエフシータウ
タウ館,タウカン
仕事中,シゴトチュウ
京コンピュータ前駅,ケイコンピュータマエエキ
近未来感,キンミライカン
スターウォーズ感,スターウォーズカン
コンピュータ電気,コンピュータデンキ
テクノロジーマシン,テクノロジーマシン
機械化,キカイカ
Amazon PrimeNow,アマゾンプライムノウ
横浜対応,ヨコハマタイオウ
対応きた,タイオウキタ
秋学期,アキガッキ
学期筧,ガッキカケイ
筧研究室,カケイケンキュウシツ
研究室成果,ケンキュウシツセイカ
成果発表,セイカハッピョウ
発表会,ハッピョウカイ
SFCメディア,エスエフシーメディア
メディアセンター,メディアセンター
センターAV,センターエイブイ
AVホール,エイブイホール
ホール興味,ホールキョウミ
ロボットベビーカー,ロボットベビーカー
赤ちゃん向け,アカチャンムケ
向けパーソナルモビリティ,ムケパーソナルモビリティ
空中浮遊,クウチュウフユウ
japanさん,ジャパンサン
根本的,コンポンテキ
生体医学,セイタイイガク
教授ら,キョウジュラ
姿勢強制,シセイキョウセイ
強制ウェアラブル端末,キョウセイウェアラブルタンマツ
トライアル成果,トライアルセイカ
成果報告,セイカホウコク
報告会,ホウコクカイ
講評者,コウヒョウシャ
Togetterまとめ,トゥギャッターマトメ
クラウド上,クラウドジョウ
GPU環境,ジーピーユーカンキョウ
２章,ニショウ
章立て,アキラダテ
時間位,ジカンイ
位学習,イガクシュウ
自動生成,ジドウセイセイ
デジタルインタラクション,デジタルインタラクション
アワード受賞,アワードジュショウ
自動生成,ジドウセイセイ
マジカルバナナ,マジカルバナナ
足し算引き算,タシザンヒキザン
環境設定,カンキョウセッテイ
アヤメ花,アヤメハナ
花データ,ハナデータ
識別器,シキベツキ
器実装,キジッソウ
実装中,ジッソウチュウ
定点映像,テイテンエイゾウ
映像中,エイゾウチュウ
forART,フォーエーアールティー
さんら,サンラ
こちら登壇,コチラトウダン
アーティストトーク,アーティストトーク
トークイベント,トークイベント
登壇者,トウダンシャ
武井祥平,タケイショウヘイ
祥平さん,ショウヘイサン
小林椋,コバヤシムク
椋さん,ムクサン
時スタート,ジスタート
西麻布Bull,ニシアザブブル
Bullet’s,ブルイーティーズ
機械中心,キカイチュウシン
中心社会,チュウシンシャカイ
肉体至上主義,ニクタイシジョウシュギ
電脳化主義,デンノウカシュギ
表現者社会,ヒョウゲンシャシャカイ
共通目標,キョウツウモクヒョウ
電脳アバター,デンノウアバター
アバター恋愛,アバターレンアイ
SF論議,エスエフロンギ
ジュースみたい,ジュースミタイ
センサ内蔵,センサナイゾウ
bluetooth通信,ブルートゥースツウシン
小型モジュール,コガタモジュール
モジュールblue,モジュールブルー
blueninja,ブルーニンジャ
Kinect風,キネクトフウ
アーティストトーク,アーティストトーク
トークイベント,トークイベント
登壇者,トウダンシャ
武井祥平,タケイショウヘイ
祥平さん,ショウヘイサン
小林椋,コバヤシムク
椋さん,ムクサン
時スタート,ジスタート
西麻布Bull,ニシアザブブル
Bullet’s,ブルイーティーズ
おねがいしま,オネガイシマ
紹介サイト,ショウカイサイト
鎌倉さん,カマクラサン
共同開発プロジェクト,キョウドウカイハツプロジェクト
今週土日,コンシュウドニチ
国際会議,コクサイカイギ
今週土日,コンシュウドニチ
国際会議,コクサイカイギ
自宅大惨事,ジタクダイサンジ
キャットスクラッチ,キャットスクラッチ
スクラッチターンテーブル,スクラッチターンテーブル
猫用,ネコヨウ
用爪,ヨウツメ
amazonJP,アマゾンジェーピー
JPさん,ジェーピーサン
研究者,ケンキュウシャ
葉笛,ハフエ
YouTubeさん,ユーチューブサン
peatixさん,ピーティックスサン
缶詰居酒屋,カンヅメイザカヤ
缶詰居酒屋,カンヅメイザカヤ
本日明日,ホンジツアシタ
六本木ミッドタウン,ロッポンギミッドタウン
筧研,カケイケン
研ブース,ケンブース
イカ天瀬戸内,イカテンセトウチ
瀬戸内レモン,セトウチレモン
レモン味,レモンミ
SIGGRAPHASIA,シーグラフエイジア
IVRC関連,アイブイアールシーカンレン
教育シンポジウム,キョウイクシンポジウム
ワークショップ作品,ワークショップサクヒン
方々おつかれさま,カタガタオツカレサマ
オープンデザイン,オープンデザイン
参加者募集中,サンカシャボシュウチュウ
申し込み可能,モウシコミカノウ
今野恵菜,コンノエナ
SFC下,エスエフシーカ
相模ハム販売,サガミハムハンバイ
販売店,ハンバイテン
SFC生,エスエフシーセイ
作業中,サギョウチュウ
中居眠り,チュウイネムリ
林くん,リンクン
二等分,ニトウブン
platformto,プラットフォームトゥ
tomake,トゥメイク
SOUTHEND,サウスエンド
若干フリーザ,ジャッカンフリーザ
YouTubeさん,ユーチューブサン
世紀末感,セイキマツカン
雑多さ,ザッタサ
ハックせよ,ハックセヨ
3次元インターフェイス,サンジゲンインターフェイス
jpさん,ジェーピーサン
ベイスターズファン,ベイスターズファン
スタジアム横,スタジアムヨコ
TheTeddy,ザテディー
YouTubeさん,ユーチューブサン
リアルタイム更新,リアルタイムコウシン
検査場,ケンサジョウ
ためボストン,タメボストン
International,インテルナショナル
nationalAirport,ナショナルエアポート
in成田市,インナリタシ
石川町,イシカワマチ
電子部品屋,デンシブヒンヤ
久野さん,ヒサノサン
小原さん,オハラサン
展示予定,テンジヨテイ
竹細工そう,タケザイクソウ
作り見学,ツクリケンガク
at氷見市,エーティーヒミシ
氷見市in,ヒミシイン
おばけのホーリーOP,オバケノホーリーオープニング
OPRemix,オープニングリミックス
YouTubeさん,ユーチューブサン
クリエイティブ拠点,クリエイティブキョテン
YouTubeさん,ユーチューブサン
ヘビーユーザ,ヘビーユーザ
そんぐDJ,ソングディージェイ
