何回,ナンカイ
もん一緒,モンイッショ
ぜんぜん大丈夫だよ,ゼンゼンダイジョウブダヨ
タバコくせ,タバコクセ
さっきざる蕎麦,サッキザルソバ
ベジタブルファースト,ベジタブルファースト
酒ファースト,サケファースト
フラフラ,フラフラ
ゴリリズム,ゴリリズム
最終更新日,サイシュウコウシンビ
５月１,ゴガツイチ
１６,イチロク
６日,ロクニチ
県出身,ケンシュッシン
会社パソコン,カイシャパソコン
起動時間,キドウジカン
起動時間,キドウジカン
ウンコ漏れ,ウンコモレ
漏れそう,モレソウ
あーちゃんゴリラ,アーチャンゴリラ
ゴミ過ぎ,ゴミスギ
マジ無理,マジムリ
最近ウンコ,サイキンウンコ
それサシガメ,ソレサシガメ
ウンコ漏れ,ウンコモレ
漏れそう,モレソウ
銀座線,ギンザセン
社畜活動,シャチクカツドウ
神崎さん,カンザキサン
メイドソープ,メイドソープ
お前何,オマエナニ
iPhoneゴミ,アイフォンゴミ
ゴミすぎ,ゴミスギ
マッハからあげ,マッハカラアゲ
解凍前,カイトウマエ
仮面ライダー借りて,カメンライダーカリテ
定時出社,テイジシュッシャ
定時出社,テイジシュッシャ
出社音,シュッシャオン
出張明け,シュッチョウアケ
仕事辛,シゴトカラシ
辛すぎ,カラシスギ
ストロング系,ストロングケイ
特急券代,トッキュウケンダイ
熱すぎ,ネツスギ
キツい,キツイ
うさこさん,ウサコサン
ぶっちゃけホテル,ブッチャケホテル
レコード屋,レコードヤ
今日３,キョウサン
３０,サンゼロ
０度,ゼロド
年内４,ネンナイヨン
４回,ヨンカイ
クズ度,クズド
１０,イチゼロ
００,ゼロゼロ
９４,キュウヨン
４％,ヨンパーセント
５０,ゴゼロ
クズ度,クズド
クズ度,クズド
チキン南蛮うめ,チキンナンバンウメ
あと１,アトイチ
１杯,イチハイ
ビールウメ,ビールウメ
狸小路狸小路,タヌキコウジタヌキコウジ
夏すぎ,ナツスギ
東京レベル,トウキョウレベル
納豆賞味期限切れ,ナットウショウミキゲンギレ
賞味期限切れてるよ,ショウミキゲンギレテルヨ
離陸前,リリクマエ
はしゃげる,ハシャゲル
げる年齢,ゲルネンレイ
札幌駅周辺,サッポロエキシュウヘン
ラーメン屋情報,ラーメンヤジョウホウ
今日電車,キョウデンシャ
駅連続,エキレンゾク
定時定時,テイジテイジ
定時定時,テイジテイジ
定時定時,テイジテイジ
定時定時,テイジテイジ
定時定時,テイジテイジ
定時定時,テイジテイジ
定時定時,テイジテイジ
定時定時,テイジテイジ
定時定時,テイジテイジ
定時出社,テイジシュッシャ
預金額,ヨキンガク
マジで誰,マジデダレ
誰一,ダレイチ
一人,イチニン
人生楽,ジンセイラク
工場大好き,コウジョウダイスキ
マジさいてょ,マジサイテョ
ガチパン工場,ガチパンコウジョウ
タバコうめ,タバコウメ
wwwwww,スリーダブリュースリーダブリュー
