SHADOWVERSE,シャドウバース
売上ランキング,ウリアゲランキング
場空缶,バアキカン
連続缶,レンゾクカン
最終調整,サイシュウチョウセイ
中国テンセント,チュウゴクテンセント
ゲーム子会社,ゲームコガイシャ
子会社売却,コガイシャバイキャク
しゃどばす,シャドバス
ばすチャンネル,バスチャンネル
ファミ通ゲーム白書,ファミツウゲームハクショ
2015年国内,ニセンジュウゴネンコクナイ
国内ゲーム,コクナイゲーム
ゲーム市場,ゲームシジョウ
過去最高,カコサイコウ
億円,オクエン
アプリゲーム,アプリゲーム
岡本吉起,オカモトヨシキ
吉起氏,ヨシキシ
大型IP,オオガタアイピイ
明確化,メイカクカ
TechCrunchJapan,テッククランチジャパン
jptechcrunch,ジェイピーテッククランチ
techcrunchさん,テッククランチサン
パスポート情報,パスポートジョウホウ
マジ勘弁,マジカンベン
JTB顧客情報,ジェイティービーコキャクジョウホウ
万人,マンニン
人分,ニンブン
分流出,ブンリュウシュツ
2016年6月14日,ニセンジュウロクネンロクガツジュウヨッカ
Yahooニュース,ヤフーニュース
主観的,シュカンテキ
地元企業,ジモトキギョウ
企業主催,キギョウシュサイ
クラウドファウンディング,クラウドファウンディング
ファウンディングサイト,ファウンディングサイト
能代七夕,ノシロタナバタ
映像構成,エイゾウコウセイ
PlayStationE3,プレイステーションイースリー
各種OS,カクシュオンスカ
開発者版,カイハツシャバン
リアルタイム速報,リアルタイムソクホウ
賠償額,バイショウガク
Lifehacker,ライフハッカー
運営元,ウンエイモト
ITmediaニュース,アイティーメディアニュース
パワプロ２,パワプロニ
２０,ニゼロ
０１,ゼロイチ
１６,イチロク
筒香,ツツコウ
右上,ミギジョウ
クラキン,クラキン
日本マーケット,ニッポンマーケット
日本ユーザー,ニッポンユーザー
IT業界,アイティーギョウカイ
ビッグニュース,ビッグニュース
日米,ニチベイ
米同時,ベイドウジ
同時上場,ドウジジョウジョウ
全力２,ゼンリョクニ
２階,ニカイ
階建,カイケン
テンセント先生,テンセントセンセイ
プレイヤー考案,プレイヤーコウアン
ゲンジバドミントン,ゲンジバドミントン
海外ゲーム,カイガイゲーム
ゲーム情報,ゲームジョウホウ
情報サイト,ジョウホウサイト
アプリサブスクリプション,アプリサブスクリプション
収益分配,シュウエキブンパイ
分配率,ブンパイリツ
計画中,ケイカクチュウ
米報道,ベイホウドウ
japanさん,ジャパンサン
WWDC直前,ダブリュダブリュディーシーチョクゼン
重大独占,ジュウダイドクセン
独占ニュース,ドクセンニュース
@itm,アットマークアイティメートル
WWDC辺り,ダブリュダブリュディーシーアタリ
大幅改革,オオハバカイカク
月額制,ゲツガクセイ
制アプリ,セイアプリ
適用範囲拡大,テキヨウハンイカクダイ
ゲーム開発,ゲームカイハツ
基礎技術開発,キソギジュツカイハツ
技術開発拠点,ギジュツカイハツキョテン
サイゲームスリサーチ,サイゲームスリサーチ
慶応大学特,ケイオウダイガクトク
特任,トクニン
任准教授,ニンジュンキョウジュ
倉林修一,クラバヤシシュウイチ
修一氏,シュウイチシ
地元皆,ジモトミナ
能代工,ノシロコウ
IH県,アイエイチケン
県予選,ケンヨセン
2016年6月8日,ニセンジュウロクネンロクガツヨウカ
Yahooニュース,ヤフーニュース
コラボマッチ,コラボマッチ
開催決定,カイサイケッテイ
株式会社Cygames,カブシキガイシャサイゲームス
おそ松さん,オソマツサン
PR担当,ピーアールタントウ
ハンバーガーブースト,ハンバーガーブースト
TechCrunchJapan,テッククランチジャパン
jptechcrunch,ジェイピーテッククランチ
techcrunchさん,テッククランチサン
優秀作品,ユウシュウサクヒン
ポエム位置情報,ポエムイチジョウホウ
位置情報グランプリ,イチジョウホウグランプリ
周り静か,マワリシズカ
最近ようやく,サイキンヨウヤク
ようやくライオン,ヨウヤクライオン
不遇過ぎ,フグウスギ
アンタ柴田,アンタシバタ
書籍購入,ショセキコウニュウ
購入理由,コウニュウリユウ
ピザ蕎麦,ピザソバ
蕎麦本,ソバホン
ため知事,タメチジ
小説系,ショウセツケイ
漫画系,マンガケイ
言葉遣い,コトバヅカイ
実情把握,ジツジョウハアク
ネット拡散,ネットカクサン
緊急アップ,キンキュウアップ
調査報告書全文,チョウサホウコクショゼンブン
特定商取引法ページ,トクテイショウトリヒキホウページ
Androidアプリ,アンドロイドアプリ
不明男児,フメイダンジ
発見無事,ハッケンブジ
無事2016年,ブジニセンジュウロクネン
2016年6月3日,ニセンジュウロクネンロクガツミッカ
楽観視,ラッカンシ
絵面,エメン
