産総研人工知能,サンソウケンジンコウチノウ
人工知能連携,ジンコウチノウレンケイ
連携研究室,レンケイケンキュウシツ
研究テーマ,ケンキュウテーマ
論理推論,ロンリスイロン
自然言語処理分野,シゼンゲンゴショリブンヤ
博士号取得,ハクシゴウシュトク
取得者,シュトクシャ
者および,シャオヨビ
および予定,オヨビヨテイ
予定者,ヨテイシャ
時過ぎ,ジスギ
一緒に熟睡,イッショニジュクスイ
あと娘,アトムスメ
３件,サンケン
トイアンナ,トイアンナ
最近娘,サイキンムスメ
ころそう,コロソウ
論文発表,ロンブンハッピョウ
場合就職,バアイシュウショク
幹事団,カンジダン
授業資料,ジュギョウシリョウ
資料作り,シリョウヅクリ
弊学,ヘイガク
inmachine,インマシン
andreason,アンドノーズン
reasoning,ノーズンアイエヌジー
intouch,インタッチ
feellike,フィールライク
thehan,ザハン
hand-craft,ハンディークラフト
d-crafted,ディークラフトイーディー
thelast,ザラスト
lastcentury,ラストセンチュリー
centuryall,センチュリーアルバニアレク
allover,アルバニアレクオーバー
overagain,オーバーアゲイン
areyou,アレユウ
researcher,リサーチイーアール
担当授業,タントウジュギョウ
onHuman,オンヒューマン
トップ画像,トップガゾウ
ようお伝え,ヨウオツタエ
入試制度,ニュウシセイド
一人,イチニン
finalscore,ファイナルスコア
bythe,ビーワイザ
thesystem d,ザシステムディ
単語分割,タンゴブンカツ
共同研究,キョウドウケンキュウ
研究室OG,ケンキュウシツオージー
トップ国際,トップコクサイ
国際会議,コクサイカイギ
ベストポスター,ベストポスター
ポスター賞,ポスターショウ
賞最終,ショウサイシュウ
最終候補,サイシュウコウホ
白い目,ハクイメ
現場エンジニア,ゲンバエンジニア
子トップ,コトップ
トップ会議,トップカイギ
中村研,ナカムラケン
人が准教授,ジンガジュンキョウジュ
NLP若手,エヌエルピーワカテ
分野外,ブンヤガイ
言語処理,ゲンゴショリ
マルチモーダル,マルチモーダル
参加お待ち,サンカオマチ
NAIST生活,ナイストセイカツ
検査値,ケンサチ
正常値,セイジョウチ
早寝早起き,ハヤネハヤオキ
外遊び,ソトアソビ
バッドコンディション,バッドコンディション
健康体,ケンコウタイ
本日最後,ホンジツサイゴ
明日健康診断,アシタケンコウシンダン
万円,マンエン
個目,コメ
descentby,ディセントビーワイ
topost,トゥポスト
最近うち,サイキンウチ
画像認識,ガゾウニンシキ
マルチモーダル,マルチモーダル
モーダル絡み,モーダルガラミ
洗濯物,センタクブツ
小町研,コマチケン
博士後期,ハカセコウキ
後期課程,コウキカテイ
固定座席,コテイザセキ
いない人,イナイジン
スタッフ３,スタッフサン
３人,サンニン
技術支援,ギジュツシエン
支援員,シエンイン
員１,インイチ
１人,イチニン
３人,サンニン
2016年度,ニセンジュウロクネンド
度IPA,ドアイピーエー
未踏IT,ミトウアイティー
IT人材,アイティージンザイ
人材発掘,ジンザイハックツ
育成事業,イクセイジギョウ
採択プロジェクト,サイタクプロジェクト
資料作成,シリョウサクセイ
東北大方面,トウホクダイホウメン
こと一,コトイチ
一個,イチコ
日本語学習者,ニホンゴガクシュウシャ
文章入力支援,ブンショウニュウリョクシエン
入力支援システム,ニュウリョクシエンシステム
共起表現,キョウキヒョウゲン
よう入力,ヨウニュウリョク
翻訳機能,ホンヤクキノウ
多言語翻訳,タゲンゴホンヤク
深層学習,シンソウガクシュウ
何本,ナンホン
業務連絡,ギョウムレンラク
午前中,ゴゼンチュウ
論文紹介,ロンブンショウカイ
時半以降,ジハンイコウ
以降合流,イコウゴウリュウ
高間先生,タカマセンセイ
学会中,ガッカイチュウ
みんな小町,ミンナコマチ
小町研,コマチケン
人以上,ニンイジョウ
博士後期,ハカセコウキ
後期課程,コウキカテイ
結局8年,ケッキョクハチネン
出家のようなもの,シュッケノヨウナモノ
国際会議,コクサイカイギ
NFSサーバ,エヌエフエスサーバ
結局NIS,ケッキョクエヌアイエス
アカウント管理,アカウントカンリ
共通化,キョウツウカ
共有ファイルサーバ,キョウユウファイルサーバ
実験用,ジッケンヨウ
用サーバ,ヨウサーバ
サーバ室,サーバシツ
管理コスト,カンリコスト
万円,マンエン
doNLP,ドーエヌエルピー
onif,オンイフ
improveon,インプルーブオン
onthe,オンザ
tech.,テチャン
ダメby,ダメビーワイ
論文通り,ロンブンドオリ
推薦充実,スイセンジュウジツ
内定ゼロ,ナイテイゼロ
笑去年,エミキョネン
出願期間,シュツガンキカン
データ解析,データカイセキ
関連難関,カンレンナンカン
難関国際,ナンカンコクサイ
国際会議,コクサイカイギ
何年,ナンネン
年分か,ネンブンカ
複数回名前,フクスウカイナマエ
英語論文,エイゴロンブン
研究開発エンジニア,ケンキュウカイハツエンジニア
和文論文,ワブンロンブン
論文誌,ロンブンシ
若手研究,ワカテケンキュウ
研究者,ケンキュウシャ
是非お誘,ゼヒオサソイ
お誘い合い,オサソイイアイ
回勉強会,カイベンキョウカイ
PFI(株),ピーエフアイカブシキガイシャ
(株)会議室,カブシキガイシャカイギシツ
todo,トゥドー
doML,ドーエムエル
Applefor,アップルフォー
ブログ枠,ブログワク
先着順,センチャクジュン
結局バス,ケッキョクバス
最近現金,サイキンゲンキン
受講生,ジュコウセイ
持ち込み不可,モチコミフカ
中央線,チュウオウセン
行動時間,コウドウジカン
土日開催,ドニチカイサイ
予定優先,ヨテイユウセン
哲学科,テツガクカ
seminarwith,セミナーウィズ
withan,ウィズアン
anall,アンアルバニアレク
纏足みたい,テンソクミタイ
思春期,シシュンキ
大変そう,タイヘンソウ
妊娠中,ニンシンチュウ
妊娠中,ニンシンチュウ
専門外,センモンガイ
CL系,シーエルケイ
主要国際,シュヨウコクサイ
国際会議,コクサイカイギ
上位3つ,ジョウイミッツ
