自動評価,ジドウヒョウカ
評価尺度,ヒョウカシャクド
翻訳結果,ホンヤクケッカ
行為自体,コウイジタイ
宣伝みたい,センデンミタイ
EXILEみたい,エグザイルミタイ
押し付け,オシヅケ
総務省公式アカウント,ソウムショウコウシキアカウント
日本ヤバイ,ニッポンヤバイ
国際会議,コクサイカイギ
会議Inter,カイギインテル
InterSpeech,インテルスピーチ
中村研,ナカムラケン
研関係者,ケンカンケイシャ
小林くん,コバヤシクン
辻岡くん,ツジオカクン
Oliverくん,オリバークン
早期発見,ソウキハッケン
臨床腫瘍学,リンショウシュヨウガク
有力誌,ユウリョクシ
早期発見,ソウキハッケン
生存率,セイゾンリツ
前東工大,マエトウコウダイ
お茶大,オチャダイ
合同勉強会,ゴウドウベンキョウカイ
３者,サンシャ
コメント等,コメントトウ
ニューラル言語モデル,ニューラルゲンゴモデル
n-gram言語モデル,エヌグラムゲンゴモデル
定式化,テイシキカ
言語処理,ゲンゴショリ
機械学習モデル,キカイガクシュウモデル
夏恒例,ナツコウレイ
三つ葉畑,ミツバハタケ
マシンパワー,マシンパワー
あと一,アトイチ
一ヶ月,イチカゲツ
松本研,マツモトケン
中村研,ナカムラケン
採択率,サイタクリツ
基本投稿,キホントウコウ
投稿数,トウコウスウ
採択率,サイタクリツ
問題じゃなくて,モンダイジャナクテ
じゃなくて母数,ジャナクテボスウ
MT勉強会,エムティーベンキョウカイ
言語関係,ゲンゴカンケイ
人がたくさん,ジンガタクサン
ピッツバーグ周り,ピッツバーグマワリ
言語技術,ゲンゴギジュツ
技術研究所,ギジュツケンキュウジョ
研究界隈,ケンキュウカイワイ
構文情報,コウブンジョウホウ
構文情報,コウブンジョウホウ
ニューラルネットモデル,ニューラルネットモデル
ルール選択,ルールセンタク
でっていうジョーク,デッテイウジョーク
最終的,サイシュウテキ
IT会社,アイティーカイシャ
会社面接,カイシャメンセツ
面接官,メンセツカン
人工知能学会全国大会,ジンコウチノウガッカイゼンコクタイカイ
研究者,ケンキュウシャ
女性研究,ジョセイケンキュウ
研究者,ケンキュウシャ
衝突注意,ショウトツチュウイ
自然言語処理研究会,シゼンゲンゴショリケンキュウカイ
音声言語処理,オンセイゲンゴショリ
処理研究会,ショリケンキュウカイ
学生奨励賞,ガクセイショウレイショウ
査読締切,サドクシメキリ
本5月21日,ホンゴガツニジュウイチニチ
本6月1日,ホンロクガツツイタチ
本6月2日,ホンロクガツフツカ
Rep,ラウンドイーピー
epL4,イーピーエルフォー
L4NLP,エルフォーエヌエルピー
学術論文,ガクジュツロンブン
オープンアクセス運動,オープンアクセスウンドウ
出版モデル,シュッパンモデル
有料会員,ユウリョウカイイン
会員登録,カイイントウロク
失敗歴,シッパイレキ
歴書,レキショ
研究費,ケンキュウヒ
質問応答,シツモンオウトウ
構文解析結果,コウブンカイセキケッカ
部品関数,ブヒンカンスウ
質問ごと,シツモンゴト
BestPaper,ベストペーパー
確率分布,カクリツブンプ
softmax関数,ソフトマックスカンスウ
確率分布,カクリツブンプ
ユークリッド空間上,ユークリッドクウカンジョウ
確率分布,カクリツブンプ
ニューラル翻訳,ニューラルホンヤク
最適化,サイテキカ
研究室ゼミ,ケンキュウシツゼミ
探索アルゴリズム,タンサクアルゴリズム
大変良書,タイヘンリョウショ
テキスト処理,テキストショリ
人等,ヒトトウ
にもNLP,ニモエヌエルピー
データマイニング技術,データマイニングギジュツ
基本的事項,キホンテキジコウ
研究テーマ,ケンキュウテーマ
ですよ。先生,デスヨセンセイ
何人,ナンニン
松本研,マツモトケン
研ゼミ,ケンゼミ
ゼミ室,ゼミシツ
研究費,ケンキュウヒ
東京大学大学院,トウキョウダイガクダイガクイン
大学院情報,ダイガクインジョウホウ
情報理,ジョウホウリ
理工学系研究科,リコウガクケイケンキュウカ
特任,トクニン
任助教,ニンジョキョウ
博士課程,ハカセカテイ
研究テーマ,ケンキュウテーマ
博士課程,ハカセカテイ
課程中,カテイチュウ
共同研究,キョウドウケンキュウ
NAIST新入生,ナイストシンニュウセイ
中村研,ナカムラケン
研究室紹介,ケンキュウシツショウカイ
デモ見学,デモケンガク
現役生,ゲンエキセイ
もしNAIST,モシナイスト
言語処理,ゲンゴショリ
