🎲🎲,サイコロサイコロ
日仙人,ヒセンニン
🛌さっき,シュクハクシセツサッキ
さっきお腹,サッキオナカ
仕事感,シゴトカン
言語処理,ゲンゴショリ
処理方面,ショリホウメン
人工知能方面,ジンコウチノウホウメン
大切さ,タイセツサ
完食,カンショク
さそう,サソウ
NLP若手,エヌエルピーワカテ
研究者,ケンキュウシャ
メンション,メンション
ルマンドアイス,ルマンドアイス
現場エンジニア,ゲンバエンジニア
子トップ,コトップ
トップ会議,トップカイギ
NLP若手,エヌエルピーワカテ
分野外,ブンヤガイ
言語処理,ゲンゴショリ
マルチモーダル,マルチモーダル
参加お待ち,サンカオマチ
週目,シュウメ
目後半,メコウハン
Unicode9.,ユニコードキュウ
🔧今年,レンチコトシ
提案書,テイアンショ
さそう,サソウ
人がお金,ジンガオカネ
さそう,サソウ
そうw,ソウワット
全角空白,ゼンカククウハク
空白文字,クウハクモジ
半角空白,ハンカククウハク
空白文字,クウハクモジ
ブレスオブ,ブレスオブ
学生向け,ガクセイムケ
コンプラクイズ,コンプラクイズ
SNSガイド,エスエヌエスガイド
ガイドラインクイズ,ガイドラインクイズ
スーパー店員,スーパーテンイン
生鮮食品売り場,セイセンショクヒンウリバ
定時退社,テイジタイシャ
カオガパオ,カオガパオ
タブ移動,タブイドウ
移動時,イドウジ
年先,ネンサキ
ダメby,ダメビーワイ
論文通り,ロンブンドオリ
回勉強会,カイベンキョウカイ
PFI(株),ピーエフアイカブシキガイシャ
(株)会議室,カブシキガイシャカイギシツ
本質的,ホンシツテキ
出て夕食,ダシテユウショク
全て既知,スベテキチ
集合内,シュウゴウナイ
デスストランディング,デスストランディング
Unicode9.,ユニコードキュウ
エントリ化,エントリカ
化作業,カサギョウ
😅木曜日,エガオモクヨウビ
Unicode9.,ユニコードキュウ
週目,シュウメ
目前半,メゼンハン
トランクケース,トランクケース
疲労感,ヒロウカン
森岡賢さん,モリオカケンサン
😢マジ,ナミダマジ
何度,ナンド
田舎庵,イナカアン
サニーパン,サニーパン
パン🍞,パンバン
天うどん,テンウドン
味処,アジショ
何度,ナンド
週目,シュウメ
目後半,メコウハン
📕限界,ホンゲンカイ
水信玄餅,ミズシンゲンモチ
🍵🍡,オチャオダンゴ
リリース作業,リリースサギョウ
作業中,サギョウチュウ
新日鐵住金八幡製鐵所,シンニッテツスミキンヤハタセイテツショ
小倉地区,コクラチク
地区🏭,チクコウジョウ
