証拠品,ショウコヒン
心音説,シンオンセツ
託宣一,タクセンイチ
一発,イチハツ
発クリア,ハツクリア
ガラン検事,ガランケンジ
ひれ伏せ,ヒレフセ
ボイス好き,ボイススキ
レイファ,レイファ
ファちゃん,ファチャン
レイファ,レイファ
ライフ5つ,ライフイツツ
ライフ4つ,ライフヨッツ
最後ライフ,サイゴライフ
ライフ1つ,ライフヒトツ
親子愛,オヤコアイ
愛エピソード,アイエピソード
エピソードみたい,エピソードミタイ
キレキレ,キレキレ
キレ感,キレカン
それ加味,ソレカミ
探偵編,タンテイヘン
数倍,スウバイ
丸め方,マルメカタ
後付け,ノチツケ
付け設定,ツケセッテイ
逆転裁判6最終章,ギャクテンサイバンシックスサイシュウショウ
最終章非常,サイシュウショウヒジョウ
レイトンパート,レイトンパート
ミニゲームみたい,ミニゲームミタイ
マジで偏見,マジデヘンケン
クライン王国,クラインオウコク
弁護士バッジ,ベンゴシバッジ
バッジまじ,バッジマジ
マジで秀逸,マジデシュウイツ
オドロキメイン,オドロキメイン
話みたい,ハナシミタイ
オドロキ関連,オドロキカンレン
後それ,ゴソレ
それ以外,ソレイガイ
マジでごめん,マジデゴメン
茜ちゃん,アカネチャン
マジで誰,マジデダレ
総選挙速報,ソウセンキョソクホウ
マヨイちゃん,マヨイチャン
逆転裁判5人気投票,ギャクテンサイバンファイブニンキトウヒョウ
以上正直,イジョウショウジキ
正直オドロキ,ショウジキオドロキ
主要キャラクター,シュヨウキャラクター
縮小版,シュクショウバン
版ナルホド,バンナルホド
純潔性,ジュンケツセイ
ノースキャンダル,ノースキャンダル
好きなんだけど正直,スキナンダケドショウジキ
少数精鋭,ショウスウセイエイ
半分以上,ハンブンイジョウ
メンバー全員,メンバーゼンイン
だしAKB,ダシエーケービー
AKB本体,エーケービーホンタイ
人気メンバー,ニンキメンバー
残りカス,ノコリカス
るしマジで,ルシマジデ
マジで地獄,マジデジゴク
マジで何,マジデナン
何回,ナンカイ
マジで鳥肌,マジデトリハダ
行為自体,コウイジタイ
回目,カイメ
麻生さん,アソウサン
電車飛び込み,デンシャトビコミ
シーン集,シーンシュウ
YouTubeさん,ユーチューブサン
麻生ほんま,アソウホンマ
ユニオンモンスター,ユニオンモンスター
複数装備,フクスウソウビ
ルール変更,ルールヘンコウ
ヴァンガードエラッタ,ヴァンガードエラッタ
一切感情移入,イッサイカンジョウイニュウ
妖精伝姫,ヨウセイツテヒメ
いつかテーマ,イツカテーマ
テーマ化,テーマカ
章法廷,ショウホウテイ
法廷二,ホウテイニ
二日,ニニチ
日目,ニチメ
裁判一,サイバンイチ
一日,イチニチ
日目,ニチメ
わからんの,ワカランノ
俺自身,オレジシン
自身オドロキ,ジシンオドロキ
ナユタ全員,ナユタゼンイン
マジで地獄,マジデジゴク
P召喚,ピーショウカン
レベル全部,レベルゼンブ
EM以外,イーエムイガイ
来場者,ライジョウシャ
者記念品,シャキネンヒン
EMレ,イーエムレ
スターライト速報,スターライトソクホウ
情報まとめ,ジョウホウマトメ
苦肉の策みたい,クニクノサクミタイ
クリスタルドラゴン,クリスタルドラゴン
初代逆転裁判,ショダイギャクテンサイバン
めちゃくちゃ変,メチャクチャヘン
人間性じゃなくて,ニンゲンセイジャナクテ
全員好き,ゼンインスキ
うまい調整,ウマイチョウセイ
ガリュウ検事,ガリュウケンジ
ガリュウ検事,ガリュウケンジ
一番肝心,イチバンカンジン
今回脇役,コンカイワキヤク
かませ犬アウチ,カマセイヌアウチ
ゴドー検事,ゴドーケンジ
狩魔冥ちゃん,カルマメイチャン
夕神さん,ユウシンサン
ナユタ検事,ナユタケンジ
ナユタ検事,ナユタケンジ
検事ポジション,ケンジポジション
何きっかけ,ナニキッカケ
途端急,トタンキュウ
マジで大事,マジデダイジ
ナルホドメイン,ナルホドメイン
最終的,サイシュウテキ
敵側,テキガワ
親子愛,オヤコアイ
愛みたい,アイミタイ
レイファ,レイファ
剣みたい,ケンミタイ
今回ストーリー,コンカイストーリー
ストーリー自体,ストーリージタイ
自体真面目,ジタイマジメ
人物だし,ジンブツダシ
だし後,ダシゴ
後付け,ゴツケ
付け設定,ツケセッテイ
家族の絆的,カゾクノキズナテキ
ラスト成歩堂,ラストナルホドウ
ナルホドメイン,ナルホドメイン
こと許可,コトキョカ
わけないと,ワケナイト
ワンピース実写映画,ワンピースジッシャエイガ
段あたり,ダンアタリ
ピカチュウみたい,ピカチュウミタイ
動物系,ドウブツケイ
ドレディアみたい,ドレディアミタイ
もん吉本,モンヨシモト
体以上,タイイジョウ
結局本来,ケッキョクホンライ
さすぎ,サスギ
御剣かっけ,ミツルギカッケ
内村てらす来週,ウチムラテラスライシュウ
お茶水,オチャスイ
水ジュース,スイジュース
パンパン絹江,パンパンキヌエ
オタクアニメ,オタクアニメ
じゃなくてワンピース,ジャナクテワンピース
国民的,コクミンテキ
的漫画,テキマンガ
爆死不可避,バクシフカヒ
実写化,ジッシャカ
巨悪,キョウアク
実写化映画,ジッシャカエイガ
いつか遊戯王,イツカユウギオウ
実写化,ジッシャカ
相手バトル,アイテバトル
バトルフェイズ,バトルフェイズ
バトルフェイズ,バトルフェイズ
フェイズ以外,フェイズイガイ
ディストピアガイ,ディストピアガイ
後融合,ノチユウゴウ
融合素材,ユウゴウソザイ
枚回収,マイカイシュウ
メインフェイズ,メインフェイズ
D-HERO回収,デステニーヒーローカイシュウ
エンドフェイズ,エンドフェイズ
犯人中2,ハンニンチュウニ
中2人,チュウニジン
逆転裁判4章,ギャクテンサイバンフォーショウ
逆転裁判5以降,ギャクテンサイバンファイブイコウ
真宵,シンヨイ
レッドライジングドラゴン,レッドライジングドラゴン
D-HEROデッド,デステニーヒーローデッド
デッドリー,デッドリー
リーガイ,リーガイ
ガイレッド,ガイレッド
ライジング・ドラゴン銀河,ライジングドラゴンギンガ
銀河眼,ギンガメ
光波刃,コウハハ
刃竜,ハリュウ
ギャラクシーアイズ,ギャラクシーアイズ
魔界劇団,マカイゲキダン
Vジャンプ9月,ブイジャンプクガツ
9月号,クガツゴウ
応募者,オウボシャ
者全員,シャゼンイン
thライバル,ティーエッチライバル
実施決定,ジッシケッテイ
ネタバレ注意,ネタバレチュウイ
スターライト速報,スターライトソクホウ
情報まとめ,ジョウホウマトメ
ストーリー構成,ストーリーコウセイ
週目,シュウメ
ただクソ女,タダクソジョ
ディストピアガイ,ディストピアガイ
魔界劇団,マカイゲキダン
融合パック,ユウゴウパック
魔界劇団,マカイゲキダン
D-HEROダイナ,デステニーヒーローダイナ
ダイナマイトガイ,ダイナマイトガイ
D-HEROダークエンジェル,デステニーヒーローダークエンジェル
スターライト速報,スターライトソクホウ
情報まとめ,ジョウホウマトメ
召喚権,ショウカンケン
化合獣,カゴウジュウ
テーマ単体,テーマタンタイ
じゃなくてデュアル,ジャナクテデュアル
デュアル全体,デュアルゼンタイ
全体強化,ゼンタイキョウカ
フュージョンただ,フュージョンタダ
罠カード,ワナカード
手札融合,シュサツユウゴウ
8月6日発売,ハチガツムイカハツバイ
ブースターSP,ブースターエスピー
D-HEROディストピア,デステニーヒーローディストピア
ディストピアガイ,ディストピアガイ
スターライト速報,スターライトソクホウ
情報まとめ,ジョウホウマトメ
化合獣,カゴウジュウ
進化合,シンカゴウ
合獣,ゴウジュウ
化合電界,カゴウデンカイ
スターライト速報,スターライトソクホウ
情報まとめ,ジョウホウマトメ
最近本編,サイキンホンペン
2016年7月,ニセンジュウロクネンシチガツ
リミットレギュレーション,リミットレギュレーション
スターライト速報,スターライトソクホウ
情報まとめ,ジョウホウマトメ
これサムネ,コレサムネ
クロノトリガー去年,クロノトリガーキョネン
内容あんま,ナイヨウアンマ
獣族,シシゾク
不遇テーマ,フグウテーマ
ドラゴン族,ドラゴンゾク
探偵編,タンテイヘン
裁判編,サイバンヘン
好きなんだけどネタ,スキナンダケドネタ
過去作,カコサク
魔法罠,マホウワナ
アクセルシンクロ,アクセルシンクロ
P効果,ピーコウカ
無効無効,ムコウムコウ
無効アンド,ムコウアンド
アンド無効,アンドムコウ
方向転換,ホウコウテンカン
風属性,カゼゾクセイ
属性儀式,ゾクセイギシキ
儀式ペンデュラム,ギシキペンデュラム
ペンデュラムテーマ,ペンデュラムテーマ
ドラゴン族,ドラゴンゾク
地属性,チゾクセイ
風属性,カゼゾクセイ
属性儀式,ゾクセイギシキ
儀式テーマ,ギシキテーマ
地属性,チゾクセイ
共通効果,キョウツウコウカ
Pゾーン,ピーゾーン
竜剣士,リュウケンシ
剣士テーマ,ケンシテーマ
クリストロン,クリストロン
ペンデュラムテーマ,ペンデュラムテーマ
契約違反,ケイヤクイハン
るしどうし,ルシドウシ
どうしよう,ドウシヨウ
わいすぎ,ワイスギ
すぎ事件,スギジケン
回ゲームオーバー,カイゲームオーバー
法廷1日,ホウテイツイタチ
1日目,ツイタチメ
二日,ニニチ
日目,ニチメ
辞任不可避,ジニンフカヒ
先行ドロー,センコウドロー
先行特殊召喚,センコウトクシュショウカン
特殊召喚回数,トクシュショウカンカイスウ
先行特殊召喚,センコウトクシュショウカン
回数制限,カイスウセイゲン
ミラクルシルクハット,ミラクルシルクハット
割方,ワリカタ
方決まり,カタキマリ
池沼みたい,チショウミタイ
精神性,セイシンセイ
スーパーみたい,スーパーミタイ
気色悪い,ケシキアクイ
悪い声,アクイゴエ
声出して,ゴエダシテ
出して気色,ダシテケシキ
動画マジで,ドウガマジデ
マジで生理的,マジデセイリテキ
化合獣,カゴウジュウ
デュアルテーマ,デュアルテーマ
クリストロン,クリストロン
あと二,アトニ
二体,ニタイ
ヤバい動き,ヤバイウゴキ
PSYフレーム,サイフレーム
時手札,トキシュサツ
PSYフレーム,サイフレーム
永続罠,エイゾクワナ
自分ターン,ジブンターン
円生活,エンセイカツ
様子見たほう,ヨウスミタホウ
絶対賢明,ゼッタイケンメイ
億円,オクエン
何回,ナンカイ
マジでこれ,マジデコレ
時射殺,トキシャサツ
クリストロン,クリストロン
ロンこれ,ロンコレ
罠カード,ワナカード
全て除外,スベテジョガイ
チューナー以外,チューナーイガイ
体以上,タイイジョウ
クリストロン,クリストロン
ロンこれ,ロンコレ
クリストロン,クリストロン
ロン機械,ロンキカイ
機械族,キカイゾク
これ絶対,コレゼッタイ
絶対竜,ゼッタイリュウ
竜剣士,リュウケンシ
剣士テーマ,ケンシテーマ
水晶機巧,スイショウキコウ
化合獣,カゴウジュウ
獣メタン,ジュウメタン
PSYフレーム,サイフレーム
新規収録,シンキシュウロク
収録決定,シュウロクケッテイ
スターライト速報,スターライトソクホウ
情報まとめ,ジョウホウマトメ
化合獣,カゴウジュウ
テーマじゃなくて,テーマジャナクテ
じゃなくて単純,ジャナクテタンジュン
化合獣,カゴウジュウ
獣デュアル,ジュウデュアル
デュアルテーマ,デュアルテーマ
お客さん,オキャクサン
プレゼンター側,プレゼンターガワ
メガ石,メガセキ
歴史上,レキシジョウ
読み合いも,ヨミアワセイモ
ポケモンあんま,ポケモンアンマ
特性はりこみ,トクセイハリコミ
はりこみ強,ハリコミキョウ
強すぎ,キョウスギ
交代先,コウタイサキ
倍ダメージ,バイダメージ
かわり個体値,カワリコタイチ
低めなんだろう,ヒクメナンダロウ
２時間,ニジカン
時間SP,ジカンエスピー
本格的,ホンカクテキ
逆転裁判初,ギャクテンサイバンハツ
ツイートRT,ツイートアールティー
竜剣士,リュウケンシ
剣士テーマ,ケンシテーマ
これマジ,コレマジ
クリストロン,クリストロン
竜剣士,リュウケンシ
剣士テーマ,ケンシテーマ
