米加,ベイカ
加間,カカン
入国審査,ニュウコクシンサ
アメリカ側,アメリカガワ
オクトーバーフェスタ,オクトーバーフェスタ
AI学会,アイガッカイ
学会全国大会,ガッカイゼンコクタイカイ
学士堂,ガクシドウ
何十,ナンジュウ
十年,ジュウネン
百万,ヒャクマン
万遍,マンヘン
連続開催,レンゾクカイサイ
Python周り,パイソンマワリ
宣伝活動,センデンカツドウ
アイスクリーム事業,アイスクリームジギョウ
ルマンドアイス,ルマンドアイス
北陸限定,ホクリクゲンテイ
社会学系,シャカイガクケイ
データ分析,データブンセキ
講演者,コウエンシャ
因果系,インガケイ
公正性,コウセイセイ
性関連,セイカンレン
ワークショップ参加,ワークショップサンカ
外貨両替機,ガイカリョウガエキ
AI研,アイケン
HITSみたい,ヒッツミタイ
創業者派,ソウギョウシャハ
代目派,ダイメハ
shimaさん,シマサン
６５,ロクゴ
５５,ゴゴ
５年,ゴネン
５年,ゴネン
年上積み,ネンウワヅミ
計算機内,ケイサンキナイ
仲良しフォロワー,ナカヨシフォロワー
人発表,ニンハッピョウ
，保育園,，ホイクエン
，データ,，データ
，データ,，データ
，データ,，データ
，パラメタ,，パラメタ
，エスプレッソ,，エスプレッソ
，データ,，データ
，データ,，データ
，セッション,，セッション
，ロボット,，ロボット
ドル札,ドルサツ
評価器,ヒョウカキ
類似度,ルイジド
類似度,ルイジド
分析以外,ブンセキイガイ
pythonコード,パイソンコード
あら，,アラ，
，R,，ラウンド
心理系,シンリケイ
人間乱数,ニンゲンランスウ
だじゃれ力,ダジャレリョク
長いスクリプト,ナガイスクリプト
対話的,タイワテキ
国際会議,コクサイカイギ
会議フォーマット,カイギフォーマット
softwaretools,ソフトウェアツゥールズ
分析ソフト,ブンセキソフト
統合ソフト,トウゴウソフト
AI学会,アイガッカイ
学会全国大会,ガッカイゼンコクタイカイ
漫画家さん,マンガカサン
資料P,シリョウピー
AI技術,アイギジュツ
恒例分析,コウレイブンセキ
分析ソフト,ブンセキソフト
ソフト投票,ソフトトウヒョウ
我等,ガトウ
宿敵R,シュクテキラウンド
開花深層,カイカシンソウ
深層学習,シンソウガクシュウ
PythonDuel,パイソンドュエル
通勤経路,ツウキンケイロ
差分プライバシ,サブンプライバシ
公的統計,コウテキトウケイ
