ザ・スクープスペシャル,ザスクープスペシャル
午後４,ゴゴヨン
４時,ヨンジ
芸術祭参加,ゲイジュツサイサンカ
参加作品,サンカサクヒン
ザ・スクープスペシャル,ザスクープスペシャル
国際情報局,コクサイジョウホウキョク
情報局長,ジョウホウキョクチョウ
孫崎享氏,マゴサキウケルシ
戦後一貫,センゴイッカン
黒川委員長,クロカワイインチョウ
政治的背景,セイジテキハイケイ
国会事故調,コッカイジコチョウ
東京地検特捜部,トウキョウチケントクソウブ
特捜部検事,トクソウブケンジ
予想通り,ヨソウドオリ
man私,エムアーエヌワタシ
３年間,サンネンカン
年間経口,ネンカンケイコウ
以上四,イジョウヨン
四種類,ヨンシュルイ
核武装論,カクブソウロン
論者,ロンシャ
冷戦時代,レイセンジダイ
ICBM基地,アイシービーエムキチ
ソ連軍将校,ソレングンショウコウ
地図上,チズジョウ
６７,ロクナナ
７年,ナナネン
年前,ネンマエ
異常さ,イジョウサ
日本列島上空,ニホンレットウジョウクウ
６ルート,ロクルート
試験飛行,シケンヒコウ
オスプレイ話,オスプレイバナシ
鴨長明,カモチョウメイ
NHKウオッチ,エヌエイチケイウオッチ
ウオッチ９,ウオッチキュウ
井上さん,イノウエサン
大越キャスター,オオゴシキャスター
核分裂エネルギー,カクブンレツエネルギー
実験的,ジッケンテキ
原爆被爆,ゲンバクヒバク
被爆国,ヒバクコク
核分裂エネルギー,カクブンレツエネルギー
人間的,ニンゲンテキ
一度,イチド
国際刑事,コクサイケイジ
国対国,コクタイコク
二発,ニハツ
２２,ニニ
２万,ニマン
万人,マンニン
訳分からん,ヤクワカラン
私個人,ワタシコジン
２０,ニゼロ
０１,ゼロイチ
１４,イチヨン
２０,ニゼロ
０１,ゼロイチ
１５,イチゴ
５年,ゴネン
骨抜きなりふり,ホネヌキナリフリ
前回総選挙,ゼンカイソウセンキョ
全て骨抜き,スベテホネヌキ
消費税増税,ショウヒゼイゾウゼイ
２１,ニイチ
１１,イチイチ
１４,イチヨン
４年,ヨンネン
年４月,ネンシガツ
４月８,シガツハチ
８％,ハチパーセント
２１,ニイチ
１１,イチイチ
１５,イチゴ
５年,ゴネン
年１０月,ネンジュウガツ
１０月１,ジュウガツイチ
１０,イチゼロ
０％,ゼロパーセント
言葉使い,コトバヅカイ
１２,イチニ
２日,ニニチ
国会事故調,コッカイジコチョウ
事故調何,ジコチョウナニ
先頃急死,サキゴロキュウシ
四十,ヨンジュウ
十九,ジュウキュウ
九日,キュウニチ
東電寄り,トウデンヨリ
被害者みたい,ヒガイシャミタイ
４月発足,シガツホッソク
発足予定,ホッソクヨテイ
法案審議,ホウアンシンギ
審議入り,シンギイリ
問責決議閣僚,モンセキケツギカクリョウ
