００,ゼロゼロ
トランプ氏,トランプシ
０年,ゼロネン
２０,ニゼロ
１０,イチゼロ
政治家,セイジカ
ヒラリー氏,ヒラリーシ
サンダース氏,サンダースシ
０万,ゼロマン
一人,イチニン
年前,ネンマエ
万円,マンエン
３０,サンゼロ
舛添氏,マスゾエシ
世界的,セカイテキ
５０,ゴゼロ
研究者,ケンキュウシャ
支持者,シジシャ
政治的,セイジテキ
４０,ヨンゼロ
数年,スウネン
根本的,コンポンテキ
０年代,ゼロネンダイ
オバマ氏,オバマシ
日本共産党,ニッポンキョウサントウ
１９,イチキュウ
危険性,キケンセイ
７０,ナナゼロ
億円,オクエン
規制法,キセイホウ
九段,キュウダン
技術的,ギジュツテキ
影響力,エイキョウリョク
１５,イチゴ
二人,ニニン
１３,イチサン
０１,ゼロイチ
４年,ヨンネン
一度,イチド
０億,ゼロオク
米大統領,ベイダイトウリョウ
最終的,サイシュウテキ
１２,イチニ
下氏,カシ
運転手,ウンテンシュ
具体的,グタイテキ
０円,ゼロエン
橋下,ハシカ
万人,マンニン
それ以上,ソレイジョウ
わいせつ性,ワイセツセイ
流動化,リュウドウカ
６０,ロクゼロ
科学的,カガクテキ
５年,ゴネン
年後,ネンゴ
１１,イチイチ
効率化,コウリツカ
２１,ニイチ
３年,サンネン
０人,ゼロニン
氏みたい,シミタイ
８０,ハチゼロ
点差,テンサ
ミスリーディング,ミスリーディング
１年,イチネン
歴史的,レキシテキ
乙武氏,オトタケシ
んじゃなくて,ンジャナクテ
２年,ニネン
２人,ニニン
６年,ロクネン
安保法制,アンポホウセイ
一回,イチカイ
基本的,キホンテキ
１４,イチヨン
一番大事,イチバンダイジ
年以上,ネンイジョウ
一点,イチテン
一発,イチハツ
９０,キュウゼロ
最高裁判事,サイコウサイハンジ
物理的,ブツリテキ
知識人,チシキジン
李世ドル九,イセドルキュウ
反ヘイト法,ハンヘイトホウ
円高,エンダカ
米大統領選,ベイダイトウリョウセン
相対化,ソウタイカ
そっちの,ソッチノ
横断的,オウダンテキ
米外交,ベイガイコウ
現役時代,ゲンエキジダイ
９９,キュウキュウ
１世紀,イチセイキ
ヘイトスピーチ規制,ヘイトスピーチキセイ
影響下,エイキョウカ
こと自体,コトジタイ
経営陣,ケイエイジン
典型的,テンケイテキ
年近く,ネンチカク
浅田彰氏,アサダアキラシ
司法制度,シホウセイド
ブルームバーグ氏,ブルームバーグシ
人権保護,ジンケンホゴ
クリントン氏,クリントンシ
２６,ニロク
Yahooニュース,ヤフーニュース
０ｋｍ,ゼロキロメートル
規制委員会,キセイイインカイ
ドイツ語,ドイツゴ
最大化,サイダイカ
円安,エンヤス
田母神氏,タモガミシ
クルーズ氏,クルーズシ
政策的,セイサクテキ
５番,ゴバン
１６,イチロク
こっちの,コッチノ
思想的,シソウテキ
９年,キュウネン
最適化,サイテキカ
９条,キュウジョウ
１％,イチパーセント
国家的,コッカテキ
６歳,ロクサイ
柄谷行人氏,カラタニコウジンシ
大江健三郎氏,オオエケンザブロウシ
リーク情報,リークジョウホウ
民主党支持,ミンシュトウシジ
批判的,ヒハンテキ
重要性,ジュウヨウセイ
現実的,ゲンジツテキ
匿名アカウント,トクメイアカウント
対中国,タイチュウゴク
対中,タイチュウ
１８,イチハチ
何倍,ナンバイ
官僚組織,カンリョウソシキ
義務教育,ギムキョウイク
有形力,ユウケイリョク
年ぶり,ネンブリ
一枚,イチマイ
IT技術,アイティーギジュツ
十年,ジュウネン
逆進性,ギャクシンセイ
内田光子氏,ウチダミツコシ
プーチン氏,プーチンシ
３歳,サンサイ
６８,ロクハチ
人間的,ニンゲンテキ
閉鎖的,ヘイサテキ
日米,ニチベイ
専門的,センモンテキ
本当そう,ホントウソウ
全く同感,ゼンクドウカン
千万,センマン
行動力,コウドウリョク
絶対的,ゼッタイテキ
９段,キュウダン
直感的,チョッカンテキ
桑田氏,クワタシ
９２,キュウニ
ルビオ氏,ルビオシ
好き勝手,スキカッテ
グーグル側,グーグルガワ
緊急事態法,キンキュウジタイホウ
９６,キュウロク
これ以上,コレイジョウ
コンプラ違反,コンプライハン
孫さん,マゴサン
ろくでなし子氏,ロクデナシコシ
的問題,テキモンダイ
一歩,イチホ
８歳,ハチサイ
８年,ハチネン
子どもたち,コドモタチ
菅氏,カンシ
米国民,ベイコクミン
猪瀬氏,イノセシ
日本側,ニッポンガワ
これ本当,コレホントウ
８割,ハチワリ
兆円,チョウエン
０代,ゼロダイ
小沢氏,オザワシ
やまもといちろう氏,ヤマモトイチロウシ
議会革命,ギカイカクメイ
５万,ゴマン
和平交渉,ワヘイコウショウ
５３,ゴサン
二重,ニジュウ
３人,サンニン
０歳,ゼロサイ
１万,イチマン
予備選,ヨビセン
０世紀,ゼロセイキ
大手メディア,オオテメディア
政権内,セイケンナイ
古舘氏,フルタチシ
長期的,チョウキテキ
２５,ニゴ
財務官僚,ザイムカンリョウ
３条,サンジョウ
ホントそう,ホントソウ
私有財産制,シユウザイサンセイ
なっちゃったん,ナッチャッタン
鈴木宗男氏,スズキムネオシ
大学人,ダイガクジン
２回,ニカイ
任意性,ニンイセイ
ネット上,ネットジョウ
投資先,トウシサキ
Loveis,ラブイズ
２％,ニパーセント
古典的,コテンテキ
米国内,ベイコクナイ
アウト満塁,アウトマンルイ
ニーチェ論,ニーチェロン
抽象的,チュウショウテキ
高すぎ,コウスギ
宗教的,シュウキョウテキ
２度,ニド
村田兆治,ムラタチョウジ
万ドル,マンドル
日中,ニチチュウ
日本赤十字社,ニホンセキジュウジシャ
近く前,チカクマエ
二次元,ニジゲン
これ逆,コレギャク
追加緩和,ツイカカンワ
野間氏,ノマシ
共有物,キョウユウブツ
落合氏,オチアイシ
三次元,サンジゲン
細野氏,ホソノシ
トランプ現象,トランプゲンショウ
２７,ニナナ
小久保監督,コクボカントク
社会全体,シャカイゼンタイ
カーソン氏,カーソンシ
対米,タイベイ
日本経済,ニッポンケイザイ
国民全体,コクミンゼンタイ
限界ケース,ゲンカイケース
加熱製剤,カネツセイザイ
高橋監督,タカハシカントク
７年,ナナネン
身体的,シンタイテキ
０９,ゼロキュウ
出身者,シュッシンシャ
IT化,アイティーカ
広島訪問,ヒロシマホウモン
０日,ゼロニチ
人あたり,ニンアタリ
一台,イチダイ
自動車会社,ジドウシャカイシャ
国民意思,コクミンイシ
ルール違反,ルールイハン
当局者,トウキョクシャ
赤色灯,アカイロトウ
慈善事業,ジゼンジギョウ
清原容疑者,キヨハラヨウギシャ
うどん屋,ウドンヤ
９％,キュウパーセント
パレスティナ問題,パレスティナモンダイ
前原氏,マエハラシ
個人的,コジンテキ
蓮舫氏,レンホウシ
９世紀,キュウセイキ
isa,アイエスアール
９１,キュウイチ
理論的,リロンテキ
年スパン,ネンスパン
ヘーゲル弁証法,ヘーゲルベンショウホウ
ノードモジュラー,ノードモジュラー
楽観的,ラッカンテキ
核開発,カクカイハツ
４位,ヨンイ
もういら,モウイラ
構造的,コウゾウテキ
わいせつ罪,ワイセツザイ
衡量,ハカルリョウ
舛添知事,マスゾエチジ
ここ１,ココイチ
ニューハンプシャー,ニューハンプシャー
経済的,ケイザイテキ
憲法論,ケンポウロン
緊張関係,キンチョウカンケイ
原理主義者,ゲンリシュギシャ
５歳,ゴサイ
５人,ゴニン
補強証拠,ホキョウショウコ
小保方氏,オボカタシ
測量的,ソクリョウテキ
倫理的,リンリテキ
３次元,サンジゲン
アカリクイベント,アカリクイベント
菅直人氏,カンナオトシ
人がいない,ジンガイナイ
人いない,ヒトイナイ
連邦最高裁,レンポウサイコウサイ
金融資本主義,キンユウシホンシュギ
古井由吉氏,フルイヨシキチシ
３５,サンゴ
数週間,スウシュウカン
一種,イチシュ
根源的,コンゲンテキ
一位,イチイ
研究費,ケンキュウヒ
一般化,イッパンカ
中畑氏,ナカハタシ
物神論,ブツカミロン
歳以上,サイイジョウ
組織防衛,ソシキボウエイ
一条,イチジョウ
法構成,ホウコウセイ
久米宏氏,クメヒロシシ
小澤征爾氏,オザワセイジシ
必要以上,ヒツヨウイジョウ
サンダース現象,サンダースゲンショウ
ゴルゴ１,ゴルゴイチ
国際的,コクサイテキ
現金授受,ゲンキンジュジュ
民法学者,ミンポウガクシャ
社会的,シャカイテキ
２点,ニテン
社会的インフラ,シャカイテキインフラ
悪い面,アクイメン
折口氏,オリグチシ
次審査,ジシンサ
宿側,ヤドガワ
石原氏,イシハラシ
伝統的,デントウテキ
ヘイト法,ヘイトホウ
全く関係,ゼンクカンケイ
実行行為,ジッコウコウイ
０数,ゼロスウ
米ロ,ベイロ
党派的,トウハテキ
覚醒作用,カクセイサヨウ
日本人力士,ニッポンジンリキシ
小沢一郎氏,オザワイチロウシ
可能性大,カノウセイダイ
金正恩氏,キムジョンウンシ
本格的,ホンカクテキ
一秘書,イチヒショ
発目,ハツメ
車田正美氏,クルマダマサミシ
大川氏,オオカワシ
高級マンション,コウキュウマンション
避難者,ヒナンシャ
論理的,ロンリテキ
０年間,ゼロネンカン
業界全体,ギョウカイゼンタイ
オバマ外交,オバマガイコウ
ギリシャ悲劇,ギリシャヒゲキ
一票,イチヒョウ
利益衡,リエキハカル
浅田氏,アサダシ
