数学ナイト,スウガクナイト
ロマンティック数学,ロマンティックスウガク
カステラ本,カステラモト
数学カフェ,スウガクカフェ
確率分布,カクリツブンプ
一日,イチニチ
定数倍,テイスウバイ
多面体サイコロ,タメンタイサイコロ
輪読会,リンドクカイ
さげ,サゲ
版画展,ハンガテン
ブログ更新,ブログコウシン
深層学習,シンソウガクシュウ
日本数学,ニッポンスウガク
分散処理,ブンサンショリ
GB制限,ギガバイトセイゲン
発表資料,ハッピョウシリョウ
体験提供,タイケンテイキョウ
数日,スウニチ
発表者,ハッピョウシャ
学習活用,ガクシュウカツヨウ
統計学習,トウケイガクシュウ
数学勉強会,スウガクベンキョウカイ
ベイズ統計学,ベイズトウケイガク
事前分布,ジゼンブンプ
アゴヒゲトカゲ,アゴヒゲトカゲ
これ何,コレナニ
荷物なんや,ニモツナンヤ
おじさんみたい,オジサンミタイ
７回,ナナカイ
動向調査,ドウコウチョウサ
放題code,ホウダイコード
数百,スウヒャク
事故予防,ジコヨボウ
インストール後,インストールゴ
父親ガエル,チチオヤガエル
スーパーロボット犬,スーパーロボットイヌ
シングルタスク,シングルタスク
マルチカノニカル,マルチカノニカル
ベイズ主義,ベイズシュギ
公開用,コウカイヨウ
運転手,ウンテンシュ
変換コワイ,ヘンカンコワイ
ランゴリ,ランゴリ
長時間トーク,チョウジカントーク
種族科目,シュゾクカモク
基礎読書会,キソドクショカイ
レポート記事,レポートキジ
スカーレット・ヨハンソン主演,スカーレットヨハンソンシュエン
tex一式,テキサスレンジャーズイッシキ
類似品,ルイジヒン
将来性,ショウライセイ
池永康晟画集,イケナガヤスナリガシュウ
二乗,ニジョウ
開催中,カイサイチュウ
神戸留守番,コウベルスバン
アーティスト市原,アーティストイチハラ
シリーズ輪読,シリーズリンドク
ルールベース,ルールベース
英語www,エイゴスリーダブリュー
生き物まとめ,イキモノマトメ
平均以下,ヘイキンイカ
確率的,カクリツテキ
最近イベント,サイキンイベント
inthread,インスレッド
何本,ナンホン
自動採譜,ジドウサイフ
サブレ感,サブレカン
中島さち子さん,ナカジマサチコサン
池永先生,イケナガセンセイ
無言タイム,ムゴンタイム
