万人,マンニン
NHKニュース,エヌエイチケイニュース
データ保護,データホゴ
城田真琴,シロタマコト
jpさん,ジェーピーサン
億円,オクエン
RT紙,アールティーシ
情報連携,ジョウホウレンケイ
億ドル,オクドル
情報経済,ジョウホウケイザイ
観光客動向,カンコウキャクドウコウ
RT米,アールティーベイ
商業利用,ショウギョウリヨウ
政府観光客,セイフカンコウキャク
性認定,セイニンテイ
ビッグデータ公開,ビッグデータコウカイ
RTＮＴＴデータ,アールティーエヌティーティーデータ
ビッグデータ分析,ビッグデータブンセキ
最高品質,サイコウヒンシツ
automatically,オートマティックアーリー
年前,ネンマエ
提供先,テイキョウサキ
十分性,ジュウブンセイ
兆円,チョウエン
個人データ,コジンデータ
医学界,イガクカイ
利用目的,リヨウモクテキ
バズワード化,バズワードカ
プライバシー鎖国,プライバシーサコク
良記事,リョウキジ
個人情報保護法改正,コジンジョウホウホゴホウカイセイ
RTビッグデータ,アールティービッグデータ
人集約,ニンシュウヤク
techcrunchさん,テッククランチサン
国民生活,コクミンセイカツ
提供情報,テイキョウジョウホウ
端末ID,タンマツアイディー
出発点,シュッパツテン
ドット朝日新聞出版,ドットアサヒシンブンシュッパン
パーソナルデータ検討,パーソナルデータケントウ
データブローカー,データブローカー
ダイエット診断,ダイエットシンダン
活用内容,カツヨウナイヨウ
遺伝子情報,イデンシジョウホウ
RT第三者機関,アールティーダイサンシャキカン
人以上,ニンイジョウ
情報活用,ジョウホウカツヨウ
スコア化,スコアカ
基本権,キホンケン
jptechcrunch,ジェイピーテッククランチ
生活習慣,セイカツシュウカン
性格診断,セイカクシンダン
携帯会社,ケイタイカイシャ
最終的,サイシュウテキ
リーディングプレイヤー,リーディングプレイヤー
RTDeNA,アールティーディーエヌエー
ネット広告,ネットコウコク
０万,ゼロマン
１万,イチマン
消費者プライバシー権,ショウヒシャプライバシーケン
匿名加工,トクメイカコウ
検討会,ケントウカイ
３年,サンネン
IT産業,アイティーサンギョウ
gumiショック,グミショック
ナミュール大学,ナミュールダイガク
創薬,ソウヤク
プライバシー権法,プライバシーケンホウ
権憲章,ケンケンショウ
ネット情報,ネットジョウホウ
遺伝子差別,イデンシサベツ
医療センター所長,イリョウセンターショチョウ
日米,ニチベイ
データ解析,データカイセキ
相談会,ソウダンカイ
復調鮮明,フクチョウセンメイ
RT電機,アールティーデンキ
定期的,テイキテキ
災害ロボット,サイガイロボット
ステークホルダープロセス,ステークホルダープロセス
RTLinkedIn,アールティーリンクトイン
マネーニュース,マネーニュース
３部,サンブ
ビッグデータ充実,ビッグデータジュウジツ
予定通り,ヨテイドオリ
ビッグデータ提携,ビッグデータテイケイ
割引セール,ワリビキセール
ようビジネスモデル,ヨウビジネスモデル
９０,キュウゼロ
RTデータ,アールティーデータ
