ツイート特選,ツイートトクセン
マイツイート,マイツイート
フォーゲル教授,フォーゲルキョウジュ
世界的,セカイテキ
百万,ヒャクマン
何百,ナンヒャク
イブリス,イブリス
十年,ジュウネン
占領地,センリョウチ
皇軍将士,コウグンショウシ
年前,ネンマエ
数年,スウネン
正当化,セイトウカ
縄張り争い,ナワバリアラソイ
Twitterすごろく,ツイッタースゴロク
強制性,キョウセイセイ
奴隷制度,ドレイセイド
過去ログ特選,カコログトクセン
一国,イチコク
一度,イチド
十人,ジュウニン
菅官房長官,カンカンボウチョウカン
万人,マンニン
年後,ネンゴ
自分ら,ジブンラ
ストウ夫人,ストウフジン
領土欲,リョウドヨク
一人,イチニン
慰安婦奴隷化,イアンフドレイカ
侵略国,シンリャクコク
自由主義国家,ジユウシュギコッカ
ツイ特選,ツイトクセン
支配者,シハイシャ
マイツイ,マイツイ
特別視,トクベツシ
リビア空軍,リビアクウグン
日本娘,ニッポンムスメ
2011年2月16日,ニセンジュウイチネンニガツジュウロクニチ
百年,ヒャクネン
2012年12月29日,ニセンジュウニネンジュウニガツニジュウクニチ
逸脱ぶり,イツダツブリ
2011年3月28日,ニセンジュウイチネンサンガツニジュウハチニチ
男性ホルモン,ダンセイホルモン
三マス,サンマス
年相応,トシソウオウ
トルコ大統領,トルコダイトウリョウ
いじめっ子同士,イジメッコドウシ
性奴隷表記,セイドレイヒョウキ
いじめっ子たち,イジメッコタチ
政治家,セイジカ
大日本帝国,ダイニッポンテイコク
二人,ニニン
数百,スウヒャク
米政府,ベイセイフ
こと自体,コトジタイ
日本では,ニッポンデハ
米国議会,ベイコクギカイ
万円,マンエン
日本経済,ニッポンケイザイ
失敗あるある,シッパイアルアル
何十,ナニジュウ
戦後最大,センゴサイダイ
ココ重要,ココジュウヨウ
アジア侵略,アジアシンリャク
戦争犯罪調査,センソウハンザイチョウサ
国家的,コッカテキ
朝日叩き,アサヒハタキ
バカウヨども,バカウヨドモ
国家主義者,コッカシュギシャ
女性たち,ジョセイタチ
的状況,テキジョウキョウ
大戦中,タイセンチュウ
枢軸側,スウジクガワ
被害女性,ヒガイジョセイ
宣伝効果,センデンコウカ
紙奴隷,カミドレイ
お前ら,オマエラ
日中,ニチチュウ
何千,ナンセン
それ自体,ソレジタイ
右傾メディア,ウケイメディア
アメリカ南部,アメリカナンブ
具体的,グタイテキ
