研究者,ケンキュウシャ
HPCvia,エイチピーシービア
情報系,ジョウホウケイ
億円,オクエン
万円,マンエン
forthe,フォーザ
onthe,オンザ
inthe,インザ
supercomputer,スーパーコンピューター
年前,ネンマエ
研究費,ケンキュウヒ
atthe,アットザ
松岡先生,マツオカセンセイ
共同研究,キョウドウケンキュウ
国際会議,コクサイカイギ
兆円,チョウエン
tothe,トゥザ
深層学習,シンソウガクシュウ
isa,アイエスアール
大学教育,ダイガクキョウイク
一人,イチニン
技術的,ギジュツテキ
博士課程,ハカセカテイ
isthe,イズザ
研究機関,ケンキュウキカン
Supercomputer,スーパーコンピューター
バンド幅,バンドハバ
TokyoTech,トウキョウテック
データ分析,データブンセキ
Newpost,ニューポスト
大学入試,ダイガクニュウシ
itis,イットイズ
数十,スウジュウ
卓越研究員,タクエツケンキュウイン
東京工業大学,トウキョウコウギョウダイガク
英語化,エイゴカ
政治家,セイジカ
HPCand,エイチピーシーアンド
科学的,カガクテキ
オーバーコンプライアンス,オーバーコンプライアンス
特化,トクカ
万人,マンニン
数年,スウネン
inJapan,インジャパン
IT企業,アイティーキギョウ
年後,ネンゴ
岩田氏,イワタシ
fora,フォーアール
最適化,サイテキカ
受賞者,ジュショウシャ
大学ランキング,ダイガクランキング
大学改革,ダイガクカイカク
人文系,ジンブンケイ
ona,オンアール
andthe,アンドザ
実用化,ジツヨウカ
２０,ニゼロ
運営費交付金,ウンエイヒコウフキン
ina,インアール
ポストムーア,ポストムーア
HPCin,エイチピーシーイン
世界的,セカイテキ
産業利用,サンギョウリヨウ
若手研究,ワカテケンキュウ
地方国立大,チホウコクリツダイ
円程度,エンテイド
記念講演,キネンコウエン
日米,ニチベイ
Itis,イットイズ
科学研究,カガクケンキュウ
Thanksfor,サンクスフォー
万ドル,マンドル
情報科学科,ジョウホウカガクカ
bythe,ビーワイザ
ポスドク問題,ポスドクモンダイ
センター長,センターチョウ
platformnet,プラットフォームエヌイーティー
年以上,ネンイジョウ
賞受賞,ショウジュショウ
重要性,ジュウヨウセイ
asa,アズアール
国プロ,クニプロ
人工知能研究,ジンコウチノウケンキュウ
TegraX1,テグラエックスワン
million,メートルイリオン
文系廃止,ブンケイハイシ
toa,トゥアール
卒業後,ソツギョウゴ
itwill,イットウィル
talkat,トークアット
L型大学,エルガタダイガク
European,ユーロップアン
小保方氏,オボカタシ
職能教育,ショクノウキョウイク
一発,イチハツ
submission,サブスクリプトミッション
創薬,ハジメヤク
出身者,シュッシンシャ
英語力,エイゴリョク
計算量,ケイサンリョウ
最終的,サイシュウテキ
数千,スウセン
Tianh,ティアエヌエイチ
理系バー,リケイバー
available,アベイルエイブル
億ドル,オクドル
allthe,アルバニアレクザ
スーパーコンピューター,スーパーコンピューター
入試改革,ニュウシカイカク
外国人教員,ガイコクジンキョウイン
特別講演,トクベツコウエン
toget,トゥゲット
万コア,マンコア
isnow,イズナウ
絶望的,ゼツボウテキ
大学進学率,ダイガクシンガクリツ
さそう,サソウ
外部資金,ガイブシキン
inChina,インチャイナ
学術論文,ガクジュツロンブン
上位大学,ジョウイダイガク
査読者,サドクシャ
博士卒,ハカセソツ
研究資金,ケンキュウシキン
学術的,ガクジュツテキ
研究環境,ケンキュウカンキョウ
公的研究,コウテキケンキュウ
国研,クニケン
松岡自身,マツオカジシン
十年,ジュウネン
talkon,トークオン
FX10,エフエックステン
presenting,プレゼントアイエヌジー
海外ニュース,カイガイニュース
一般化,イッパンカ
評価システム,ヒョウカシステム
具体的,グタイテキ
論文数,ロンブンスウ
theHPC,ザエイチピーシー
thatthe,ザットザ
大学側,ダイガクガワ
inHPC,インエイチピーシー
間接経費,カンセツケイヒ
production,プロダクトアイオン
一日,イチニチ
