研究者,ケンキュウシャ
ユニット数,ユニットスウ
応募用紙,オウボヨウシ
女子プロジェクト,ジョシプロジェクト
岩波データサイエンス,イワナミデータサイエンス
CS系,シーエスケイ
データ分析,データブンセキ
研究開発,ケンキュウカイハツ
身長体重,シンチョウタイジュウ
割烹着的,カッポウギテキ
onthe,オンザ
リーダー層,リーダーソウ
インダストリー,インダストリー
三点,サンテン
機械学習系,キカイガクシュウケイ
全身写真,ゼンシンシャシン
たまさん,タマサン
類似度,ルイジド
万人,マンニン
ブログ更新,ブログコウシン
inJapanese,インジャパニーズ
最新記事,サイシンキジ
研究結果,ケンキュウケッカ
ICT女子,アイシーティージョシ
ニセたま,ニセタマ
年前,ネンマエ
告発者,コクハツシャ
推奨値,スイショウチ
トップジャーナル,トップジャーナル
サンディエゴ,サンディエゴ
andML,アンドエムエル
atgro,エーティージーアールオー
TensorFlowis,テンソーフローイズ
国際会議,コクサイカイギ
ルポルタージュ番組,ルポルタージュバングミ
みゆうさん,ミユウサン
radioactive,ラジオアクティブ
研究不正,ケンキュウフセイ
Satya Nadellatold,サトヤナデラトールド
ドキュメンタリーby,ドキュメンタリービーワイ
無事捕獲,ブジホカク
ona,オンアール
データサイエンス界,データサイエンスカイ
都市渡航,トシトコウ
justdoesn’t,ジャストダズン
企業データ,キギョウデータ
米ディズニーワールド,ベイディズニーワールド
池上彰さん,イケガミアキラサン
クロスモーダル,クロスモーダル
日本社畜,ニッポンシャチク
質問自体,シツモンジタイ
毒にも,ドクニモ
チューニング真面目,チューニングマジメ
ラッパー等,ラッパートウ
Twitter広告,ツイッターコウコク
重要性,ジュウヨウセイ
データサイエンティスト名,データサイエンティストメイ
女性活躍,ジョセイカツヤク
査読論文,サドクロンブン
某くん,ボウクン
子トップ,コトップ
発売中,ハツバイチュウ
具体的,グタイテキ
入社時,ニュウシャジ
人あたり,ニンアタリ
一番好き,イチバンスキ
Here's,ハーエス
キャリア論,キャリアロン
accessto,アクセストゥ
芸能人SNS,ゲイノウジンエスエヌエス
生ウニ,セイウニ
thedeep,ザディープ
ここ最近,ココサイキン
塩水生,エンスイセイ
悩み相談,ナヤミソウダン
inmy,インマイ
にも薬,ニモヤク
timegrand slam,タイムグランドスラム
到来調査,トウライチョウサ
LinkedInin,リンクトインイン
Yahooニュース,ヤフーニュース
allwho,アルバニアレクフー
汎化,ヒロシカ
activefor,アクティブフォー
一緒に行商人,イッショニギョウショウニン
万回,マンカイ
刊行委員,カンコウイイン
