１丁目,イチチョウメ
２丁目,ニチョウメ
３丁目,サンチョウメ
深層学習,シンソウガクシュウ
企業発表,キギョウハッピョウ
４丁目,ヨンチョウメ
採点システム,サイテンシステム
５丁目,ゴチョウメ
自動採点,ジドウサイテン
六字,ロクジ
回目,カイメ
郷六,サトロク
６丁目,ロクチョウメ
言語処理,ゲンゴショリ
対象区域,タイショウクイキ
時台,ジダイ
仙台市内,センダイシナイ
東北大学情報科学,トウホクダイガクジョウホウカガク
電気情報,デンキジョウホウ
国際会議,コクサイカイギ
台発,ダイハツ
情報物理工学科,ジョウホウブツリコウガクカ
年9月10日,ネンクガツトオカ
研究動向,ケンキュウドウコウ
東北地区,トウホクチク
情報科学研究科,ジョウホウカガクケンキュウカ
鈎取字,カギトリジ
添付画像,テンプガゾウ
荒巻字,アラマキジ
乾先生,イヌイセンセイ
回勉強会,カイベンキョウカイ
東北大学工学部,トウホクダイガクコウガクブ
工学部電気,コウガクブデンキ
分程度,フンテイド
モノづくり,モノヅクリ
中講義,チュウコウギ
人材募集中,ジンザイボシュウチュウ
研究ノート,ケンキュウノート
NL研,エヌエルケン
分散表現,ブンサンヒョウゲン
年後,ネンゴ
Mooney氏,ムーニーシ
招待講演,ショウタイコウエン
出入り自由,デイリジユウ
回年次,カイネンジ
年次大会,ネンジタイカイ
択捉島開催,エトロフトウカイサイ
研究科棟,ケンキュウカトウ
プログラミング入門,プログラミングニュウモン
本日開催,ホンジツカイサイ
研究者,ケンキュウシャ
的推薦,テキスイセン
仙台市東部,センダイシトウブ
ニューラルネットワーク研究,ニューラルネットワークケンキュウ
７丁目,ナナチョウメ
OSS開発,オーエスエスカイハツ
Excelファイル,エクセルファイル
仙台オクトーバーフェスト,センダイオクトーバーフェスト
発令対象,ハツレイタイショウ
RayMooney,レイムーニー
岩波DS,イワナミディーエス
講義室,コウギシツ
月10日,ツキトオカ
運動学習,ウンドウガクシュウ
動作理解,ドウサリカイ
心理学寄り,シンリガクヨリ
作題,サクダイ
pioneerMarvin Minsky,パイオニアマーヴィンミンスキー
