定時定時,テイジテイジ
お前ら,オマエラ
定時出社,テイジシュッシャ
出社出社,シュッシャシュッシャ
3つ発表,ミッツハッピョウ
毎日毎日,マイニチマイニチ
豚キムチ,ブタキムチ
wwwwww,スリーダブリュースリーダブリュー
万円,マンエン
出社定時,シュッシャテイジ
中央線,チュウオウセン
就寝ガチ勢,シュウシンガチゼイ
ハンパないレム睡眠,ハンパナイレムスイミン
ノンレム睡眠,ノンレムスイミン
おしごと,オシゴト
ウンコ漏れ,ウンコモレ
面白すぎ,オモシロスギ
漏れそう,モレソウ
ストロングゼロダブル,ストロングゼロダブル
チン毛,チンケ
キツい,キツイ
出社音,シュッシャオン
一人,イチニン
総武線,ソウブセン
午前中,ゴゼンチュウ
キモすぎ,キモスギ
プレモルおじさん,プレモルオジサン
年以上,ネンイジョウ
出社面白,シュッシャオモシロ
ハムt,ハムトン
すぎワロタ,スギワロタ
俺ら,オレラ
マン毛,マンケ
定時社会,テイジシャカイ
１１,イチイチ
ダブルレモン,ダブルレモン
一日,イチニチ
んじゃなくて,ンジャナクテ
回転ケイク,カイテンケイク
屋彩香,ヤアヤカ
美味すぎ,ビミスギ
何回,ナンカイ
麺屋,メンヤ
壊死ニキ,エシニキ
数年,スウネン
パチンコ屋,パチンコヤ
女子便所,ジョシベンジョ
年ぶり,ネンブリ
連勤,レンツトム
取材取材,シュザイシュザイ
俺たち,オレタチ
さそう,サソウ
終売,オワリウリ
明日仕事,アシタシゴト
何度,ナンド
コークハイ,コークハイ
アラサー村,アラサームラ
レア武器,レアブキ
連ガチャ,レンガチャ
一度,イチド
絶望的,ゼツボウテキ
白ぶどう,シロブドウ
ハイボールうめ,ハイボールウメ
年前,ネンマエ
セクシ,セクシ
一番好き,イチバンスキ
シンサウザー,シンサウザー
明日休み,アシタヤスミ
なんだけど…,ナンダケド
盆明け,ボンアケ
寸シ,スンシ
これ以上,コレイジョウ
時過ぎ,ジスギ
眠すぎ,ネムリスギ
初号ハイニッカ,ショゴウハイニッカ
時間後,ジカンゴ
脱却成功,ダッキャクセイコウ
出社甘えるな,シュッシャアマエルナ
高すぎ,ダカスギ
出社社会,シュッシャシャカイ
何歳,ナンサイ
今日電車,キョウデンシャ
出社大成功,シュッシャダイセイコウ
仕事中,シゴトチュウ
ウンコ我慢,ウンコガマン
回目,カイメ
うますぎ,ウマスギ
今日休み,キョウヤスミ
水道橋,スイドウキョウ
取材原稿,シュザイゲンコウ
大滝さん,オオタキサン
ケイクさん,ケイクサン
ニューアルバム,ニューアルバム
らーめん文蔵,ラーメンブゾウ
ダブルパイナップル,ダブルパイナップル
木寸,キスン
若年層,ジャクネンソウ
さすぎ,サスギ
数日,スウニチ
フレッシュグッディ,フレッシュグッディ
ブラックニッカ8年,ブラックニッカハチネン
ここ数,ココスウ
キツすぎ,キツスギ
盆休み,ボンヤスミ
１日,イチニチ
社会社会,シャカイシャカイ
本格的,ホンカクテキ
無理過ぎ,ムリスギ
クズ度,クズド
つ折り財布,ツオリサイフ
それ以降,ソレイコウ
ウイスキーロック,ウイスキーロック
ガン切れ,ガンギレ
宮城峡NA,ミヤギキョウエヌエー
×3杯,トリプルハイ
分後,フンゴ
角瓶,カクビン
ビラ子,ビラコ
復刻版,フッコクバン
乳首写メ,チクビシャメ
なにそれ,ナニソレ
分以上,フンイジョウ
米青,マイアオ
風呂最高,フロサイコウ
チンコ出して,チンコダシテ
最近さ,サイキンサ
誤字女,ゴジオンナ
足臭,アシシュウ
何日,ナンニチ
精神的,セイシンテキ
野菜グラノーラ,ヤサイグラノーラ
朝一,アサイチ
大成功出社,ダイセイコウシュッシャ
膣分泌液殺人事件,チツブンピツエキサツジンジケン
一杯,イチハイ
何年,ナンネン
何度も何,ナンドモナン
ときウンコ,トキウンコ
萬寿,ヨロズヒサシ
おそ松アイコン,オソマツアイコン
作目,サクメ
アラサーの村,アラサーノムラ
ゲーム音痴,ゲームオンチ
臭すぎ,ニオイスギ
ハイボール美味,ハイボールビミ
お前天才,オマエテンサイ
虫取り,ムシトリ
最近仕事,サイキンシゴト
ふゆゆ,フユユ
二つ折り,ニツオリ
ハイニッカ復刻,ハイニッカフッコク
１杯,イチハイ
原稿取材,ゲンコウシュザイ
一回,イチカイ
