officemusic,オフィスミュージック
億円,オクエン
万人,マンニン
YouTubeさん,ユーチューブサン
liveat,ライブアット
ソーシャルアプリ,ソーシャルアプリ
十番,ジュウバン
Yahooニュース,ヤフーニュース
麻布十,マフジュウ
RTRT,アールティーアールティー
万円,マンエン
japanさん,ジャパンサン
事前登録,ジゼントウロク
RTこれ,アールティーコレ
配信開始,ハイシンカイシ
株式会社Cygames,カブシキガイシャサイゲームス
@youtube,アットユウチューブ
IVSlive,アイヴィエスライブ
tubeさん,チューブサン
人突破,ニントッパ
提供開始,テイキョウカイシ
邦楽セット,ホウガクセット
一度,イチド
ITmediaニュース,アイティーメディアニュース
RTCygames,アールティーサイゲームス
００,ゼロゼロ
絶対フォント,ゼッタイフォント
famitsu,インシブンセキホウミツ
フォント感,フォントカン
DQMスーパーライト,ドラゴンクエストモンスターズスーパーライト
jpさん,ジェーピーサン
mitsuさん,ミツサン
弾発表,ダンハッピョウ
一弾,イチダン
１０,イチゼロ
売上ランキング,ウリアゲランキング
２０,ニゼロ
作業用,サギョウヨウ
三国志パズル,サンゴクシパズル
jptechcrunch,ジェイピーテッククランチ
RT今日,アールティーキョウ
サービス開始,サービスカイシ
RT大学,アールティーダイガク
Android版,アンドロイドバン
さそう,サソウ
拡散性,カクサンセイ
サービス終了,サービスシュウリョウ
iOS版,アイオーエスバン
会員数,カイインスウ
招待ID,ショウタイアイディー
techcrunchさん,テッククランチサン
PSN問題,ピーエスエヌモンダイ
パズル大戦,パズルタイセン
NHKニュース,エヌエイチケイニュース
課金率,カキンリツ
発売決定,ハツバイケッテイ
アーティスト発表,アーティストハッピョウ
二人,ニニン
@itm,アットマークアイティメートル
なにこれ,ナニコレ
ケイドロ大会,ケイドロタイカイ
スラッシュ区切り,スラッシュクギリ
六本木店,ロッポンギテン
4GamerNews,フォーゲーマーニュース
数年,スウネン
年ぶり,ネンブリ
２階,ニカイ
ゲーム開発,ゲームカイハツ
戦目,センメ
ゲーム業界,ゲームギョウカイ
出演アーティスト,シュツエンアーティスト
階建,カイケン
数十,スウジュウ
発表会,ハッピョウカイ
全力２,ゼンリョクニ
最新作,サイシンサク
スマフォ版,スマフォバン
ソーシャルゲーム開発,ソーシャルゲームカイハツ
バータウン,バータウン
性MA,セイエムエー
オープン化,オープンカ
０１,ゼロイチ
数ヶ月,スウカゲツ
アクティブ率,アクティブリツ
星空バー,ホシゾラバー
％増,パーセントゾウ
深夜作業,シンヤサギョウ
分頃,フンゴロ
グルーポンサイト,グルーポンサイト
お互い特典,オタガイトクテン
ガンダムロワイヤル,ガンダムロワイヤル
ハイフン区切り,ハイフンクギリ
ソーシャルゲーム市場,ソーシャルゲームシジョウ
データ分析,データブンセキ
ドラゴンエクリプス,ドラゴンエクリプス
socialapp,ソーシャルエーピーピー
年前,ネンマエ
最終的,サイシュウテキ
用ＢＧＭ,ヨウビージーエム
ニフティクラウド,ニフティクラウド
販売開始,ハンバイカイシ
懇親会,コンシンカイ
RTDeNA,アールティーディーエヌエー
ここ数,ココスウ
一通り,イチトオリ
継続率,ケイゾクリツ
ねとらぼ@it,ネトラボアットマークアイティ
データサイエンティストサミット,データサイエンティストサミット
ブラナイ,ブラナイ
１６,イチロク
調査結果,チョウサケッカ
口内炎,コウナイエン
登録者数,トウロクシャスウ
がんばれー,ガンバレー
Newsさん,ニュースサン
二弾,ニダン
営業益,エイギョウエキ
弾アーティスト,ダンアーティスト
停止中,テイシチュウ
スマホゲーム,スマホゲーム
Mobageランキング,モバゲーランキング
アプリ開発,アプリカイハツ
１位,イチイ
実施中,ジッシチュウ
