億円,オクエン
００,ゼロゼロ
万人,マンニン
２０,ニゼロ
RTRT,アールティーアールティー
RT私,アールティーワタシ
万円,マンエン
１０,イチゼロ
孫正義社長,ソンマサヨシシャチョウ
藤田さん,フジタサン
３０,サンゼロ
企業家たち,キギョウカタチ
１日,イチニチ
０万,ゼロマン
５０,ゴゼロ
RT今日,アールティーキョウ
一人,イチニン
糸井重里さん,イトイシゲサトサン
企業家倶楽部,キギョウカクラブ
メモメモ,メモメモ
万部,マンブ
村上春樹さん,ムラカミハルキサン
魅力的,ミリョクテキ
０１,ゼロイチ
発表会,ハッピョウカイ
RT藤田,アールティーフジタ
０年,ゼロネン
香川選手,カガワセンシュ
年ぶり,ネンブリ
椎名林檎さん,シイナリンゴサン
wRT,ワットアールティー
二人,ニニン
RT僕,アールティーボク
０億,ゼロオク
１１,イチイチ
１２,イチニ
香川真司選手,カガワシンジセンシュ
一番好き,イチバンスキ
授賞式,ジュショウシキ
刺激的,シゲキテキ
本田選手,ホンダセンシュ
７日,ナナニチ
本田圭佑選手,ホンダケイスケセンシュ
インターン生,インターンセイ
０代,ゼロダイ
長友選手,ナガトモセンシュ
２４,ニヨン
印象的,インショウテキ
２５,ニゴ
５日,ゴニチ
ヤフートピックス,ヤフートピックス
影響力,エイキョウリョク
年前,ネンマエ
新垣結衣さん,アラガキユイサン
企業家賞,キギョウカショウ
年後,ネンゴ
選手たち,センシュタチ
１５,イチゴ
２位,ニイ
liveat,ライブエーティー
孫さん,マゴサン
NHK番組,エヌエイチケイバングミ
１位,イチイ
％増,パーセントゾウ
サッカー好き,サッカースキ
世界最高,セカイサイコウ
３位,サンイ
ユーザー数,ユーザースウ
パラグアイ代表戦,パラグアイダイヒョウセン
ソフトバンク孫正義,ソフトバンクソンマサヨシ
一日,イチニチ
２９,ニキュウ
兆円,チョウエン
山口百恵さん,ヤマグチモモエサン
メモRT,メモアールティー
４日,ヨンニチ
８０,ハチゼロ
１９,イチキュウ
サッカー日本代表戦,サッカーニッポンダイヒョウセン
経営誌,ケイエイシ
RT何,アールティーナニ
１３,イチサン
何回,ナンカイ
１時,イチジ
７月１,シチガツイチ
２８,ニハチ
中国語,チュウゴクゴ
サッカー日本代表対,サッカーニッポンダイヒョウタイ
