中村研,ナカムラケン
InterSpeech,インテルスピーチ
言語処理,ゲンゴショリ
研究者,ケンキュウシャ
意味解析,イミカイセキ
音声翻訳,オンセイホンヤク
スプリングセミナー,スプリングセミナー
翻訳結果,ホンヤクケッカ
ニューラル翻訳,ニューラルホンヤク
年前,ネンマエ
招待講演,ショウタイコウエン
ACL論文,エーシーエルロンブン
質問応答,シツモンオウトウ
インターン生,インターンセイ
男女比,ダンジョヒ
確率分布,カクリツブンプ
何回,ナンカイ
国際会議,コクサイカイギ
研究テーマ,ケンキュウテーマ
機械学習モデル,キカイガクシュウモデル
知能コミュニケーション,チノウコミュニケーション
NAISTスプリング,ナイストスプリング
翻訳システム,ホンヤクシステム
コミュニケーション研究室,コミュニケーションケンキュウシツ
翻訳グループ,ホンヤクグループ
早期発見,ソウキハッケン
同時音声,ドウジオンセイ
Ustream配信,ユーストリームハイシン
音声変換,オンセイヘンカン
億円,オクエン
潜在的,センザイテキ
論文誌,ロンブンシ
研究費,ケンキュウヒ
ゼミ室,ゼミシツ
深層学習,シンソウガクシュウ
係り受け解析,カカリウケカイセキ
共著者,キョウチョシャ
ニューラルネット入門,ニューラルネットニュウモン
翻訳精度,ホンヤクセイド
松本研,マツモトケン
プログラミング初心者,プログラミングショシンシャ
人工知能研究,ジンコウチノウケンキュウ
評価尺度,ヒョウカシャクド
MT勉強会,エムティーベンキョウカイ
伝導マイク,デンドウマイク
構文木職人,コウブンギショクニン
戸田先生,トダセンセイ
採択率,サイタクリツ
構文情報,コウブンジョウホウ
検索クエリ,ケンサククエリ
博士課程,ハカセカテイ
分野適応,ブンヤテキオウ
発表賞,ハッピョウショウ
サーベイ論文,サーベイロンブン
構文解析結果,コウブンカイセキケッカ
変換技術,ヘンカンギジュツ
改善策,カイゼンサク
統計モデル,トウケイモデル
直感的,チョッカンテキ
対訳データ,タイヤクデータ
decoderモデル,デコーダモデル
最適化,サイテキカ
説明文,セツメイブン
翻訳モデル,ホンヤクモデル
学習法,ガクシュウホウ
特定分野,トクテイブンヤ
共同研究,キョウドウケンキュウ
最終的,サイシュウテキ
有用性,ユウヨウセイ
ニューラルネットモデル,ニューラルネットモデル
がんだむ,ガンダム
ネットワーク上,ネットワークジョウ
脳波情報,ノウハジョウホウ
セミマルコフモデル,セミマルコフモデル
政治的思想,セイジテキシソウ
L4NLP,エルフォーエヌエルピー
正規化処理,セイキカショリ
受賞ラッシュ,ジュショウラッシュ
問題じゃなくて,モンダイジャナクテ
単語列,タンゴレツ
分程度,フンテイド
ペーパー共著,ペーパーキョウチョ
学習率,ガクシュウリツ
研究センター,ケンキュウセンター
線形回帰隠れ,センケイカイキカクレ
対話システム,タイワシステム
フォント周り,フォントマワリ
reinforcement learningin,リインフォースメントラーニングイン
近日中,キンジツチュウ
現在NICT,ゲンザイエヌアイシーティ
値分類,チブンルイ
課程中,カテイチュウ
トップ会議,トップカイギ
ところ翻訳,トコロホンヤク
現役生,ゲンエキセイ
最近Python,サイキンパイソン
空気伝導,クウキデンドウ
東京大学大学院,トウキョウダイガクダイガクイン
処理研究会,ショリケンキュウカイ
学生奨励賞,ガクセイショウレイショウ
押し付け,オシヅケ
yourself,ユアーズエルフ
予約注文,ヨヤクチュウモン
１名,イチメイ
ポーズ推定,ポーズスイテイ
ルール選択,ルールセンタク
一日,イチニチ
クレオール形成,クレオールケイセイ
出版モデル,シュッパンモデル
G社,ギガシャ
コメント等,コメントトウ
モーダルインタラクション,モーダルインタラクション
実用的,ジツヨウテキ
曖昧性,アイマイセイ
機械学習手法,キカイガクシュウシュホウ
報酬関数,ホウシュウカンスウ
通信ネットワーク,ツウシンネットワーク
ソーシャルコンピューティング,ソーシャルコンピューティング
音声言語処理,オンセイゲンゴショリ
京都大学,キョウトダイガク
強調翻訳,キョウチョウホンヤク
莉鈴,レイスズ
softmax関数,ソフトマックスカンスウ
end構文,エンドコウブン
日発売,ニチハツバイ
めちゃくちゃ大事,メチャクチャダイジ
本5月21日,ホンゴガツニジュウイチニチ
期間中,キカンチュウ
大変そう,タイヘンソウ
クラスソフトマックス,クラスソフトマックス
宣伝みたい,センデンミタイ
つぶやき変換,ツブヤキヘンカン
もしNAIST,モシナイスト
研究界隈,ケンキュウカイワイ
研究室だらけ,ケンキュウシツダラケ
音響キーワード,オンキョウキーワード
ランキング学習,ランキングガクシュウ
学生発表,ガクセイハッピョウ
効率的,コウリツテキ
内変動,ナイヘンドウ
質問ごと,シツモンゴト
ビーム探索,ビームタンサク
共著2つ,キョウチョフタツ
自然言語処理研究会,シゼンゲンゴショリケンキュウカイ
差分スペクトル,サブンスペクトル
Twitter上,ツイッタージョウ
スペクトラム補正,スペクトラムホセイ
NLP東京,エヌエルピートウキョウ
でっていうジョーク,デッテイウジョーク
abouta,アバウトアール
2.0首都大,ニーテンゼロシュトダイ
テキスト処理,テキストショリ
cnnlibrary,シーエヌエヌライブラリー
両方付与,リョウホウフヨ
３月５,サンガツゴ
情報理,ジョウホウリ
判定器,ハンテイキ
注文受け付け,チュウモンウケツケ
機械翻訳コンペ,キカイホンヤクコンペ
thecnn,ザシーエヌエヌ
処理応用,ショリオウヨウ
会員登録,カイイントウロク
Oliverくん,オリバークン
多言語対応,タゲンゴタイオウ
人がたくさん,ジンガタクサン
天寿,テンコトブキ
解析精度,カイセキセイド
任助教,ニンジョキョウ
2日間,フツカカン
重要度,ジュウヨウド
自動評価,ジドウヒョウカ
歌声変換,ウタゴエヘンカン
会議論文,カイギロンブン
tothe,トゥザ
ニューラルネット翻訳,ニューラルネットホンヤク
数席,スウセキ
英語音声,エイゴオンセイ
投稿数,トウコウスウ
定量化,テイリョウカ
ニューラルネット構文解析,ニューラルネットコウブンカイセキ
M1勢,エムイチゼイ
講演等,コウエントウ
女性研究,ジョセイケンキュウ
パラメータ最適化,パラメータサイテキカ
化スクリプト,カスクリプト
学習途中,ガクシュウトチュウ
班M1,ハンエムイチ
愛天,アイテン
基本的事項,キホンテキジコウ
宣伝効果,センデンコウカ
岩波データサイエンス,イワナミデータサイエンス
きれいな発音,キレイナハツオン
受講生,ジュコウセイ
荒牧先生,アラマキセンセイ
羽生,ハネセイ
生成法,セイセイホウ
予稿集,ヨコウシュウ
foreign,フェードアウトレイン
臨床腫瘍学,リンショウシュヨウガク
epL4,イーピーエルフォー
現在予約,ゲンザイヨヤク
脳波処理,ノウハショリ
系列内,ケイレツナイ
教育システム情報,キョウイクシステムジョウホウ
ニューラルMT,ニューラルエムティー
年次大会,ネンジタイカイ
小林くん,コバヤシクン
個後,コゴ
言語学習,ゲンゴガクシュウ
ロングペーパー,ロングペーパー
ifX,イフエックス
中僕,チュウボク
ACL終了,エーシーエルシュウリョウ
Rep,ラウンドイーピー
統計寄り,トウケイヨリ
囲碁解法,イゴカイホウ
ツールトラック,ツールトラック
ニューラルネットライブラリ,ニューラルネットライブラリ
英独,エイドク
音声関係,オンセイカンケイ
NLP若手,エヌエルピーワカテ
人工知能学会全国大会,ジンコウチノウガッカイゼンコクタイカイ
