週目,シュウメ
目後半,メコウハン
目前半,メゼンハン
拡張カラム,カクチョウカラム
Unicode9.,ユニコードキュウ
さそう,サソウ
作業中,サギョウチュウ
NLP若手,エヌエルピーワカテ
味あられ,ミアラレ
%位,パーセントイ
の無理,ノムリ
言語処理,ゲンゴショリ
設営部隊,セツエイブタイ
5月末,ゴガツマツ
空白文字,クウハクモジ
アボカド先生,アボカドセンセイ
何度,ナンド
お菓子コーナー,オカシコーナー
小倉焼きうどん,オグラヤキウドン
梅雨明け,ツユアケ
MacBookAir,マックブックエア
懇親会,コンシンカイ
📕来週,ホンライシュウ
3日目,ミッカメ
コロッケ祭,コロッケサイ
6月辺り,ロクガツアタリ
カラムデータ,カラムデータ
経験上,ケイケンジョウ
🍵次,オチャジ
文生成,ブンセイセイ
特設受付,トクセツウケツケ
分野外,ブンヤガイ
本質的,ホンシツテキ
パン🍞,パンバン
受付付近,ウケツケフキン
仕事感,シゴトカン
エンジニア向け,エンジニアムケ
一斉値下げ,イッセイネサゲ
ガイドラインクイズ,ガイドラインクイズ
😄各社,エガオカクシャ
1日分,ツイタチブン
参加お待ち,サンカオマチ
分位,ブンイ
手戻り,テモドリ
neologdイベント,ネオログディーイベント
JJUGCCC,ジェイジャグシーシーシー
スープご飯,スープゴハン
生活時間,セイカツジカン
カオガパオ,カオガパオ
エラー率,エラーリツ
GW中,ガンダムウイングチュウ
mecabパッケージ,メカブパッケージ
入場対応,ニュウジョウタイオウ
むね肉,ムネニク
梅ごはん,ウメゴハン
コマンドラインツール,コマンドラインツール
人工知能学会全国大会,ジンコウチノウガッカイゼンコクタイカイ
ifyou,イフユウ
話して🎙,ハナシテレコーディングマイク
📕災害,ホンサイガイ
論文通り,ロンブンドオリ
アップデート中,アップデートチュウ
試験的,シケンテキ
麺バル,メンバル
SIMフリーiPhone,シムフリーアイフォン
技術イベント,ギジュツイベント
(株)会議室,カブシキガイシャカイギシツ
末以降,マツイコウ
UTF8,ユーティーエフエイト
億円,オクエン
更新作業,コウシンサギョウ
スーパー店員,スーパーテンイン
解決法,カイケツホウ
カツ丼梅,カツドンウメ
FPSaction,エフピーエスアクション
円単位,エンタンイ
Web全体,Webゼンタイ
テキスト生成,テキストセイセイ
マルチモーダル,マルチモーダル
ここ数,ココスウ
CSVファイル,シーエスブイファイル
📕明日,ホンアシタ
あられ🍵,アラレオチャ
門司港焼きカレー,モジコウヤキカレー
🔧今年,レンチコトシ
🛌さっき,シュクハクシセツサッキ
一カ月,イチカゲツ
🍡🎏,オダンゴコイノボリ
処理方面,ショリホウメン
明け以降,アケイコウ
Unicode絵文字,ユニコードエモジ
焚き火LIVE,タキビライブ
創造性,ソウゾウセイ
生鮮食品売り場,セイセンショクヒンウリバ
大丈夫そう,ダイジョウブソウ
焼きうどん味,ヤキウドンミ
知的資源,チテキシゲン
2日目,フツカメ
文字削減,モジサクゲン
ルマンドアイス,ルマンドアイス
地図上,チズジョウ
小倉地区,コクラチク
統計的機械翻訳,トウケイテキキカイホンヤク
整頓作業,セイトンサギョウ
完食,カンショク
全て既知,スベテキチ
📕v,ホンボルト
プリンタドライバ,プリンタドライバ
災害情報,サイガイジョウホウ
緑茶用,リョクチャヨウ
全部解決,ゼンブカイケツ
現場エンジニア,ゲンバエンジニア
味処,アジショ
bythe,ビーワイザ
メンション,メンション
安全性確保,アンゼンセイカクホ
根本的,コンポンテキ
さっきお腹,サッキオナカ
社会生活基本,シャカイセイカツキホン
記事処理,キジショリ
カラム用,カラムヨウ
シーフードスープ,シーフードスープ
youlike,ユウライク
ポチ鶏,ポチニワトリ
リリース前,リリースマエ
😅木曜日,エガオモクヨウビ
ばくだん屋渋谷店,バクダンヤシブヤテン
サイト群,サイトグン
サニーパン,サニーパン
タブ移動,タブイドウ
ごはん少なめ,ゴハンスクナメ
インタラクティブセッション,インタラクティブセッション
大切さ,タイセツサ
