データ分析,データブンセキ
主任研究員,シュニンケンキュウイン
分析プラットフォーム,ブンセキプラットフォーム
分析部,ブンセキブ
データサイエンティスト養成,データサイエンティストヨウセイ
トピックモデル,トピックモデル
ビッグデータ活用,ビッグデータカツヨウ
変量解析,ヘンリョウカイセキ
当社執行役員,トウシャシッコウヤクイン
共催セミナー,キョウサイセミナー
養成講座,ヨウセイコウザ
状態空間モデル,ジョウタイクウカンモデル
意味解析,イミカイセキ
NTTデータ数理,エヌティーティーデータスウリ
分析者,ブンセキシャ
潜在意味,センザイイミ
IoT活用,アイオーティーカツヨウ
統計的潜在,トウケイテキセンザイ
数理システム,スウリシステム
研究員今井,ケンキュウインイマイ
化型,カガタ
マーケティングソリューション,マーケティングソリューション
分析サービス,ブンセキサービス
大手医薬品,オオテイヤクヒン
システム社,システムシャ
医薬品企業,イヤクヒンキギョウ
型DSP,ガタディーエスピー
特化,トクカ
者懇親,シャコンシン
基礎知識,キソチシキ
分析力,ブンセキリョク
内定者,ナイテイシャ
効果的,コウカテキ
ソリューションカンパニー,ソリューションカンパニー
高速分析,コウソクブンセキ
レコメンド特,レコメンドトク
コンサルティングセールス,コンサルティングセールス
部主任,ブシュニン
PDCA実践,ピーディーシーエージッセン
オフライン広告,オフラインコウコク
セミナー開催,セミナーカイサイ
外資系大手,ガイシケイオオテ
資本提携先,シホンテイケイサキ
クラスター分析,クラスターブンセキ
オフィス紹介,オフィスショウカイ
株式会社ALBERT役員,カブシキガイシャアルベルトヤクイン
懇親会,コンシンカイ
ミックスネットワーク,ミックスネットワーク
資本業務提携,シホンギョウムテイケイ
トピ本,トピホン
コンテンツ認識,コンテンツニンシキ
マップソリューション,マップソリューション
事業コンセプト,ジギョウコンセプト
回大会,カイタイカイ
オフラインコンテンツ,オフラインコンテンツ
戦略成功,センリャクセイコウ
養成公開講座,ヨウセイコウカイコウザ
スケールアウト,スケールアウト
顧客コミュニケーション,コキャクコミュニケーション
株式会社ALBERT代表者,カブシキガイシャアルベルトダイヒョウシャ
共同提供,キョウドウテイキョウ
業務提携先,ギョウムテイケイサキ
今井徹,イマイトオル
構築サービス,コウチクサービス
事例セミナー,ジレイセミナー
インサイトマーケティング,インサイトマーケティング
TV放送,テレビホウソウ
対応分析,タイオウブンセキ
データサイエンティスト協会,データサイエンティストキョウカイ
活用事例,カツヨウジレイ
NHKニュース,エヌエイチケイニュース
データマネジメント,データマネジメント
回連載,カイレンサイ
社ブース,シャブース
CRM領域,シーアールエムリョウイキ
