円高,エンダカ
円台,エンダイ
マイナス金利導入,マイナスキンリドウニュウ
円安,エンヤス
兆円,チョウエン
年半,ネンハン
団体献金,ダンタイケンキン
消費税アップ,ショウヒゼイアップ
何十,ナンジュウ
これ以上,コレイジョウ
次期大統領候補,ジキダイトウリョウコウホ
量的金融緩和,リョウテキキンユウカンワ
福祉高,フクシダカ
十年,ジュウネン
目標達成,モクヒョウタッセイ
高負担,ダカフタン
Yahooニュース,ヤフーニュース
万円,マンエン
全額税金,ゼンガクゼイキン
TPP反対,ティピーピーハンタイ
人口減少,ジンコウゲンショウ
実質賃金マイナス,ジッシツチンギンマイナス
経済成長率,ケイザイセイチョウリツ
富の集中,トミノシュウチュウ
日本経済,ニッポンケイザイ
財政再建計画,ザイセイサイケンケイカク
こいつら,コイツラ
米国では,ベイコクデハ
資格取得,シカクシュトク
お茶を濁す程度,オチャヲニゴステイド
政治家,セイジカ
シェア争奪戦,シェアソウダツセン
拉致被害者家族,ラチヒガイシャカゾク
人工島沖,ジンコウトウオキ
トランプ氏,トランプシ
横ばい以上,ヨコバイイジョウ
一度,イチド
全部コンピュータ,ゼンブコンピュータ
少子化原因,ショウシカゲンイン
貸出し先,カシダシサキ
原発コスト,ゲンパツコスト
何倍,ナンバイ
通貨安,ツウカヤス
根本的,コンポンテキ
長期投資,チョウキトウシ
プラマイゼロ,プラマイゼロ
一人,イチニン
ゼロ狙い,ゼロネライ
TPP抜き,ティピーピーヌキ
千円,センエン
２時,ニジ
トランプ旋風,トランプセンプウ
ら破綻,ラハタン
待機児童数,タイキジドウスウ
消費支出,ショウヒシシュツ
ゼロ以下,ゼロイカ
選挙制度改革,センキョセイドカイカク
消費税先送り,ショウヒゼイサキオクリ
産油国どうし,サンユコクドウシ
沖進入,オキシンニュウ
エネルギー量,エネルギーリョウ
一強,イチキョウ
００,ゼロゼロ
聖火台,セイカダイ
全面改訂,ゼンメンカイテイ
研究成果,ケンキュウセイカ
絶望的,ゼツボウテキ
異常安値,イジョウヤスネ
たくさん献金,タクサンケンキン
米艦,ベイカン
年明け以降,トシアケイコウ
波乱要因,ハランヨウイン
人負け,ニンマケ
原油市場,ゲンユシジョウ
前提条件,ゼンテイジョウケン
一党,イチトウ
土木利権,ドボクリケン
間抜けさ,マヌケサ
年以内,ネンイナイ
保険商品,ホケンショウヒン
５カ月,ゴカゲツ
分税金,ブンゼイキン
今後安売り,コンゴヤスウリ
春節前,シュンセツマエ
送電網,ソウデンモウ
実感できないよ,ジッカンデキナイヨ
円近辺,エンキンペン
テロ情報,テロジョウホウ
海外テロ,カイガイテロ
人が自民党,ジンガジミントウ
担当大臣,タントウダイジン
民間債務,ミンカンサイム
国鉄マン,コクテツマン
設備過剰,セツビカジョウ
利害調整,リガイチョウセイ
ケンカですよ。,ケンカデスヨ
教育レベル,キョウイクレベル
個必要,コヒツヨウ
欧州銀,オウシュウギン
お金持ち,オカネモチ
世界規模,セカイキボ
お構い無し,オカマイナシ
何時,ナンジ
財政再建プラン,ザイセイサイケンプラン
%ですよ。,パーセントデスヨ
株価急落,カブカキュウラク
新築物件,シンチクブッケン
オリンピック競技場,オリンピックキョウギジョウ
客観的評価,キャッカンテキヒョウカ
東京オリンピック中止,トウキョウオリンピックチュウシ
年ぶり,ネンブリ
危機レベル,キキレベル
消費拡大,ショウヒカクダイ
直接観測,チョクセツカンソク
相当問題,ソウトウモンダイ
高防衛,ダカボウエイ
すべて無償,スベテムショウ
長期政権確実,チョウキセイケンカクジツ
全員死亡,ゼンインシボウ
