定期ポスト,テイキポスト
マーケジン,マーケジン
データサイエンス入門,データサイエンスニュウモン
ビジネス活用,ビジネスカツヨウ
初心者セッション,ショシンシャセッション
活用事例,カツヨウジレイ
提供開始,テイキョウカイシ
億円,オクエン
事前登録,ジゼントウロク
万人,マンニン
データ分析,データブンセキ
発表者,ハッピョウシャ
人突破,ニントッパ
万DL,マンダウンロード
営業益,エイギョウエキ
％増,パーセントゾウ
売上ランキング,ウリアゲランキング
ITmediaニュース,アイティーメディアニュース
受付開始,ウケツケカイシ
階層ベイズ,カイソウベイズ
読書タイム,ドクショタイム
テレビCM,テレビシーエム
配信開始,ハイシンカイシ
さそう,サソウ
会員数,カイインスウ
ベイズモデル,ベイズモデル
放映開始,ホウエイカイシ
章分散分析,ショウブンサンブンセキ
７章,ナナショウ
iOS向け,アイオーエスムケ
TOP50,トゥピーゴジュウ
しゅうちゃん,シュウチャン
記念キャンペーン,キネンキャンペーン
ぷろ君,プロクン
3月期,サンガツキ
信号検出,シンゴウケンシュツ
一人,イチニン
何時,ナンジ
データサイエンティスト養成,データサイエンティストヨウセイ
Androidアプリ版,アンドロイドアプリバン
無料セミナー,ムリョウセミナー
げぷろ,ゲプロ
検出理論,ケンシュツリロン
PARR2,ピーエーアールアールツー
発表資料,ハッピョウシリョウ
データ解析,データカイセキ
里洋平,サトヨウヘイ
年3月,ネンサンガツ
ゲーム売上,ゲームウリアゲ
週連続,シュウレンゾク
今週末,コンシュウマツ
Android版,アンドロイドバン
sendmailR,センドメイルラウンド
神縛,カミバク
女子部,ジョシブ
iOSアプリ版,アイオーエスアプリバン
分析力,ブンセキリョク
提供決定,テイキョウケッテイ
者募集中,シャボシュウチュウ
びき日記,ビキニッキ
人いない,ヒトイナイ
６章,ロクショウ
あらびき,アラビキ
章2つ,ショウフタツ
サイトプロデューサー,サイトプロデューサー
キャンペーン実施,キャンペーンジッシ
サイプロ,サイプロ
一回,イチカイ
ヴァルハラゲート,ヴァルハラゲート
ITエンジニア,アイティーエンジニア
世代リーダー,セダイリーダー
分枠,フンワク
ビジネスサイト,ビジネスサイト
神獄,カミゴク
説明変数,セツメイヘンスウ
養成読本,ヨウセイドクホン
サービス開始,サービスカイシ
万ダウンロード,マンダウンロード
記述文章,キジュツブンショウ
SP版,エスピーバン
・w,・ワット
自由記述,ジユウキジュツ
統計解析,トウケイカイセキ
売上TO,ウリアゲトゥ
ブランド資産,ブランドシサン
広告効果測定,コウコクコウカソクテイ
文章分析,ブンショウブンセキ
分析編,ブンセキヘン
atgさん,エーティージーサン
アドテクノロジー,アドテクノロジー
無料通話,ムリョウツウワ
資産測定,シサンソクテイ
調整中,チョウセイチュウ
％減,パーセントゲン
テキスト担当,テキストタントウ
大変そう,タイヘンソウ
ゲーム無料,ゲームムリョウ
標本サイズ,ヒョウホンサイズ
気付き,キツキ
ダムカードコレクション,ダムカードコレクション
Android向け,アンドロイドムケ
Mobageランキング,モバゲーランキング
収益化,シュウエキカ
エンジニアtype,エンジニアタイプ
山手線,ヤマテセン
ガールズロワイヤル,ガールズロワイヤル
DL突破,ダウンロードトッパ
みどりぼん,ミドリボン
変量解析,ヘンリョウカイセキ
一個,イチコ
スマホゲーム,スマホゲーム
ファンタジスタドールガールズ,ファンタジスタドールガールズ
App Store売上,アップストアウリアゲ
無料TO,ムリョウトゥ
ガンダムカード,ガンダムカード
配信決定,ハイシンケッテイ
２回,ニカイ
サンプルサイズ,サンプルサイズ
戦略的データサイエンス,センリャクテキデータサイエンス
回無料,カイムリョウ
今週中,コンシュウチュウ
回Tokyo,カイトウキョウ
推論モデル,スイロンモデル
募集中,ボシュウチュウ
想像以上,ソウゾウイジョウ
戦略的データマイニング,センリャクテキデータマイニング
クロス集計,クロスシュウケイ
顧客ベース,コキャクベース
ビッグデータ分析,ビッグデータブンセキ
基礎知識,キソチシキ
6月期,ロクガツキ
新着ゲーム,シンチャクゲーム
HTMLレポート,エイチティーエムエルレポート
a.table,エーティーエイブル
練馬付近,ネリマフキン
是非お願い,ゼヒオネガイ
タイトルお願い,タイトルオネガイ
広告事業,コウコクジギョウ
分析者,ブンセキシャ
開催中,カイサイチュウ
ベース分析,ベースブンセキ
３回,サンカイ
統計モデリング,トウケイモデリング
情報サイト,ジョウホウサイト
因果推論,インガスイロン
スマホ向け,スマホムケ
分析ブログ,ブンセキブログ
因果的,インガテキ
iOS版,アイオーエスバン
懇親会,コンシンカイ
スマホ広告,スマホコウコク
aRisk,アールリスク
回帰係数,カイキケイスウ
アプリ開発,アプリカイハツ
lot2,ローティーツー
養成講座,ヨウセイコウザ
ggp,グラムゲーペー
ビッグデータ活用,ビッグデータカツヨウ
予測モデル,ヨソクモデル
研究メモ,ケンキュウメモ
過去最高,カコサイコウ
次回ぜひ,ジカイゼヒ
