赤坂レッドシアター,アカサカレッドシアター
リーチできるかな,リーチデキルカナ
できるかなあと,デキルカナアト
jpさん,ジェーピーサン
NLP若手,エヌエルピーワカテ
研究者,ケンキュウシャ
メンション,メンション
NLP若手,エヌエルピーワカテ
分野外,ブンヤガイ
言語処理,ゲンゴショリ
マルチモーダル,マルチモーダル
参加お待ち,サンカオマチ
弊社会議室,ヘイシャカイギシツ
２週,ニシュウ
週連続,シュウレンゾク
連続開催,レンゾクカイサイ
ACL読み,エーシーエルヨミ
読み会,ヨミカイ
needto,ニードトゥ
areused,アレユーズド
usedin,ユーズドイン
inthe,インザ
theLink,ザリンク
Linkautomatic,リンクオートマティック
automatically,オートマティックアーリー
van今日,バンキョウ
発見勝どき,ハッケンカチドキ
勝どき太陽,カチドキタイヨウ
パーティー会場,パーティーカイジョウ
取引先様,トリヒキサキサマ
株主様,カブヌシサマ
ゲスト置いてきぼり,ゲストオイテキボリ
置いてきぼり感,オイテキボリカン
atcoder様,アットコーダーサマ
周年記念,シュウネンキネン
記念パーティー,キネンパーティー
記念パーティー,キネンパーティー
記念パーティー,キネンパーティー
プログラミングコンテストビンゴ,プログラミングコンテストビンゴ
プログラム委員,プログラムイイン
PC仕事,ピーシーシゴト
Organize,オルガンアイズ
想像以上,ソウゾウイジョウ
言語情報,ゲンゴジョウホウ
１ヶ月,イチカゲツ
人工知能研究,ジンコウチノウケンキュウ
終点感,シュウテンカン
最短撮影,サイタンサツエイ
撮影距離,サツエイキョリ
フルサイズよう,フルサイズヨウ
コマ収差,コマシュウサ
RAWファイル,ロウファイル
libhd,レットイットビーエイチディー
hdf5,エイチディーエフフアイブ
対処療法的,タイショリョウホウテキ
ダメそう,ダメソウ
対処方法,タイショホウホウ
pkg-con,ピーケージーコン
g-config,ジーコンフィグ
HDF5,エイチディーエフフアイブ
自前実装,ジマエジッソウ
実装の,ジッソウノ
全部決定的,ゼンブケッテイテキ
数値誤差,スウチゴサ
with this,ウイズティーヒズ
chainer,チェインイーアール
.save,ドッツアベ
判断材料,ハンダンザイリョウ
linknow,リンクナウ
精度精度,セイドセイド
カスタムチップ,カスタムチップ
PC経由,ピーシーケイユ
ライブ配信,ライブハイシン
一番簡単,イチバンカンタン
USBケーブル,ユーエスビーケーブル
ケーブル延長,ケーブルエンチョウ
長さ固定,ナガサコテイ
ローストビーフみたい,ローストビーフミタイ
食感,ショクカン
何これ,ナニコレ
理学部化学科,リガクブカガクカ
科学実験,カガクジッケン
情報科学科,ジョウホウカガクカ
端末室,タンマツシツ
今日五月祭,キョウゴガツサイ
ライセンス周り,ライセンスマワリ
ベーコンビール,ベーコンビール
並列性,ヘイレツセイ
アク抜き,アクヌキ
醤油他,ショウユタ
一緒に投入,イッショニトウニュウ
年目,ネンメ
携帯トイレ,ケイタイトイレ
自然言語フレームワーク,シゼンゲンゴフレームワーク
japanさん,ジャパンサン
runファイル,ランファイル
それ以前,ソレイゼン
pythonインタプリタ,パイソンインタプリタ
さっきの,サッキノ
ldconfig,ライブドアコンフィグ
config実行,コンフィグジッコウ
簡単さ,カンタンサ
柔軟さ,ジュウナンサ
最近受けて,サイキンウケテ
記述量,キジュツリョウ
それ自体,ソレジタイ
ログ全体,ログゼンタイ
cuda以外,クーダイガイ
初期化,ショキカ
インストールパス,インストールパス
効率的,コウリツテキ
