性的リスク,セイテキリスク
2016年5月30日,ニセンジュウロクネンゴガツサンジュウニチ
安倍晋三首相,アベシンゾウシュショウ
ブレよう,ブレヨウ
政治資金規正法違反,セイジシキンキセイホウイハン
重大疑惑,ジュウダイギワク
Yahooニュース,ヤフーニュース
大手電力会社,オオテデンリョクガイシャ
原発コスト,ゲンパツコスト
コスト削減,コストサクゲン
原発コスト,ゲンパツコスト
削減提携,サクゲンテイケイ
一番あと回し,イチバンアトマワシ
はずwww,ハズスリーダブリュー
何十,ナンジュウ
十人,ジュウニン
全員無事,ゼンインブジ
千億,センオク
億円,オクエン
土木利権,ドボクリケン
利権維持,リケンイジ
道路工事,ドウロコウジ
日本株価,ニッポンカブカ
一人,イチニン
人負け,ニンマケ
ベースアップ幅,ベースアップハバ
年連続,ネンレンゾク
実質賃金マイナス,ジッシツチンギンマイナス
一人,イチニン
人負け,ニンマケ
負け状態,マケジョウタイ
年金機構,ネンキンキコウ
年半,ネンハン
落第点,ラクダイテン
世界的,セカイテキ
的ニュース,テキニュース
成功確率,セイコウカクリツ
確率重視,カクリツジュウシ
要人殺害,ヨウジンサツガイ
イスラム国掃討,イスラムコクソウトウ
9.11テロ,キュウイチイチキュウテンイチイチテロ
相当問題,ソウトウモンダイ
少子化原因,ショウシカゲンイン
全額税金,ゼンガクゼイキン
少子化原因,ショウシカゲンイン
全額税金,ゼンガクゼイキン
平均的,ヘイキンテキ
全額税金,ゼンガクゼイキン
持続的,ジゾクテキ
的繁栄,テキハンエイ
合理的,ゴウリテキ
福祉高,フクシダカ
高負担,ダカフタン
日本みたい,ニッポンミタイ
軍事化,グンジカ
米国占領,ベイコクセンリョウ
占領下,センリョウカ
全面改訂,ゼンメンカイテイ
全面改訂,ゼンメンカイテイ
一党,イチトウ
何時,ナンジ
年以内,ネンイナイ
%ですよ。,パーセントデスヨ
%割れ,パーセントワレ
再生エネルギー,サイセイエネルギー
送電網,ソウデンモウ
技術的,ギジュツテキ
的問題,テキモンダイ
聖火台,セイカダイ
オリンピック競技場,オリンピックキョウギジョウ
女性活躍,ジョセイカツヤク
公約達成,コウヤクタッセイ
不動産購入,フドウサンコウニュウ
予定量,ヨテイリョウ
近いうちに国債,チカイウチニコクサイ
開業万,カイギョウマン
万歳,マンサイ
宇宙ツアー,ウチュウツアー
年前,ネンマエ
国鉄マン,コクテツマン
TV業界,テレビギョウカイ
サイバーテロ対策,サイバーテロタイサク
ムリwww,ムリスリーダブリュー
消費支出,ショウヒシシュツ
非正規雇用率,ヒセイキコヨウリツ
待機児童数,タイキジドウスウ
実現性度,ジツゲンセイド
物価上昇率ゼロ,ブッカジョウショウリツゼロ
ゼロパーセント,ゼロパーセント
選挙制度改革,センキョセイドカイカク
民主党よりまし,ミンシュトウヨリマシ
消費税先送り,ショウヒゼイサキオクリ
消費支出,ショウヒシシュツ
兆円,チョウエン
消費拡大,ショウヒカクダイ
政権発足,セイケンホッソク
発足前,ホッソクマエ
トランプ氏,トランプシ
安倍一,アベイチ
一強,イチキョウ
間抜けさ,マヌケサ
