米国ツイッター,ベイコクツイッター
トランプ氏,トランプシ
個人的心配,コジンテキシンパイ
米国領土,ベイコクリョウド
主演俳優,シュエンハイユウ
ドイツ語,ドイツゴ
乱射事件,ランシャジケン
事故物件情報,ジコブッケンジョウホウ
情報サイト,ジョウホウサイト
大島てる登録,オオシマテルトウロク
登録物件,トウロクブッケン
お国柄,オクニガラ
柄出て,ガラダシテ
力技,チカラワザ
何度,ナンド
どうしてこうなったの,ドウシテコウナッタノ
２０,ニゼロ
０１,ゼロイチ
１６,イチロク
６年,ロクネン
悲しみみたい,カナシミミタイ
徹底調査,テッテイチョウサ
1970年日比谷,センキュウヒャクナナジュウネンヒビヤ
日比谷野音,ヒビヤヤオン
若者達,ワカモノタチ
りりィさん,リリィサン
カルメン・マキさん,カルメンマキサン
支那虎,シナトラ
虎氏,トラシ
氏等,シトウ
日本占領軍,ニッポンセンリョウグン
人として背,ヒトトシテセ
一部判読,イチブハンドク
判読不能,ハンドクフノウ
昭和20年代,ショウワニジュウネンダイ
代面子,ダイメンコ
ソ蓮,ソハチス
クレムリン宮殿,クレムリンキュウデン
人が私,ジンガワタシ
共産化,キョウサンカ
ため頭,タメアタマ
昭和20年代,ショウワニジュウネンダイ
代面子,ダイメンコ
昭和20年代,ショウワニジュウネンダイ
代面子,ダイメンコ
８Ｐ,ハチピー
８Ｐ,ハチピー
６月27日,ロクガツニジュウシチニチ
昔NHK,ムカシエヌエイチケイ
鮮魚コーナー,センギョコーナー
千葉日報社,チバニッポウシャ
千葉日報オンライン,チバニッポウオンライン
正確性,セイカクセイ
免責事項,メンセキジコウ
千葉日報オンライン,チバニッポウオンライン
東大１,トウダイイチ
１４,イチヨン
４８,ヨンハチ
８キロ,ハチキロ
キロ左腕,キロサワン
日本代表入り,ニホンダイヒョウイリ
８３,ハチサン
３年,サンネン
大越投手,オオゴシトウシュ
投手以来,トウシュイライ
以来３,イライサン
３３,サンサン
３年,サンネン
年ぶり,ネンブリ
叶精作的,カノウセイサクテキ
池上遼一先生,イケガミリョウイチセンセイ
…。犬,サイレンスケン
貧乏臭,ビンボウシュウ
田吾作ラップ,タゴサクラップ
